#	Labrune - D:\Games\NFS Undercover\LANGUAGES\Norwegian_Global.bin
#	File created on: 2025-05-23 18:39:37
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - Global
0	AUTO	CUST_VINYLS_TRANSFORM_TITLE	Forandre vinyl
0	AUTO	CARNAME_MUSTANG03_SHORT	'03 Mustang GT
0	AUTO	PART_PERF_NITROUS_1	Dry Shot Nitrous Kit
0	AUTO	PART_PERF_NITROUS_2	Nitrous Purge Kit
0	AUTO	PART_PERF_NITROUS_3	10 lb Nitrous Bottle
0	AUTO	PART_PERF_NITROUS_4	Wet Shot Nitrous Kit
0	AUTO	PART_PERF_NITROUS_5	Nitrous Bottle Heater
0	AUTO	PART_PERF_NITROUS_6	15 lb Nitrous Bottle
0	AUTO	PART_PERF_NITROUS_7	Direct Port Nitrous Kit
0	AUTO	PART_PERF_NITROUS_8	Nitrous Pressure Controller
0	AUTO	PART_PERF_NITROUS_9	20 lb Nitrous Bottle
0	AUTO	VINYL_PART_AFTERMARKET_INTRAX	InTrax Suspension
0	AUTO	CARNAME_NISSAN_240SX	Nissan 240SX (S13)
0	AUTO	CARNAME_CHEVROLET_CORVETTE	CHEVROLET CORVETTE C6
0	AUTO	ON_LOGIN_PASSWORD	Passord
0	AUTO	MENU_POSTRACE_AVERAGE_DRIFT_LENGTH	GJENNOMSNITTLIG LENGDE
0	AUTO	TIP_DESC_NITROUSDRIFT	For å oppnå en sladd, trykk lett på håndbrekket når du runder et hjørne. For sladding med N2O, gjør det samme som ved en vanlig sladd. Når bilen legger seg inn i en sladd, fyr av litt N2O, men sørg for å styre i mot
0	AUTO	CARNAME_MAZDA_RX7	Mazda RX-7
0	AUTO	CARNAME_MAZDA_RX8	Mazda RX-8
0	AUTO	TIP_DESC_INTHEZONEMULTIPLIER	'Nivå i sonen' har en numerisk multiplikator for sonepoeng. 'Nivå i sonen'-multiplikatoren starter på x1 og øker til x5. Høyere 'Nivå i sonen'-multiplikator betyr flere sonepoeng. Multiplikatoren starter på nytt ved hvert løp.
0	AUTO	HUD_CANYON_COLLISION_PENALTY	KOLLISJON %$d POENG
0	AUTO	TIP_DESC_NITROUSOXIDE	Ingen biler kommer med N20 som standard, derfor er det viktig at du ikke glemmer å legge til en N20-pakke når du får frigjort pakken. Å bruke N20 til å fartsøke vil ganske fort bli en naturlig del av kjøringen. Bygg opp fart. Fyr av N20. N20-måleren finner du på høyre del av dashbordet ved siden av speedometeret. Trykk på N20-knappen for å aktivere. Hold inne knappen og sørg for en jevn strøm av N20. Slipp knappen når du vil stanse fartsøkningen. Etter du har aktivert N20 må en ladingsprosess gjennomføres før du kan aktivere N20 igjen. Lading av N20 gjøres ved å kjøre fort, samt dra i land stilige manøvre som belønnes med sonepoeng.
0	AUTO	VINYL_PART_MANUFACTURER_CORVETTE	Corvette
0	AUTO	DEMO_CUSTOMIZATION_SELL	Autosculpt™ lar deg tilpasse bilen din ved å produsere dine egne deler.\nDu kan modifisere karosserisett, hjul, panser, spoilere og takscoop for å lage akkurat den delen du vil ha.\nTilpasninger stopper ikke med dette. Spray på egendefinert lakk, legg på tilpassede vinyler, dekaler og installer egne deler for å bygge din helt unike tuner, muskel eller eksotiske crew-identitet.
0	AUTO	DEMO_CUSTOMIZATION_ZOOM	Zoom
0	AUTO	STAT_NUM_TIMES_RACED	Ganger spilt
0	AUTO	CARNAME_BMWM3_SHORT	M3 E46
0	AUTO	HUD_YOUR_TIME	DIN TID
0	AUTO	PART_SPOILER_0	STANDARD
0	AUTO	PART_SPOILER_1	JORGEN
0	AUTO	PART_SPOILER_2	ROCKER 5
0	AUTO	PART_SPOILER_3	AIRFORCE
0	AUTO	PART_SPOILER_4	ARROW
0	AUTO	PART_SPOILER_5	BARRACUDA
0	AUTO	PART_SPOILER_6	WILDFIRE
0	AUTO	PART_SPOILER_7	RIPPER
0	AUTO	PART_SPOILER_8	REAPER
0	AUTO	PART_SPOILER_9	BORRA
0	AUTO	CAREER_EVENT_CTS_10	Ødelegg for 10k $
0	AUTO	CAREER_EVENT_CTS_12	Ødelegg for 12.5k $
0	AUTO	CAREER_EVENT_CTS_15	Ødelegg for 15k $
0	AUTO	CAREER_EVENT_CTS_20	Ødelegg for 20k $
0	AUTO	CAREER_EVENT_CTS_25	Ødelegg for 25k $
0	AUTO	CAREER_EVENT_CTS_30	Ødelegg for 30k $
0	AUTO	CAREER_EVENT_CTS_40	Ødelegg for 40k $
0	AUTO	CAREER_EVENT_CTS_50	Ødelegg for 50k $
0	AUTO	CAREER_EVENT_CTS_75	Ødelegg for 75k $
0	AUTO	PAUSE_OPTION_CAR_DAMAGE	Skade på bil
0	AUTO	CAREER_EVENT_HIGHWAY_BATTLE_METRIC	Led med 300m for å vinne
0	AUTO	COMMON_LOCATION_HIDING_SPOT	Skjulested
0	AUTO	CARNAME_ACURA_NSX	ACURA NSX
0	AUTO	CARNAME_ACURA_RSX	ACURA RSX
0	AUTO	CUST_NEED_XBOX_LIVE_PROFILE	
0	AUTO	ON_GAME_ROOM_START_RACE_NOW_VOTE	'Stem om løpet skal starte nå: {0:d} av {1:d}
0	AUTO	VINYL_PART_AFTERMARKET_CLUTCHMASTERS	Clutch Masters
0	AUTO	ON_ERROR_CONFIRM_LEAVE_GAME	Er du sikker på at du vil forlate løpsdagen?\nForbindelsen med denne gruppen spillere vil bli brutt.
0	AUTO	TIP_SUBJ_AUTOSCULPT	Autosculpt™
0	AUTO	CARNAME_997GT3RS_SHORT	911 GT3 RS
0	AUTO	VINYL_PART_AFTERMARKET_KAIZER	Kaizer
0	AUTO	VINYL_PART_AFTERMARKET_NEUSPEED	NEUSPEED
0	AUTO	OPTIONS_PC_MOTION_BLUR	Fartsslør
0	AUTO	CARNAME_VEYRON_SHORT	Veyron
0	AUTO	TIP_SUBJ_SPIKESTRIPS	Spikermatter
0	AUTO	ON_ERROR_EMAIL_PASSWORD_FAILED	Kan ikke sende passord til e-postadressen som tilhører angitt brukernavn!
0	AUTO	HUD_WRONG_WAY	FEIL VEI!
0	AUTO	VINYL_PART_AFTERMARKET_CASTROLSYNTEC	Castrol Syntec
0	AUTO	CAREER_FLASHER_R_ZACK_JOB	Ta Zack sin jobb
0	AUTO	WHL_ENK_WDM_00	Enkei WDM
0	AUTO	ON_LOGIN_AUTOLOGIN_TOGGLE	Automatisk pålogging på
0	AUTO	ON_RACE_IN_PROGRESS_CAR_SELECT	Løp pågår...
0	AUTO	CUST_VINYL_MIRROR	Speil
0	AUTO	ON_CR_HUD_GET_TO_THE_DROPOFF	Kom deg til leveringsstedet!
0	AUTO	HUD_SHIFT_PERFECT	PERFEKT GIRSKIFTE
0	AUTO	COMMON_DRAG_COEFFICIENT	{0:f.2} Cd
0	AUTO	DEMO_CONFIRM_QUIT	Er du sikker på at du vil avbryte løpet? Du vil miste all fremgang.
0	AUTO	TIP_DESC_BURNOUT	For å ta en burnout, spinn i mer enn to sekunder mens du står stille.
0	AUTO	MISSION_WARN_RACE_HECTOR	Hector er nesten fremme!
0	AUTO	CARNAME_S2000_SHORT	S2000
0	AUTO	CARNAME_DODGE_VINTAGE_CHARGER69	Dodge Charger R/T
0	AUTO	CAREER_EVENT_ESCAPE	Kjør i fra purken!
0	AUTO	CUST_ROTATECAMERA	ROTER KAMERA
0	AUTO	DEMO_CIRCUIT_RACE	Baneløp
0	AUTO	VINYL_PART_NF_HUNGARY	Ungarn
0	AUTO	HUD_DRIFT_KEEP_MOVING	KOM IGJEN!
0	AUTO	ON_GAMETYPE_RANKED	RANGERT
0	AUTO	PURSUIT_MILESTONE_ACHIEVED	MILEPÆL NÅDD
0	AUTO	OPTION_INTERFACE_TRANSMISSION	Girkasse
0	AUTO	OPTION_AUDIO_MUSIC	Musikk
0	AUTO	TIP_SUBJ_DAMAGEMETER	Skadeindikator
0	AUTO	CAREER_FLASHER_ZONE_MULTIPLIER	Sonemultiplikator
0	AUTO	VINYL_PART_AFTERMARKET_LUNATI	Lunati
0	AUTO	HUD_DRIFT_DRIFT_ENDED	SLUTT PÅ SLADD
0	AUTO	VINYL_PART_BOSS_BUSHIDO	BOSS
0	AUTO	CARNAME_PRESET_911	TCB Statlig superenhet
0	AUTO	CARNAME_PRESET_MED	TCB Sivil politibil
0	AUTO	CARNAME_PRESET_MUS	TCB Statlig politibil
0	AUTO	CARNAME_PRESET_SUV	TCB SUV politibil
0	AUTO	MARKER_NAME_DESCRIPTION_HUD	En spesiell egendefinert instrumentoppgradering til en av bilene dine.
0	AUTO	STAT_PERC_AS_POLICE	%% som politi
0	AUTO	ON_LOGIN_RETRIEVEPASS	GLEMT PASSORD
0	AUTO	ON_LOGIN_RETRIEVEUSER	GLEMT BRUKERNAVN
0	AUTO	COMMON_X_LBS_FLOAT	{0:f.0} lbs
0	AUTO	ON_LEADERBOARD_BEST_BOUNTY	Bøter til staten
0	AUTO	HELP_RACE	Løp
0	AUTO	CARNAME_PONTIAC_GTO	Pontiac GTO
0	AUTO	VINYL_PART_AFTERMARKET_MATRIX	Matrix Racing
0	AUTO	CARNAME_LAMBORGHINI_MURCIELAGO640	LAMBORGHINI MURCIÉLAGO LP640
0	AUTO	HUD_FINISH_SIXTEEN	DU KOM PÅ SEKSTENDEPLASS
0	AUTO	ON_LEADERBOARD_TOTAL_FINES	Bøter totalt
0	AUTO	PS3_INSTALL_ERROR_FILE	
0	AUTO	VINYL_PART_AFTERMARKET_MOROSO	Moroso
0	AUTO	VINYL_PART_AFTERMARKET_MOTEGI	MOTEGI
0	AUTO	ON_EXISTINGACCOUNT	'Skriv inn eksisterende e-postadresse og passord til din EA konto
0	AUTO	ON_ALERT_MSG_CITY_A	%s har låst opp Sunset Hills.
0	AUTO	ON_ALERT_MSG_CITY_B	%s har låst opp Port Crescent.
0	AUTO	ON_CREATE_SUGGESTION_LABEL	Forslag %d
0	AUTO	PART_HOOD_CF_1	BEAST CF
0	AUTO	PART_HOOD_CF_2	DOUBLE-V CF
0	AUTO	PART_HOOD_CF_3	TRI-SLOT CF
0	AUTO	PART_HOOD_CF_4	SPEED CF
0	AUTO	PART_HOOD_CF_5	G-FORCE CF
0	AUTO	PART_HOOD_CF_6	OVERDIAL CF
0	AUTO	PART_HOOD_CF_7	TRIDENT CF
0	AUTO	PART_HOOD_CF_8	SPEEDLINE CF
0	AUTO	PART_HOOD_CF_9	DUAL-STAGE CF
0	AUTO	COMMON_ABBREV_FT	FOT
0	AUTO	COMMON_ABBREV_KG	kg
0	AUTO	STAT_NUM_TIMES_BUSTED	Antall ganger arrestert
0	AUTO	CARNAME_MAZDASPEED3_SHORT	Mazda3 MPS
0	AUTO	ON_COMMON_DECLINE	AVSLÅ
0	AUTO	CAREER_FLASHER_CITYASHOP	Verksted i Sunset Hills tilgjengelig
0	AUTO	CAREER_FLASHER_CITYBSHOP	Verksted i Port Crescent tilgjengelig
0	AUTO	CAREER_FLASHER_CITYCSHOP	Verksted i Palm Harbor tilgjengelig
0	AUTO	CUST_PARTS_WHEELS	HJUL
0	AUTO	ON_EDIT_SETTINGS	Rediger innstillinger
0	AUTO	ON_ERROR_DISCONNECT_XBOX_LIVE	
0	AUTO	CTRL_360_GUIDE	
0	AUTO	ON_CREATE_DAY	Dag
