#	Labrune - D:\Games\NFS Undercover\LANGUAGES\Norwegian_InGame.bin
#	File created on: 2025-05-23 18:39:43
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - InGame
0	AUTO	HUD_STYLE_POINT_GRINDING	KNUSER: {0:d}
0	AUTO	HUD_STYLE_POINT_COP_TAKEOUT	POLITI SLÅTT UT: {0:d}
0	AUTO	HUD_STYLE_POINT_PURSUIT_BREAKER	BILJAKTFELLE:{0:d}
0	AUTO	HUD_SHOWROOM1	Palm Harbor Street delebutikk
0	AUTO	HUD_SHOWROOM2	Palm Harbor Tier 3 bilforhandler
0	AUTO	HUD_SHOWROOM3	Sunset Hills Race delebutikk
0	AUTO	HUD_SHOWROOM4	Sunset Hills Tier 2 bilforhandler
0	AUTO	HUD_SHOWROOM5	Port Crescent Pro delebutikk
0	AUTO	HUD_SHOWROOM6	Port Crescent Tier 1 bilforhandler
0	AUTO	HUD_CIVIC_COP_IMMOBILIZED	Statlig bil uskadeliggjort\nBøter til staten {0:d} $
0	AUTO	T_Credits	
0	AUTO	SPOILER_2CF	Gentera Style 113 CF
0	AUTO	SPOILER_5CF	Gentera Style 112 CF
0	AUTO	SPOILER_8CF	Gentera Style 114 CF
0	AUTO	SPOILER_9CF	Gentera Style 109 CF
0	AUTO	HUD_STYLE_POINT_180_REVERSE	J-SVING: {0:d}
0	AUTO	HUD_STYLE_POINT_360_REVERSE	REVERS 360: {0:d}
0	AUTO	HUD_STYLE_POINT_540_REVERSE	REVERS 540: {0:d}
0	AUTO	HUD_COPS	POLITI
0	AUTO	HUD_STYLE_POINT_720_REVERSE	REVERS 720: {0:d}
0	AUTO	HUD_BUSTED	ARRESTERT!
0	AUTO	HUD_FEDERAL_COP_IMMOBILIZED	FØDERAL POLITIBIL USKADELIGGJORT \nBØTER TIL STATEN: {0:d} $
0	AUTO	HUD_STYLE_POINT_DRAFT	SLADD:{0:d}
0	AUTO	HUD_STYLE_POINT_DRIFT	SLADD: {0:d}
0	AUTO	COMMON_X_METERS_SHORT_INT	{0:d} m
0	AUTO	COMMON_PERCENT	{0:d} %
0	AUTO	HUD_STYLE_POINT_POWERSLIDE	POWERSLIDE:{0:d}
0	AUTO	HUD_STYLE_POINT_BONUS_START	BONUSSTART: {0:d}
0	AUTO	SPOILER_11CF	Gentera Style 115 CF
0	AUTO	SPOILER_12CF	Gentera Style 118 CF
0	AUTO	SPOILER_13CF	Gentera Evo CF
0	AUTO	HUD_STYLE_POINT_NEAR_MISS_MULT	NESTENTREFF x{0:d}: {1:d}
0	AUTO	HUD_COOLDOWN	NEDKJØLING
0	AUTO	HUD_GO	KJØR!
0	AUTO	HUD_STYLE_POINT_TOP_SPEED	TOPPFART: {0:d}
0	AUTO	HUD_POSITION	{0:d}/{1:d}
0	AUTO	COMMON_NEG	-{0:d}
0	AUTO	COMMON_POS	+{0:d}
0	AUTO	DIALOG_MSG_CONFIRM_EXIT_TO_FREEROAM	Er du sikker på at du vil avslutte?\nDu vil miste alle endringene du har gjort.
0	AUTO	HUD_TARGET_ACHIEVED	Mål oppnådd! Unnslipp for å fullføre
0	AUTO	HUD_STYLE_POINT_360_REVERSE_BURNOUT	REVERS DONUT: {0:d}
0	AUTO	HUD_STYLE_POINT_180	180° sving: {0:d}
