#	Labrune - D:\Games\NFS Undercover\LANGUAGES\Polish_Frontend.bin
#	File created on: 2025-05-23 18:39:50
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - Frontend
0	AUTO	WM_STATS_ROAD_BLOCKS_DODGED_1_PURSUIT	Ominięte blokady (1 pościg)
0	AUTO	_MC_CONFIRMTOO_MANY_SAVED_GAMES_TO_CREATE	Zbyt wiele do zapisania
0	AUTO	VINYL_PART_DOD_VIP_STOCK	Firmowa grafika
0	AUTO	VINYL_PART_MIT_EVOX_2TONE1	Dwa kolory 1
0	AUTO	VINYL_PART_MIT_EVOX_2TONE2	Dwa kolory 2
0	AUTO	VINYL_PART_MIT_EVOX_2TONE3	Dwa kolory 3
0	AUTO	WM_REGIONSUMMARY_TOGGLE_JOBS	Zlecenia
0	AUTO	POSTRACE_NOSHOPS_MESSAGE_GAME_OVER	Twój ostatni samochód został skonfiskowany. Masz pieniądze, ale nie znasz żadnego salonu, gdzie mógłbyś kupić nowe auto. Następnym razem poszukaj SALONÓW.
0	AUTO	WM_WANTED	Ścigany
0	AUTO	VINYL_PART_CFC_FACE_CRAZY2	EYE Kon, Wariat 2
0	AUTO	CUST_VINYL_LOCKED	Ta naklejka jest zablokowana. Można ją odblokować znajdując salon, w którym jest sprzedawana.
0	AUTO	LANG_RUSSIAN_NO_TRANSLATION	РУССКИЙ
0	AUTO	VINYL_PART_KOE_CCX_2TONE1	Dwa kolory 1
0	AUTO	VINYL_PART_KOE_CCX_2TONE2	Dwa kolory 2
0	AUTO	VINYL_PART_KOE_CCX_2TONE3	Dwa kolory 3
0	AUTO	VINYL_PART_NIS_SYL_STRIPE	Unikalny pasek
0	AUTO	WM_STATS_TOTAL_STYLE_POINTS	Suma punktów strefy
0	AUTO	VINYL_PART_AFTERMARKET_KICKER	Kicker
0	AUTO	VINYL_PART_AFTERMARKET_FBRAKES	Fastbrakes
0	AUTO	POSTRACE_MESSAGE_AUDITION_FAILED	Nie udało Ci się dotrzeć do miasta.
0	AUTO	VINYL_PART_CFC_BANDAGES_01	EYE Kon, Bandaże
0	AUTO	VINYL_PART_CFC_BANDAGES_02	EYE Kon, Bandaże 2
0	AUTO	WHL_ENK_WRC_00	Enkei WRC Tarmac
0	AUTO	CAREER_FLASHER_DOMINATION	Dominacja
0	AUTO	CUST_VINYLS_COLOUR_TITLE	KOLOR NAKLEJEK
0	AUTO	SPOILER_1	Gentera Style 204
0	AUTO	SPOILER_2	Gentera Style 113
0	AUTO	SPOILER_3	Gentera Style 302
0	AUTO	SPOILER_4	Gentera Style 304
0	AUTO	SPOILER_5	Gentera Style 112
0	AUTO	SPOILER_6	Gentera Style 205
0	AUTO	SPOILER_7	Gentera Style 305
0	AUTO	SPOILER_8	Gentera Style 114
0	AUTO	SPOILER_9	Gentera Style 109
0	AUTO	VINYL_PART_DOD_CHA71_STRIPE	Unikalny pasek
0	AUTO	WHL_WEL_KRU_00	Weld Kruiser
0	AUTO	WM_STATS_CAREER_COMPLETE	Kariera ukończona
0	AUTO	POSTRACE_IMPOUNDED	Konfiskata!
0	AUTO	COMMON_CHANGE_CAR	ZMIEŃ SAMOCHÓD
0	AUTO	WM_LEGEND_EVENT	Wyścig
0	AUTO	WHL_WEL_LEG_00	Weld Legacy
0	AUTO	VINYL_PART_GR_BLUEFLAME	Grizzly, Błękitne płomienie
0	AUTO	WHL_HRE_541_00	HRE 541R
0	AUTO	WHL_HRE_549_00	HRE 549R
0	AUTO	WHL_HRE_597_00	HRE 597R
0	AUTO	VINYL_PART_DOD_CHR_STOCK	Firmowa grafika
0	AUTO	POSTRACE_LBL_YOUR_TIME	Twój czas
0	AUTO	ONLINE_TOS	Regulamin
0	AUTO	WHL_IFO_MAR_00	IForged Marquis
0	AUTO	VINYL_PART_AFTERMARKET_INNOVATE	Innovate Motorsports
0	AUTO	VINYL_PART_AFTERMARKET_AUTOMETER	Auto Meter
0	AUTO	VINYL_PART_2T_997GT3RS	Dwa kolory 9
0	AUTO	CUST_PEFORM_CURRENTLEVEL	Aktualny poziom:
0	AUTO	VINYL_PART_AFTERMARKET_AUTOPOWER	Autopower
0	AUTO	COMMON_GAME_NAME	Need for Speed™ Undercover
0	AUTO	VINYL_PART_NAT_NATIVE_BIRD	Dziki ptak
