#	Labrune - D:\Games\NFS Undercover\LANGUAGES\Polish_Global.bin
#	File created on: 2025-05-23 18:39:56
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - Global
0	AUTO	CUST_VINYLS_TRANSFORM_TITLE	*MODYFIKACJA NAKLEJEK*
0	AUTO	CARNAME_MUSTANG03_SHORT	'03 Mustang GT
0	AUTO	PART_PERF_NITROUS_1	Dry Shot Nitrous Kit
0	AUTO	PART_PERF_NITROUS_2	Nitrous Purge Kit
0	AUTO	PART_PERF_NITROUS_3	10 lb Nitrous Bottle
0	AUTO	PART_PERF_NITROUS_4	Wet Shot Nitrous Kit
0	AUTO	PART_PERF_NITROUS_5	Nitrous Bottle Heater
0	AUTO	PART_PERF_NITROUS_6	15 lb Nitrous Bottle
0	AUTO	PART_PERF_NITROUS_7	Direct Port Nitrous Kit
0	AUTO	PART_PERF_NITROUS_8	Nitrous Pressure Controller
0	AUTO	PART_PERF_NITROUS_9	20 lb Nitrous Bottle
0	AUTO	VINYL_PART_AFTERMARKET_INTRAX	InTrax Suspension
0	AUTO	CARNAME_NISSAN_240SX	Nissan 240SX (S13)
0	AUTO	CARNAME_CHEVROLET_CORVETTE	CHEVROLET CORVETTE C6
0	AUTO	ON_LOGIN_PASSWORD	Hasło
0	AUTO	MENU_POSTRACE_AVERAGE_DRIFT_LENGTH	ŚR. DŁUGOŚĆ
0	AUTO	TIP_DESC_NITROUSDRIFT	Aby wprowadzić samochód w poślizg, zaciągnij hamulec ręczny w trakcie pokonywania zakrętu.\n\nAby uzyskać drift nitro, rozpocznij normalny poślizg, a gdy samochód zacznie skręcać, uruchom nitro. Pamiętaj o kontrowaniu.
0	AUTO	CARNAME_MAZDA_RX7	Mazda RX-7
0	AUTO	CARNAME_MAZDA_RX8	Mazda RX-8
0	AUTO	TIP_DESC_INTHEZONEMULTIPLIER	„Wskaźnik w strefie” to mnożnik punktów strefy. Zaczyna się od x1 i maksymalnie może wynosić x5. Im większy mnożnik „w strefie”, tym szybciej będziesz zdobywać punkty. Na początku każdej imprezy powraca do wartości wyjściowej x1.
0	AUTO	HUD_CANYON_COLLISION_PENALTY	KOLIZJE %$d PKT
