#	Labrune - D:\Games\NFS Undercover\LANGUAGES\Polish_InGame.bin
#	File created on: 2025-05-23 18:40:03
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - InGame
0	AUTO	HUD_STYLE_POINT_GRINDING	SPYCHANIE: {0:d}
0	AUTO	HUD_STYLE_POINT_COP_TAKEOUT	ZNISZCZONE RADIOWOZY: {0:d}
0	AUTO	HUD_STYLE_POINT_PURSUIT_BREAKER	SPOWALNIACZ POŚCIGU: {0:d}
0	AUTO	HUD_SHOWROOM1	Sklep z częściami ulicznymi w Palm Harbor
0	AUTO	HUD_SHOWROOM2	Sklep z częściami 3 poziomu w Palm Harbor
0	AUTO	HUD_SHOWROOM3	Sklep z częściami ulicznymi w Sunset Hills
0	AUTO	HUD_SHOWROOM4	Sklep z częściami 2 poziomu w Sunset Hills
0	AUTO	HUD_SHOWROOM5	Sklep z częściami dla profesjonalistów w Port Crescent
0	AUTO	HUD_SHOWROOM6	Sklep z częściami 1 poziomu w Port Crescent
0	AUTO	HUD_CIVIC_COP_IMMOBILIZED	Wykluczono radiowóz miejski\nKoszt zniszczeń: {0:d} $
0	AUTO	T_Credits	
0	AUTO	SPOILER_2CF	Gentera Style 113 CF
0	AUTO	SPOILER_5CF	Gentera Style 112 CF
0	AUTO	SPOILER_8CF	Gentera Style 114 CF
0	AUTO	SPOILER_9CF	Gentera Style 109 CF
0	AUTO	HUD_STYLE_POINT_180_REVERSE	NAWRÓT: {0:d}
0	AUTO	HUD_STYLE_POINT_360_REVERSE	OBRÓT O 360° NA WSTECZNYM: {0:d}
0	AUTO	HUD_STYLE_POINT_540_REVERSE	OBRÓT TYŁEM O 540°: {0:d}
0	AUTO	HUD_COPS	GLINY
0	AUTO	HUD_STYLE_POINT_720_REVERSE	OBRÓT TYŁEM O 720°: {0:d}
0	AUTO	HUD_BUSTED	ARESZTOWANIE!
0	AUTO	HUD_FEDERAL_COP_IMMOBILIZED	WYKLUCZONO WÓZ FEDERALNYCH\nKOSZT ZNISZCZEŃ: {0:d} $
0	AUTO	HUD_STYLE_POINT_DRAFT	JAZDA ZA SAMOCHODEM: {0:d}
0	AUTO	HUD_STYLE_POINT_DRIFT	DRIFT: {0:d}
0	AUTO	COMMON_X_METERS_SHORT_INT	{0:d} m.
0	AUTO	COMMON_PERCENT	{0:d}%
0	AUTO	HUD_STYLE_POINT_POWERSLIDE	POŚLIZG: {0:d}
0	AUTO	HUD_STYLE_POINT_BONUS_START	PREMIA ZA START: {0:d}
0	AUTO	SPOILER_11CF	Gentera Style 115 CF
0	AUTO	SPOILER_12CF	Gentera Style 118 CF
0	AUTO	SPOILER_13CF	Gentera Evo CF
0	AUTO	HUD_STYLE_POINT_NEAR_MISS_MULT	MAŁO BRAKOWAŁO x {0:d}: {1:d}
0	AUTO	HUD_COOLDOWN	OCZEKIWANIE
0	AUTO	HUD_GO	START!
0	AUTO	HUD_STYLE_POINT_TOP_SPEED	NAJWIĘKSZA PRĘDKOŚĆ: {0:d}
0	AUTO	HUD_POSITION	{0:d}/{1:d}
0	AUTO	COMMON_NEG	- {0:d}
0	AUTO	COMMON_POS	+ {0:d}
0	AUTO	DIALOG_MSG_CONFIRM_EXIT_TO_FREEROAM	Na pewno chcesz wyjść?\nStracisz wszelkie zmiany.
0	AUTO	HUD_TARGET_ACHIEVED	Zadanie wykonane! Zgub pościg.
0	AUTO	HUD_STYLE_POINT_360_REVERSE_BURNOUT	OBRÓT O 360° TYŁEM Z PALENIEM GUM: {0:d}
0	AUTO	HUD_STYLE_POINT_180	OBRÓT O 180°: {0:d}
0	AUTO	HUD_STYLE_POINT_360	OBRÓT O 360°: {0:d}
0	AUTO	HUD_STYLE_POINT_540	OBRÓT 540°: {0:d}
0	AUTO	HUD_STYLE_POINT_720	OBRÓT O 720°: {0:d}
0	AUTO	HOOD_1CF	Araxis Sport CF
0	AUTO	HOOD_2CF	Araxis Sweeper CF
0	AUTO	HOOD_3CF	Araxis Blitz CF
0	AUTO	HOOD_4CF	Araxis Impact CF
0	AUTO	HOOD_5CF	Formula CF
0	AUTO	HOOD_6CF	Beast CF
0	AUTO	HOOD_7CF	Blister CF
0	AUTO	HOOD_8CF	Shaker CF
0	AUTO	HUD_STYLE_POINT_CLOSE_CALL	MAŁO BRAKOWAŁO: {0:d}
0	AUTO	COMMON_RETURN_TO_EVENT	Wróć do wyścigu
0	AUTO	HUD_STYLE_POINT_180_BURNOUT	OBRÓT O 180° Z PALENIEM GUM: {0:d}
0	AUTO	HUD_STYLE_POINT_360_BURNOUT	OBRÓT O 360° Z PALENIEM GUM: {0:d}
0	AUTO	HUD_LAP	OKRĄŻENIE
0	AUTO	COMMON_PURSUIT_ONLY	Tylko pościg
0	AUTO	HUD_EVADE	UCIECZKA
0	AUTO	HUD_TIMER	CZAS
0	AUTO	HUD_STYLE_POINT_CLEAN_SECTION	CZYSTY ODCINEK: {0:d}
0	AUTO	HUD_STYLE_POINT_COUNTING	KOLEJNE PUNKTY: {0:d}
0	AUTO	HUD_STYLE_POINT_NOS_DRIFT	DRIFT NITRO: {0:d}
0	AUTO	HUD_STYLE_POINT_CLEAN_SECTION_MULT	CZYSTA SEKCJA x {0:d}: {1:d}
0	AUTO	HUD_CTS_CURRENT_OVER_TOTAL	{0:d} $ / {1:d} $
0	AUTO	HUD_TACH_ABBREV_NEUTRAL	N
0	AUTO	HUD_ROBBERS	ZŁODZIEJE
0	AUTO	HUD_STYLE_POINT_BURNOUT	PALENIE GUM: {0:d}
0	AUTO	HUD_STYLE_POINT_RUBOUT	USZKODZENIE: {0:d}
0	AUTO	HUD_LEVEL_UP	KOLEJNY POZIOM: {0:d}
0	AUTO	HUD_STYLE_POINT_PASSING	WYPRZEDZANIE: {0:d}
0	AUTO	HUD_STYLE_POINT_WINNER	Zwycięzca wyścigu: {0:d}
0	AUTO	HUD_STATE_COP_IMMOBILIZED	WYKLUCZONO WÓZ POLICJI STANOWEJ\nKOSZT ZNISZCZEŃ: {0:d} $
0	AUTO	HUD_STYLE_POINT_RANKING_1	1-sze MIEJSCE: {0:d}
0	AUTO	HUD_STYLE_POINT_RANKING_2	2-gie MIEJSCE: {0:d}
0	AUTO	HUD_STYLE_POINT_RANKING_3	3-cie MIEJSCE: {0:d}
0	AUTO	HUD_STYLE_POINT_RANKING_4	4-te MIEJSCE: {0:d}
0	AUTO	HUD_STYLE_POINT_RANKING_5	5-te MIEJSCE: {0:d}
0	AUTO	HUD_STYLE_POINT_RANKING_6	6-te MIEJSCE: {0:d}
0	AUTO	HUD_STYLE_POINT_RANKING_7	7-te MIEJSCE: {0:d}
0	AUTO	HUD_STYLE_POINT_NEAR_MISS	UNIKNIĘCIE KOLIZJI: {0:d}
0	AUTO	HUD_SUV_COP_IMMOBILIZED	WYKLUCZONO SUVa\nKOSZT ZNISZCZEŃ: {0:d} $
0	AUTO	HUD_SUPER_STATE_COP_IMMOBILIZED	WYKLUCZONO SUPER RADIOWÓZ POLICJI STANOWEJ\nKOSZT ZNISZCZEŃ: {0:d} $
0	AUTO	HUD_MULTIPLIER	x
0	AUTO	HUD_TACH_ABBREV_REVERSE	R
0	AUTO	HUD_STYLE_POINT_AIR_JUMP	SKOK: {0:d}
0	AUTO	IN_GAME_TEMP	Temp
0	AUTO	HUD_COP_TAKEOUT	WYELIMINOWANI GLINIARZE
0	AUTO	HUD_STYLE_POINT_PENALTY_COUNT	LICZBA KAR: {0:d}
0	AUTO	COMMON_X_METERS_SHORT_STRING	{0:s} m.
0	AUTO	HUD_STYLE_POINT_180_REVERSE_BURNOUT	OBRÓT O 180° TYŁEM: {0:d}
0	AUTO	HUD_STYLE_POINT_TRADE_PAINT	PRZEPYCHANKI: {0:d}
0	AUTO	COMMON_X_FEET_SHORT_STRING	{0:s} st.
0	AUTO	HUD_STYLE_POINT_FIRST_POS	Pierwsza pozycja: {0:d}
0	AUTO	HUD_STYLE_POINT_REVERSE_BURNOUT	PALENIE GUM NA WSTECZNYM: {0:d}
