#	Labrune - D:\[Modding]\NFS\StringEditor\TextStrings\Undercover\Raw\Brazilian_Global.bin
#	File created on: 2025-06-15 21:55:58
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - Global
0	0011BEDE	0x0011BEDE	Transformar
0	0017EE06	0x0017EE06	'03 Mustang GT
0	00359225	0x00359225	Nitro de Ativação Seca e Controle de Boost
0	00359226	0x00359226	Kit de Nitro
0	00359227	0x00359227	Garrafa de Nitro de 10 libras
0	00359228	0x00359228	Nitro de Ativação Seca e Controle de Boost
0	00359229	0x00359229	Aquecedor para a Garrafa
0	0035922A	0x0035922A	Garrafa de Nitro de 15 libras
0	0035922B	0x0035922B	Nitro de porte direito e Controle de Boost
0	0035922C	0x0035922C	Controle de Pressão do Nitro
0	0035922D	0x0035922D	Garrafa de Nitro de 20 libras
0	00421A31	0x00421A31	Suspensão Intrax
0	004236A1	0x004236A1	Nissan 240SX (S13) (FR)
0	004C23AC	0x004C23AC	CHEVROLET CORVETTE C6
0	005ACA06	0x005ACA06	Password
0	00759347	0x00759347	AVG LENGTH
0	0091E696	0x0091E696	A tunagem foi ajustada ligeiramente a favor dos estilos de direção. Os jogadores agora podem ajustar seus carros para seu estilo de direção adequado e melhorar seus carros em termos de potência sem quebrar outra coisa. Além disso, concedemos a você um Cadillac CTS-V gratuito como veículo reserva. Certifique-se de ler as descriçöes nas configuraçöes de ajuste para aprender os efeitos de cada opção.
0	00A97902	0x00A97902	Mazda RX-7 (FR)
0	00A97903	0x00A97903	Mazda RX-8 (FR)
0	00C18B24	0x00C18B24	O Medidor 'na Zona' tem um multiplicador numérico para Pontos de Zona. O Multiplicador começa em x1 e pode aumentar para x3. Quanto maior o Multiplicador, mais rápido você gera Pontos de Zona. O Multiplicador é redefinido no início de qualquer evento.
0	015728EE	0x015728EE	COLISÃO %$d PTS
0	015C3E16	0x015C3E16	Nenhum carro começa com Nitro, então não se esqueça de adicionar um pacote ao seu veículo quando desbloquear o Nitro. O uso do Nitro para impulsos de velocidade logo se tornará algo natural. Aumente sua velocidade. O Medidor de Nitro está localizado à direita do seu painel ao lado do velocímetro. Pressione o botão de Nitro para ativar. Mantenha pressionado o botão de Nitro para manter o fluxo do seu Nitro. Solte o botão de Nitro quando quiser que o impulso de velocidade termine. Uma vez ativado, há um atraso de recarga antes que o Nitro possa ser ativado novamente. Recarregue seu Medidor de Nitro dirigindo rápido e realizando manobras estilosas que aumentam seus Pontos de Zona.
0	015CC35E	0x015CC35E	Corvette
0	015D3C4B	0x015D3C4B	Autosculpt" allows you to customize your ride by fabricating your own parts.\nYou can modify body kits, wheels, hoods, spoilers, and roof scoops to create exactly the parts you want.\nCustomization doesn't stop there. Spray on custom paint, add customizable vinyls, decals, and install performance parts to create your own unique Tuner, Muscle, or Exotic Crew identity.
0	01613DE0	0x01613DE0	Zoom
0	016A37A9	0x016A37A9	Times Played
0	01A45F0A	0x01A45F0A	M3 E46
0	01AC073C	0x01AC073C	SEU TEMPO:
0	022A40C2	0x022A40C2	STOCK
0	022A40C3	0x022A40C3	JORGEN
0	022A40C4	0x022A40C4	ROCKER 5
0	022A40C5	0x022A40C5	AIRFORCE
0	022A40C6	0x022A40C6	ARROW
0	022A40C7	0x022A40C7	BARRACUDA
0	022A40C8	0x022A40C8	WILDFIRE
0	022A40C9	0x022A40C9	RIPPER
0	022A40CA	0x022A40CA	REAPER
0	022A40CB	0x022A40CB	BORRA
0	0235359B	0x0235359B	Cause $10K de custo ao estado
0	0235359D	0x0235359D	Cause $12.5K de custo ao estado
0	023535A0	0x023535A0	Cause $15K de custo ao estado
0	023535BC	0x023535BC	Cause $20K de custo ao estado
0	023535C1	0x023535C1	Cause $25K de custo ao estado
0	023535C3	0x023535C3	Cause $27.5K de custo ao estado
0	023535DD	0x023535DD	Cause $30K de custo ao estado
0	023535E2	0x023535E2	Cause $35K de custo ao estado
0	023535FE	0x023535FE	Cause $40K de custo ao estado
0	0235361F	0x0235361F	Cause $50K de custo ao estado
0	02353666	0x02353666	Cause $75K de custo ao estado
0	02DAF7E8	0x02DAF7E8	Danos no Carro
0	02E42CA0	0x02E42CA0	Se distancie por 300m para vencer!
0	02E65097	0x02E65097	Ponto Cego
0	031CCE39	0x031CCE39	ACURA NSX
0	031CDF3D	0x031CDF3D	ACURA RSX
0	032E74F8	0x032E74F8	
0	0356A548	0x0356A548	Race now vote: {0:d} of {1:d}
0	0357D9BD	0x0357D9BD	Clutch Masters
0	037FC713	0x037FC713	BMW M1 Procar (MR)
0	03A49DD7	0x03A49DD7	Are you sure you want to leave this game? Your connection to this group of players will be lost.
0	03B9ADD2	0x03B9ADD2	Autosculpt"
0	03D243E0	0x03D243E0	911 GT3 RS
0	03FB4741	0x03FB4741	Kaizer
0	041DA334	0x041DA334	NEUSPEED
0	04236D06	0x04236D06	Motion Blur
0	04278AA7	0x04278AA7	Veyron
0	042E9082	0x042E9082	Baixo
0	04736DBF	0x04736DBF	Fura-Pneus
0	047862A2	0x047862A2	Could not send password to the e-mail address associated with the provided user name!
0	049A8AFC	0x049A8AFC	CAMINHO ERRADO!
0	04AD02A9	0x04AD02A9	Castrol Syntec
0	04AEEDE8	0x04AEEDE8	Aceite o serviço de Zack
0	04C26A8D	0x04C26A8D	Enkei WDM
0	04CA47C6	0x04CA47C6	Auto Log-in Enabled
0	04F4E634	0x04F4E634	Race in progress...
0	051E7EA9	0x051E7EA9	Espelho
0	05764DA0	0x05764DA0	Vá para o objetivo!
0	0598B065	0x0598B065	PERFECT SHIFT!
0	059E1703	0x059E1703	{0:f.2} Cd
0	05AB4473	0x05AB4473	Você tem certeza de que deseja sair da corrida?\nTodo o progresso da corrida será perdido.
0	061BCB38	0x061BCB38	Para realizar um Burnout, faça com que as rodas girem por mais de dois segundos enquanto estiver parado.
0	06388636	0x06388636	Hector está chegando!
0	06560EF9	0x06560EF9	S2000
0	0686350F	0x0686350F	Dodge Charger R/T (FR)
0	06C42CC2	0x06C42CC2	Fuja!
0	06CF4395	0x06CF4395	RODAR CÂMERA
0	06D22110	0x06D22110	Circuito
0	06D55A17	0x06D55A17	Hungary
0	06E851EB	0x06E851EB	KEEP MOVING!
0	07039A8B	0x07039A8B	RANKED
0	071879A2	0x071879A2	META ATINGIDA
0	0743AA91	0x0743AA91	Transmissão
0	0749F809	0x0749F809	Música
0	078C62DA	0x078C62DA	Medidor de Dano
0	07B2CC76	0x07B2CC76	Multiplicador de Zona
0	07BCAF68	0x07BCAF68	Lunati
0	07CAFF8F	0x07CAFF8F	DRIFT ENDED
0	0807FAEA	0x0807FAEA	CHEFE
0	08131802	0x08131802	TCB Super State Police Unit
0	08136FBD	0x08136FBD	TCB Civic Police Unit
0	081371DC	0x081371DC	TCB State Police Unit
0	08138B65	0x08138B65	TCB SUV Police Unit
0	081C5AC4	0x081C5AC4	A unique custom gauge upgrade on any of your cars.
0	082CECD2	0x082CECD2	%% As Police
0	0837C1F0	0x0837C1F0	LOST PASSWORD
