#	Labrune - D:\[Modding]\NFS\StringEditor\TextStrings\Undercover\Raw\Brazilian_InGame.bin
#	File created on: 2025-06-15 21:56:03
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - InGame
0	079389AA	0x079389AA	RASPANDO: {0:d}
0	09285316	0x09285316	DESTRUIU POLICIAL: {0:d}
0	0A4150EF	0x0A4150EF	PURSUIT BREAKER: {0:d}
0	0DD30AAE	0x0DD30AAE	Loja de Partes de Rua de Palm Harbor
0	0DD30AAF	0x0DD30AAF	Concessionária Tier 3 de Palm Harbor
0	0DD30AB0	0x0DD30AB0	Loja de Partes de Corrida de Sunset Hills
0	0DD30AB1	0x0DD30AB1	Concessionária Tier 2 de Sunset Hills
0	0DD30AB2	0x0DD30AB2	Loja de Partes Profissionais de Port Crescent
0	0DD30AB3	0x0DD30AB3	Concessionária Tier 1 de Port Crescent
0	0E9D4AA2	0x0E9D4AA2	^Viatura Civil\nCusto ao Estado: ${0:d}
0	17FECFC0	0x17FECFC0	
0	21D42017	0x21D42017	Gentera Style 113 CF
0	21D42CDA	0x21D42CDA	Gentera Style 112 CF
0	21D4399D	0x21D4399D	Gentera Style 114 CF
0	21D43DDE	0x21D43DDE	Gentera Style 109 CF
0	2C49AD6C	0x2C49AD6C	VIRADA EM J: {0:d}
0	2EEDF5AC	0x2EEDF5AC	360 REVERSO: {0:d}
0	31923DEC	0x31923DEC	540 REVERSO: {0:d}
0	32999514	0x32999514	POLICIAIS
0	3436862C	0x3436862C	720 REVERSO: {0:d}
0	3D6C4706	0x3D6C4706	PRESO!
0	415F8D87	0x415F8D87	^911 Turbo\nCusto ao Estado: ${0:d}
0	4297AFC9	0x4297AFC9	VÁCUO: {0:d}
0	4297D1D1	0x4297D1D1	DRIFT: {0:d}
0	460B86E7	0x460B86E7	{0:d} m
0	51A51E38	0x51A51E38	{0:d}%
0	59B00B76	0x59B00B76	POWER SLIDE: {0:d}
0	59D9B2EC	0x59D9B2EC	BÔNUS: {0:d}
0	5C5749E7	0x5C5749E7	Gentera Style 115 CF
0	5C574E28	0x5C574E28	Gentera Style 118 CF
0	5C575269	0x5C575269	Gentera Evo CF
0	5D48571A	0x5D48571A	PASSOU PERTO x{0:d}: {1:d}
0	5E18D044	0x5E18D044	FUGINDO
0	61223AB5	0x61223AB5	VAI!
0	6323793B	0x6323793B	VEL. MÁXIMA: {0:d}
0	6697A434	0x6697A434	{0:d}/{1:d}
0	70DFE161	0x70DFE161	-{0:d}
0	70DFEB39	0x70DFEB39	+{0:d}
0	7254FD2D	0x7254FD2D	Sair?\nTodas as mudanças serão perdidas.
0	7601A99E	0x7601A99E	Meta cumprida! Fuja da perseguição.
0	78DF029A	0x78DF029A	BURNOUT 360 REVERSO: {0:d}
0	7A4CEA71	0x7A4CEA71	180: {0:d}
0	7A4CF2B1	0x7A4CF2B1	360: {0:d}
0	7A4CFAF1	0x7A4CFAF1	540: {0:d}
0	7A4D0331	0x7A4D0331	720: {0:d}
0	7C8B2B22	0x7C8B2B22	Araxis Sport CF
0	7C8B2F63	0x7C8B2F63	Araxis Sweeper CF
0	7C8B33A4	0x7C8B33A4	Araxis Blitz CF
0	7C8B37E5	0x7C8B37E5	Araxis Impact CF
0	7C8B3C26	0x7C8B3C26	Formula CF
0	7C8B4067	0x7C8B4067	Beast CF
0	7C8B44A8	0x7C8B44A8	Blister CF
0	7C8B48E9	0x7C8B48E9	Shaker CF
0	7DD30AC9	0x7DD30AC9	PASSOU PERTO: {0:d}
0	7E11054A	0x7E11054A	Voltar ao evento
0	81B4EC5F	0x81B4EC5F	BURNOUT EM 180: {0:d}
