#	Labrune - D:\Games\NFS Undercover\LANGUAGES\Russian_Frontend.bin
#	File created on: 2025-05-23 18:40:12
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - Frontend
0	AUTO	WM_STATS_ROAD_BLOCKS_DODGED_1_PURSUIT	Обойденные заграждения (1 погоня)
0	AUTO	_MC_CONFIRMTOO_MANY_SAVED_GAMES_TO_CREATE	Слишком много сохраненных игр
0	AUTO	VINYL_PART_DOD_VIP_STOCK	Stock Graphics
0	AUTO	VINYL_PART_MIT_EVOX_2TONE1	Два тона 1
0	AUTO	VINYL_PART_MIT_EVOX_2TONE2	Два тона 2
0	AUTO	VINYL_PART_MIT_EVOX_2TONE3	Два тона 3
0	AUTO	WM_REGIONSUMMARY_TOGGLE_JOBS	Задания
0	AUTO	POSTRACE_NOSHOPS_MESSAGE_GAME_OVER	Все ваши машины конфискованы полицией. Деньги у вас есть, но где купить автомобиль, вы не знаете. В следующий раз ищите магазины.
0	AUTO	WM_WANTED	Криминал
0	AUTO	VINYL_PART_CFC_FACE_CRAZY2	EYE Kon Crazy 2
0	AUTO	CUST_VINYL_LOCKED	Аппликация недоступна! Чтобы получить доступ, найдите магазин, в котором она продается.
0	AUTO	LANG_RUSSIAN_NO_TRANSLATION	РУССКИЙ
0	AUTO	VINYL_PART_KOE_CCX_2TONE1	Два тона 1
0	AUTO	VINYL_PART_KOE_CCX_2TONE2	Два тона 2
0	AUTO	VINYL_PART_KOE_CCX_2TONE3	Два тона 3
0	AUTO	VINYL_PART_NIS_SYL_STRIPE	Unique Stripe
0	AUTO	WM_STATS_TOTAL_STYLE_POINTS	Всего очков известности
0	AUTO	VINYL_PART_AFTERMARKET_KICKER	Kicker
0	AUTO	VINYL_PART_AFTERMARKET_FBRAKES	Fastbrakes
0	AUTO	POSTRACE_MESSAGE_AUDITION_FAILED	Ты не добрался до города.
0	AUTO	VINYL_PART_CFC_BANDAGES_01	EYE Kon Bandages
0	AUTO	VINYL_PART_CFC_BANDAGES_02	EYE Kon Bandages 2
0	AUTO	WHL_ENK_WRC_00	Enkei WRC Tarmac
0	AUTO	CAREER_FLASHER_DOMINATION	Лидерство
