#	Labrune - D:\Games\NFS Undercover\LANGUAGES\Russian_Global.bin
#	File created on: 2025-05-23 18:40:18
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - Global
0	AUTO	CUST_VINYLS_TRANSFORM_TITLE	Изменение аппликации
0	AUTO	CARNAME_MUSTANG03_SHORT	'03 Mustang GT
0	AUTO	PART_PERF_NITROUS_1	Dry Shot Nitrous Kit
0	AUTO	PART_PERF_NITROUS_2	Nitrous Purge Kit
0	AUTO	PART_PERF_NITROUS_3	10 lb Nitrous Bottle
0	AUTO	PART_PERF_NITROUS_4	Wet Shot Nitrous Kit
0	AUTO	PART_PERF_NITROUS_5	Nitrous Bottle Heater
0	AUTO	PART_PERF_NITROUS_6	15 lb Nitrous Bottle
0	AUTO	PART_PERF_NITROUS_7	Direct Port Nitrous Kit
0	AUTO	PART_PERF_NITROUS_8	Nitrous Pressure Controller
0	AUTO	PART_PERF_NITROUS_9	20 lb Nitrous Bottle
0	AUTO	VINYL_PART_AFTERMARKET_INTRAX	InTrax Suspension
0	AUTO	CARNAME_NISSAN_240SX	Nissan 240SX (S13)
0	AUTO	CARNAME_CHEVROLET_CORVETTE	CHEVROLET CORVETTE C6
0	AUTO	ON_LOGIN_PASSWORD	Пароль
0	AUTO	MENU_POSTRACE_AVERAGE_DRIFT_LENGTH	СРЕД. ДИСТАНЦИЯ
0	AUTO	TIP_DESC_NITROUSDRIFT	Чтобы уйти в занос, дерни ручник на повороте.\n\nЗанос на закиси азота выполняется почти так же. Но когда машина начнет вращаться, вруби закись азота и разверни колеса в обратную вращению сторону.
0	AUTO	CARNAME_MAZDA_RX7	Mazda RX-7
0	AUTO	CARNAME_MAZDA_RX8	Mazda RX-8
0	AUTO	TIP_DESC_INTHEZONEMULTIPLIER	При успешном выполнении трюков ты будешь быстрее набирать очки известности. В начале эпизода множитель известности равен 1. После безупречно выполненных трюков он вырастет до 2, и ты в два раза быстрее будешь набирать очки. Максимальное значение множителя - 5.
0	AUTO	HUD_CANYON_COLLISION_PENALTY	СТОЛКНОВЕНИЕ %$d ОЧК.
0	AUTO	TIP_DESC_NITROUSOXIDE	Как ты, наверное, понимаешь, система впрыска закиси азота не включена в стандартную комплектацию машины. Как только ты откроешь к ней доступ - сразу устанавливай. Скоро ты не сможешь ездить без нитры. Наслаждайся скоростью!\n\nИндикатор закиси азота находится с правой стороны экрана рядом со спидометром. Чтобы разогнаться, нажми клавишу впрыска закиси азота и держи ее до тех пор, пока не наберешь нужную скорость. Запас закиси азота ограничен и восстанавливается со временем. Чтобы быстрее пополнить его, выполняй трюки, гоняй по улицам на бешеной скорости и набирай очки известности.
0	AUTO	VINYL_PART_MANUFACTURER_CORVETTE	Corvette
0	AUTO	DEMO_CUSTOMIZATION_SELL	Технология Autosculpt™ позволяет создавать уникальные запчасти для различных типов машин.\nВы можете изменять кузова, диски, капоты, спойлеры и воздухозаборники.\nИспользуя эту технологию, а также наклейки, аппликации и необычные варианты окраски, вы сможете придать своему автомобилю неповторимый облик.
0	AUTO	DEMO_CUSTOMIZATION_ZOOM	Масштаб
0	AUTO	STAT_NUM_TIMES_RACED	Всего гонок
0	AUTO	CARNAME_BMWM3_SHORT	M3 E46
0	AUTO	HUD_YOUR_TIME	ТВОЕ ВРЕМЯ:
0	AUTO	PART_SPOILER_0	СЕРИЙНЫЕ
0	AUTO	PART_SPOILER_1	JORGEN
0	AUTO	PART_SPOILER_2	ROCKER 5
0	AUTO	PART_SPOILER_3	AIRFORCE
0	AUTO	PART_SPOILER_4	ARROW
0	AUTO	PART_SPOILER_5	BARRACUDA
0	AUTO	PART_SPOILER_6	WILDFIRE
0	AUTO	PART_SPOILER_7	RIPPER
0	AUTO	PART_SPOILER_8	REAPER
0	AUTO	PART_SPOILER_9	BORRA
0	AUTO	CAREER_EVENT_CTS_10	Нанеси ущерб государству на 10 тысяч долларов
0	AUTO	CAREER_EVENT_CTS_12	Нанеси ущерб государству на 12,5 тысяч долларов
0	AUTO	CAREER_EVENT_CTS_15	Нанеси ущерб государству на 15 тысяч долларов
0	AUTO	CAREER_EVENT_CTS_20	Нанеси ущерб государству на 20 тысяч долларов
0	AUTO	CAREER_EVENT_CTS_25	Нанеси ущерб государству на 25 тысяч долларов
0	AUTO	CAREER_EVENT_CTS_30	Нанеси ущерб государству на 30 тысяч долларов
0	AUTO	CAREER_EVENT_CTS_40	Нанеси ущерб государству на 40 тысяч долларов
0	AUTO	CAREER_EVENT_CTS_50	Нанеси ущерб государству на 50 тысяч долларов
0	AUTO	CAREER_EVENT_CTS_75	Нанеси ущерб государству на 75 тысяч долларов
0	AUTO	PAUSE_OPTION_CAR_DAMAGE	Показ повреждений
0	AUTO	CAREER_EVENT_HIGHWAY_BATTLE_METRIC	Оторвись на 300 метров, чтобы выиграть
0	AUTO	COMMON_LOCATION_HIDING_SPOT	Укрытие
0	AUTO	CARNAME_ACURA_NSX	ACURA NSX
0	AUTO	CARNAME_ACURA_RSX	ACURA RSX
0	AUTO	CUST_NEED_XBOX_LIVE_PROFILE	
0	AUTO	ON_GAME_ROOM_START_RACE_NOW_VOTE	Голосование за начало гонки: {0:d} из {1:d}
0	AUTO	VINYL_PART_AFTERMARKET_CLUTCHMASTERS	Clutch Masters
0	AUTO	ON_ERROR_CONFIRM_LEAVE_GAME	Вы действительно хотите выйти из игры? Связь с этой группой игроков будет разорвана.
0	AUTO	TIP_SUBJ_AUTOSCULPT	Autosculpt™
0	AUTO	CARNAME_997GT3RS_SHORT	911 GT3 RS
0	AUTO	VINYL_PART_AFTERMARKET_KAIZER	Kaizer
