#	Labrune - D:\Games\NFS Undercover\LANGUAGES\Swedish_Frontend.bin
#	File created on: 2025-05-23 18:41:33
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - Frontend
0	AUTO	WM_STATS_ROAD_BLOCKS_DODGED_1_PURSUIT	Undvikna avspärringar (1 jakt)
0	AUTO	_MC_CONFIRMTOO_MANY_SAVED_GAMES_TO_CREATE	För många att spara
0	AUTO	VINYL_PART_DOD_VIP_STOCK	Standardgrafik
0	AUTO	VINYL_PART_MIT_EVOX_2TONE1	Två toner 1
0	AUTO	VINYL_PART_MIT_EVOX_2TONE2	Två toner 2
0	AUTO	VINYL_PART_MIT_EVOX_2TONE3	Två toner 3
0	AUTO	WM_REGIONSUMMARY_TOGGLE_JOBS	Jobb
0	AUTO	POSTRACE_NOSHOPS_MESSAGE_GAME_OVER	Din senaste bil har beslagtagits. Du har pengar, men ingen affär att köpa en ny bil i. Hitta bilaffärerna nästa gång.
0	AUTO	WM_WANTED	Efterlyst
0	AUTO	VINYL_PART_CFC_FACE_CRAZY2	EYE Kon Galen 2
0	AUTO	CUST_VINYL_LOCKED	Den här dekalen är låst! Lås upp den genom att upptäcka dess visning.
0	AUTO	LANG_RUSSIAN_NO_TRANSLATION	РУССКИЙ
0	AUTO	VINYL_PART_KOE_CCX_2TONE1	Två toner 1
0	AUTO	VINYL_PART_KOE_CCX_2TONE2	Två toner 2
0	AUTO	VINYL_PART_KOE_CCX_2TONE3	Två toner 3
0	AUTO	VINYL_PART_NIS_SYL_STRIPE	Unik rand
0	AUTO	WM_STATS_TOTAL_STYLE_POINTS	Totala zonpoäng
0	AUTO	VINYL_PART_AFTERMARKET_KICKER	Kicker
0	AUTO	VINYL_PART_AFTERMARKET_FBRAKES	Fastbrakes
0	AUTO	POSTRACE_MESSAGE_AUDITION_FAILED	Du lyckades inte ta dig till city.
0	AUTO	VINYL_PART_CFC_BANDAGES_01	EYE Kon Bandage
0	AUTO	VINYL_PART_CFC_BANDAGES_02	EYE Kon Bandage 2
0	AUTO	WHL_ENK_WRC_00	Enkei WRC Tarmac
0	AUTO	CAREER_FLASHER_DOMINATION	Dominering
0	AUTO	CUST_VINYLS_COLOUR_TITLE	Vinylfärg
0	AUTO	SPOILER_1	Gentera Style 204
0	AUTO	SPOILER_2	Gentera Style 113
0	AUTO	SPOILER_3	Gentera Style 302
0	AUTO	SPOILER_4	Gentera Style 304
0	AUTO	SPOILER_5	Gentera Style 112
0	AUTO	SPOILER_6	Gentera Style 205
0	AUTO	SPOILER_7	Gentera Style 305
0	AUTO	SPOILER_8	Gentera Style 114
0	AUTO	SPOILER_9	Gentera Style 109
0	AUTO	VINYL_PART_DOD_CHA71_STRIPE	Unik rand
0	AUTO	WHL_WEL_KRU_00	Weld Kruiser
0	AUTO	WM_STATS_CAREER_COMPLETE	Karriär klar
0	AUTO	POSTRACE_IMPOUNDED	Beslagtagen!
0	AUTO	COMMON_CHANGE_CAR	BYT  BIL
0	AUTO	WM_LEGEND_EVENT	Tävling
0	AUTO	WHL_WEL_LEG_00	Weld Legacy
0	AUTO	VINYL_PART_GR_BLUEFLAME	Grizzly Blå flammor
0	AUTO	WHL_HRE_541_00	HRE 541R
0	AUTO	WHL_HRE_549_00	HRE 549R
0	AUTO	WHL_HRE_597_00	HRE 597R
0	AUTO	VINYL_PART_DOD_CHR_STOCK	Standardgrafik
0	AUTO	POSTRACE_LBL_YOUR_TIME	Din tid
0	AUTO	ONLINE_TOS	Regler och villkor
0	AUTO	WHL_IFO_MAR_00	IForged Marquis
0	AUTO	VINYL_PART_AFTERMARKET_INNOVATE	Innovate Motorsports
0	AUTO	VINYL_PART_AFTERMARKET_AUTOMETER	Auto Meter
0	AUTO	VINYL_PART_2T_997GT3RS	Två toner 9
0	AUTO	CUST_PEFORM_CURRENTLEVEL	Nuvarande nivå:
