#	Labrune - D:\Games\NFS Undercover\LANGUAGES\Swedish_Global.bin
#	File created on: 2025-05-23 18:41:38
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - Global
0	AUTO	CUST_VINYLS_TRANSFORM_TITLE	Vinylförändring
0	AUTO	CARNAME_MUSTANG03_SHORT	'03 Mustang GT
0	AUTO	PART_PERF_NITROUS_1	Dry Shot Nitrous Kit
0	AUTO	PART_PERF_NITROUS_2	Nitrous Purge Kit
0	AUTO	PART_PERF_NITROUS_3	10 lb Nitrous Bottle
0	AUTO	PART_PERF_NITROUS_4	Wet Shot Nitrous Kit
0	AUTO	PART_PERF_NITROUS_5	Nitrous Bottle Heater
0	AUTO	PART_PERF_NITROUS_6	15 lb Nitrous Bottle
0	AUTO	PART_PERF_NITROUS_7	Direct Port Nitrous Kit
0	AUTO	PART_PERF_NITROUS_8	Nitrous Pressure Controller
0	AUTO	PART_PERF_NITROUS_9	20 lb Nitrous Bottle
0	AUTO	VINYL_PART_AFTERMARKET_INTRAX	InTrax Suspension
0	AUTO	CARNAME_NISSAN_240SX	Nissan 240SX (S13)
0	AUTO	CARNAME_CHEVROLET_CORVETTE	CHEVROLET CORVETTE C6
0	AUTO	ON_LOGIN_PASSWORD	Lösenord
0	AUTO	MENU_POSTRACE_AVERAGE_DRIFT_LENGTH	MEDELLÄNGD
0	AUTO	TIP_DESC_NITROUSDRIFT	Använd handbromsen stötvis i kurvor för att sladda.\n\nFör att göra en lustgassladd går du in i en sladd som vanligt. När bilen börjar sladda aktiverar du lustgasen och ser till att parera med ratten.
0	AUTO	CARNAME_MAZDA_RX7	Mazda RX-7
0	AUTO	CARNAME_MAZDA_RX8	Mazda RX-8
0	AUTO	TIP_DESC_INTHEZONEMULTIPLIER	"Zonmätaren" har en multiplikator för zonpoäng. Zonmultiplikatorn börjar på x1 och kan öka till x5. Ju högre multiplikatorn är, desto snabbare får du zonpoäng. Multiplikatorn går tillbaka till x1 i början av varje tävling.
