#	Labrune - D:\Games\NFS Undercover\LANGUAGES\Swedish_InGame.bin
#	File created on: 2025-05-23 18:41:44
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - InGame
0	AUTO	HUD_STYLE_POINT_GRINDING	SKRAPNING: {0:d}
0	AUTO	HUD_STYLE_POINT_COP_TAKEOUT	POLIS UTSLAGEN: {0:d}
0	AUTO	HUD_STYLE_POINT_PURSUIT_BREAKER	AVSLUT PÅ JAKT: {0:d}
0	AUTO	HUD_SHOWROOM1	Streetdelsbutik i Palm Harbor
0	AUTO	HUD_SHOWROOM2	Bilhandlare i Palm Harbor (Nivå 3)
0	AUTO	HUD_SHOWROOM3	Tävlingsdelsbutik i Sunset Hills
0	AUTO	HUD_SHOWROOM4	Bilhandlare i Sunset Hills (Nivå 2)
0	AUTO	HUD_SHOWROOM5	Proffsdelsbutik i Port Crescent
0	AUTO	HUD_SHOWROOM6	Bilhandlare i Port Crescent (Nivå 1)
0	AUTO	HUD_CIVIC_COP_IMMOBILIZED	Kommunal enhet utslagen\nKostnad för staten: {0:d} $
0	AUTO	T_Credits	
0	AUTO	SPOILER_2CF	Gentera Style 113 CF
0	AUTO	SPOILER_5CF	Gentera Style 112 CF
0	AUTO	SPOILER_8CF	Gentera Style 114 CF
0	AUTO	SPOILER_9CF	Gentera Style 109 CF
0	AUTO	HUD_STYLE_POINT_180_REVERSE	J-SVÄNG: {0:d}
0	AUTO	HUD_STYLE_POINT_360_REVERSE	BACKA 360: {0:d}
0	AUTO	HUD_STYLE_POINT_540_REVERSE	OMVÄND 540-SVÄNG: {0:d}
0	AUTO	HUD_COPS	POLISER
0	AUTO	HUD_STYLE_POINT_720_REVERSE	OMVÄND 720-SVÄNG: {0:d}
0	AUTO	HUD_BUSTED	ARRESTERAD!
0	AUTO	HUD_FEDERAL_COP_IMMOBILIZED	FEDERAL ENHET UTSLAGEN\nKOSTNAD FÖR STATEN: {0:d} $
0	AUTO	HUD_STYLE_POINT_DRAFT	VINDDRAG: {0:d}
0	AUTO	HUD_STYLE_POINT_DRIFT	DRIFT: {0:d}
0	AUTO	COMMON_X_METERS_SHORT_INT	{0:d} m
0	AUTO	COMMON_PERCENT	{0:d} %
0	AUTO	HUD_STYLE_POINT_POWERSLIDE	KRAFTIG DRIFT: {0:d}
0	AUTO	HUD_STYLE_POINT_BONUS_START	BONUSSTART: {0:d}
0	AUTO	SPOILER_11CF	Gentera Style 115 CF
0	AUTO	SPOILER_12CF	Gentera Style 118 CF
0	AUTO	SPOILER_13CF	Gentera Evo CF
0	AUTO	HUD_STYLE_POINT_NEAR_MISS_MULT	NÄRA KROCK x{0:d}: {1:d}
0	AUTO	HUD_COOLDOWN	COOLDOWN
0	AUTO	HUD_GO	KÖR!
0	AUTO	HUD_STYLE_POINT_TOP_SPEED	TOPPHASTIGHET: {0:d}
0	AUTO	HUD_POSITION	{0:d}/{1:d}
0	AUTO	COMMON_NEG	-{0:d}
0	AUTO	COMMON_POS	+{0:d}
0	AUTO	DIALOG_MSG_CONFIRM_EXIT_TO_FREEROAM	Är du säker på att du vill avsluta?\nAlla framsteg kommer att förloras.
0	AUTO	HUD_TARGET_ACHIEVED	Målet uppnått! Undkom för att vinna
0	AUTO	HUD_STYLE_POINT_360_REVERSE_BURNOUT	BACKANDE 360 BURNOUT: {0:d}
0	AUTO	HUD_STYLE_POINT_180	180-SVÄNG: {0:d}
0	AUTO	HUD_STYLE_POINT_360	360-SVÄNG: {0:d}
0	AUTO	HUD_STYLE_POINT_540	540-SVÄNG: {0:d}
0	AUTO	HUD_STYLE_POINT_720	720-SVÄNG: {0:d}
0	AUTO	HOOD_1CF	Araxis Sport CF
0	AUTO	HOOD_2CF	Araxis Sweeper CF
0	AUTO	HOOD_3CF	Araxis Blitz CF
0	AUTO	HOOD_4CF	Araxis Impact CF
0	AUTO	HOOD_5CF	Formula CF
0	AUTO	HOOD_6CF	Beast CF
0	AUTO	HOOD_7CF	Blister CF
0	AUTO	HOOD_8CF	Shaker CF
0	AUTO	HUD_STYLE_POINT_CLOSE_CALL	NÄRA ÖGAT: {0:d}
0	AUTO	COMMON_RETURN_TO_EVENT	Återvänd till tävling
0	AUTO	HUD_STYLE_POINT_180_BURNOUT	180 BURNOUT: {0:d}
0	AUTO	HUD_STYLE_POINT_360_BURNOUT	360 BURNOUT: {0:d}
0	AUTO	HUD_LAP	VARV
0	AUTO	COMMON_PURSUIT_ONLY	Enbart jakt
0	AUTO	HUD_EVADE	UNDKOM
0	AUTO	HUD_TIMER	TID
0	AUTO	HUD_STYLE_POINT_CLEAN_SECTION	PERFEKT STRÄCKA: {0:d}
0	AUTO	HUD_STYLE_POINT_COUNTING	POÄNGRÄKNING: {0:d}
0	AUTO	HUD_STYLE_POINT_NOS_DRIFT	LUSTGASSLADD: {0:d}
0	AUTO	HUD_STYLE_POINT_CLEAN_SECTION_MULT	PERFEKT STRÄCKA x{0:d}: {1:d}
0	AUTO	HUD_CTS_CURRENT_OVER_TOTAL	{0:d} $ / {1:d} $
0	AUTO	HUD_TACH_ABBREV_NEUTRAL	N
0	AUTO	HUD_ROBBERS	TJUVAR
0	AUTO	HUD_STYLE_POINT_BURNOUT	BURNOUT: {0:d}
0	AUTO	HUD_STYLE_POINT_RUBOUT	UTSLAGNING: {0:d}
0	AUTO	HUD_LEVEL_UP	INSTRUMENTBRÄDEUPPGRADERING: {0:d}
0	AUTO	HUD_STYLE_POINT_PASSING	OMKÖRNING: {0:d}
0	AUTO	HUD_STYLE_POINT_WINNER	Racevinnare: {0:d}
0	AUTO	HUD_STATE_COP_IMMOBILIZED	DELSTATSENHET UTSLAGEN\nKOSTNAD FÖR STATEN: {0:d} $
0	AUTO	HUD_STYLE_POINT_RANKING_1	1:a PLACERING: {0:d}
0	AUTO	HUD_STYLE_POINT_RANKING_2	2:a PLACERING: {0:d}
0	AUTO	HUD_STYLE_POINT_RANKING_3	3:e PLACERING: {0:d}
0	AUTO	HUD_STYLE_POINT_RANKING_4	4:e PLACERING: {0:d}
0	AUTO	HUD_STYLE_POINT_RANKING_5	5:e PLACERING: {0:d}
0	AUTO	HUD_STYLE_POINT_RANKING_6	6:e PLACERING: {0:d}
0	AUTO	HUD_STYLE_POINT_RANKING_7	7:e PLACERING: {0:d}
0	AUTO	HUD_STYLE_POINT_NEAR_MISS	NÄRA KROCK: {0:d}
0	AUTO	HUD_SUV_COP_IMMOBILIZED	SUV-ENHET UTSLAGEN\nKOSTNAD FÖR STATEN: {0:d} $
0	AUTO	HUD_SUPER_STATE_COP_IMMOBILIZED	SUPERDELSTATSENHET UTSLAGEN\n KOSTNAD FÖR STATEN: {0:d} $
0	AUTO	HUD_MULTIPLIER	x
0	AUTO	HUD_TACH_ABBREV_REVERSE	B
0	AUTO	HUD_STYLE_POINT_AIR_JUMP	HOPP: {0:d}
0	AUTO	IN_GAME_TEMP	Temp
0	AUTO	HUD_COP_TAKEOUT	PREJADE POLISER
0	AUTO	HUD_STYLE_POINT_PENALTY_COUNT	STRAFF: {0:d}
0	AUTO	COMMON_X_METERS_SHORT_STRING	{0:s} m
0	AUTO	HUD_STYLE_POINT_180_REVERSE_BURNOUT	BACKANDE 180 BURNOUT: {0:d}
0	AUTO	HUD_STYLE_POINT_TRADE_PAINT	SNUDDNING: {0:d}
0	AUTO	COMMON_X_FEET_SHORT_STRING	{0:s} fot
