#	Labrune - D:\Games\NFS Undercover\LANGUAGES\Chinese_Simp_Frontend.bin
#	File created on: 2025-05-23 18:32:00
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - Frontend
0	AUTO	WM_STATS_ROAD_BLOCKS_DODGED_1_PURSUIT	避开路障（1次追逐）
0	AUTO	_MC_CONFIRMTOO_MANY_SAVED_GAMES_TO_CREATE	太多而无法保存
0	AUTO	VINYL_PART_DOD_VIP_STOCK	原厂图像
0	AUTO	VINYL_PART_MIT_EVOX_2TONE1	双色调 1
0	AUTO	VINYL_PART_MIT_EVOX_2TONE2	双色调 2
0	AUTO	VINYL_PART_MIT_EVOX_2TONE3	双色调 3
0	AUTO	WM_REGIONSUMMARY_TOGGLE_JOBS	任务
0	AUTO	POSTRACE_NOSHOPS_MESSAGE_GAME_OVER	你的最后一辆赛车也被扣押了。现在你还有钱，但没有可以购买新车的商店。下次请找好车店。
0	AUTO	WM_WANTED	通缉
0	AUTO	VINYL_PART_CFC_FACE_CRAZY2	EYE Kon疯狂2
0	AUTO	CUST_VINYL_LOCKED	该喷绘为锁定！通过找寻其陈列室来解锁。
0	AUTO	LANG_RUSSIAN_NO_TRANSLATION	РУССКИЙ
0	AUTO	VINYL_PART_KOE_CCX_2TONE1	双色调 1
0	AUTO	VINYL_PART_KOE_CCX_2TONE2	双色调 2
0	AUTO	VINYL_PART_KOE_CCX_2TONE3	双色调 3
0	AUTO	VINYL_PART_NIS_SYL_STRIPE	独特条纹
0	AUTO	WM_STATS_TOTAL_STYLE_POINTS	总区域点数
0	AUTO	VINYL_PART_AFTERMARKET_KICKER	Kicker
0	AUTO	VINYL_PART_AFTERMARKET_FBRAKES	Fastbrakes
0	AUTO	POSTRACE_MESSAGE_AUDITION_FAILED	您没能做到
0	AUTO	VINYL_PART_CFC_BANDAGES_01	EYE Kon绷带
0	AUTO	VINYL_PART_CFC_BANDAGES_02	EYE Kon绷带2
0	AUTO	WHL_ENK_WRC_00	Enkei WRC Tarmac
0	AUTO	CAREER_FLASHER_DOMINATION	称霸
0	AUTO	CUST_VINYLS_COLOUR_TITLE	乙烯喷绘
0	AUTO	SPOILER_1	Gentera Style 204
0	AUTO	SPOILER_2	Gentera Style 113
0	AUTO	SPOILER_3	Gentera Style 302
0	AUTO	SPOILER_4	Gentera Style 304
0	AUTO	SPOILER_5	Gentera Style 112
0	AUTO	SPOILER_6	Gentera Style 205
0	AUTO	SPOILER_7	Gentera Style 305
0	AUTO	SPOILER_8	Gentera Style 114
0	AUTO	SPOILER_9	Gentera Style 109
0	AUTO	VINYL_PART_DOD_CHA71_STRIPE	独特条纹
0	AUTO	WHL_WEL_KRU_00	Weld Kruiser
0	AUTO	WM_STATS_CAREER_COMPLETE	生涯完成度
0	AUTO	POSTRACE_IMPOUNDED	扣押！
0	AUTO	COMMON_CHANGE_CAR	更改赛车
0	AUTO	WM_LEGEND_EVENT	车赛
0	AUTO	WHL_WEL_LEG_00	Weld Legacy
0	AUTO	VINYL_PART_GR_BLUEFLAME	Grizzly蓝火
0	AUTO	WHL_HRE_541_00	HRE 541R
0	AUTO	WHL_HRE_549_00	HRE 549R
0	AUTO	WHL_HRE_597_00	HRE 597R
0	AUTO	VINYL_PART_DOD_CHR_STOCK	原厂图像
0	AUTO	POSTRACE_LBL_YOUR_TIME	你的用时
