#	Labrune - D:\Games\NFS Undercover\LANGUAGES\Chinese_Simp_Global.bin
#	File created on: 2025-05-23 18:32:12
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - Global
0	AUTO	CUST_VINYLS_TRANSFORM_TITLE	*喷绘变化*
0	AUTO	CARNAME_MUSTANG03_SHORT	'03 Mustang GT
0	AUTO	PART_PERF_NITROUS_1	Dry Shot Nitrous Kit
0	AUTO	PART_PERF_NITROUS_2	Nitrous Purge Kit
0	AUTO	PART_PERF_NITROUS_3	10 lb Nitrous Bottle
0	AUTO	PART_PERF_NITROUS_4	Wet Shot Nitrous Kit
0	AUTO	PART_PERF_NITROUS_5	Nitrous Bottle Heater
0	AUTO	PART_PERF_NITROUS_6	15 lb Nitrous Bottle
0	AUTO	PART_PERF_NITROUS_7	Direct Port Nitrous Kit
0	AUTO	PART_PERF_NITROUS_8	Nitrous Pressure Controller
0	AUTO	PART_PERF_NITROUS_9	20 lb Nitrous Bottle
0	AUTO	VINYL_PART_AFTERMARKET_INTRAX	InTrax Suspension
0	AUTO	CARNAME_NISSAN_240SX	Nissan 240SX (S13)
0	AUTO	CARNAME_CHEVROLET_CORVETTE	CHEVROLET CORVETTE C6
0	AUTO	ON_LOGIN_PASSWORD	密码
0	AUTO	MENU_POSTRACE_AVERAGE_DRIFT_LENGTH	平均长度
0	AUTO	TIP_DESC_NITROUSDRIFT	要实现漂移，需在拐弯时轻点手刹。\n\n要实现氮气漂移，在进入弯道时与普通漂移操作相同，当赛车开始转向并进入漂移状态后，启动氮气，然后反打方向盘。
0	AUTO	CARNAME_MAZDA_RX7	Mazda RX-7
0	AUTO	CARNAME_MAZDA_RX8	Mazda RX-8
0	AUTO	TIP_DESC_INTHEZONEMULTIPLIER	“区域指示计”会对区域点数进行数字加乘。区域加乘最开始是x1，最高会增加到x5。加乘越高，你获得区域点数的速度越快。每次比赛都会重置加乘。
0	AUTO	HUD_CANYON_COLLISION_PENALTY	碰撞 %$d分
0	AUTO	TIP_DESC_NITROUSOXIDE	没有车一开始就配备氮气系统，因此当你解锁氮气系统后，不要忘了给爱车装上一套。使用氮气进行加速很快就会成为习惯动作。要提高速度，请善用氮气。\n \n氮气指示计位于仪表盘右边，邻近速度计。按下氮气键来启动，按住氮气键来保持氮气加速。当你想结束加速时松开氮气键。每次启动后，氮气都需要冷却一段时间后才能再次启动。高速驾驶和能够增加你区域点数的帅气动作都将有效充填氮气系统。
0	AUTO	VINYL_PART_MANUFACTURER_CORVETTE	Corvette
0	AUTO	DEMO_CUSTOMIZATION_SELL	Autosculpt™允许你制作自己的配件来定制你的赛车。\n你可以修改车身，车轮，引擎盖，扰流翼，车顶来完全自由组装。\n自定义不仅如此。你还可以继续自己设计自己的赛车，喷自己喜欢的颜色，添加自己喜欢的喷绘，贴纸，安装部件到你独特的改装车，大马力车，或超级跑车中。
0	AUTO	DEMO_CUSTOMIZATION_ZOOM	缩放
0	AUTO	STAT_NUM_TIMES_RACED	玩过的次数
0	AUTO	CARNAME_BMWM3_SHORT	M3 E46
0	AUTO	HUD_YOUR_TIME	你所用的时间：
0	AUTO	PART_SPOILER_0	原厂
0	AUTO	PART_SPOILER_1	JORGEN
0	AUTO	PART_SPOILER_2	ROCKER 5
0	AUTO	PART_SPOILER_3	AIRFORCE
0	AUTO	PART_SPOILER_4	ARROW
0	AUTO	PART_SPOILER_5	BARRACUDA
0	AUTO	PART_SPOILER_6	WILDFIRE
0	AUTO	PART_SPOILER_7	RIPPER
0	AUTO	PART_SPOILER_8	REAPER
0	AUTO	PART_SPOILER_9	BORRA
0	AUTO	CAREER_EVENT_CTS_10	导致$10k公物损失
0	AUTO	CAREER_EVENT_CTS_12	导致$12.5k公物损失
0	AUTO	CAREER_EVENT_CTS_15	导致$15k公物损失
0	AUTO	CAREER_EVENT_CTS_20	导致$20k公物损失
0	AUTO	CAREER_EVENT_CTS_25	导致$25k公物损失
0	AUTO	CAREER_EVENT_CTS_30	导致$30k公物损失
0	AUTO	CAREER_EVENT_CTS_40	导致$40k公物损失
0	AUTO	CAREER_EVENT_CTS_50	导致$50k公物损失
0	AUTO	CAREER_EVENT_CTS_75	导致$75k公物损失
0	AUTO	PAUSE_OPTION_CAR_DAMAGE	赛车损伤
0	AUTO	CAREER_EVENT_HIGHWAY_BATTLE_METRIC	领先300M来获胜
0	AUTO	COMMON_LOCATION_HIDING_SPOT	隐藏点
0	AUTO	CARNAME_ACURA_NSX	ACURA NSX
0	AUTO	CARNAME_ACURA_RSX	ACURA RSX
0	AUTO	CUST_NEED_XBOX_LIVE_PROFILE	
0	AUTO	ON_GAME_ROOM_START_RACE_NOW_VOTE	立即比赛投票：{0:d}/{1:d}
0	AUTO	VINYL_PART_AFTERMARKET_CLUTCHMASTERS	Clutch Masters
0	AUTO	ON_ERROR_CONFIRM_LEAVE_GAME	你确定要离开这场游戏吗？你与这组玩家的所有连接将中断。
0	AUTO	TIP_SUBJ_AUTOSCULPT	Autosculpt™
0	AUTO	CARNAME_997GT3RS_SHORT	911 GT3 RS
0	AUTO	VINYL_PART_AFTERMARKET_KAIZER	Kaizer
0	AUTO	VINYL_PART_AFTERMARKET_NEUSPEED	NEUSPEED
0	AUTO	OPTIONS_PC_MOTION_BLUR	动态模糊
0	AUTO	CARNAME_VEYRON_SHORT	Veyron
0	AUTO	TIP_SUBJ_SPIKESTRIPS	刺带
0	AUTO	ON_ERROR_EMAIL_PASSWORD_FAILED	无法发送密码至与用户名关联的电子邮件！
0	AUTO	HUD_WRONG_WAY	方向错误
0	AUTO	VINYL_PART_AFTERMARKET_CASTROLSYNTEC	Castrol Syntec
0	AUTO	CAREER_FLASHER_R_ZACK_JOB	接下Zack的任务
0	AUTO	WHL_ENK_WDM_00	Enkei WDM
0	AUTO	ON_LOGIN_AUTOLOGIN_TOGGLE	启用自动登录
0	AUTO	ON_RACE_IN_PROGRESS_CAR_SELECT	比赛进行中……
0	AUTO	CUST_VINYL_MIRROR	镜像
0	AUTO	ON_CR_HUD_GET_TO_THE_DROPOFF	前往藏钱点！
0	AUTO	HUD_SHIFT_PERFECT	完美的换档！
0	AUTO	COMMON_DRAG_COEFFICIENT	{0:f.2} Cd
0	AUTO	DEMO_CONFIRM_QUIT	你确定要退出比赛？\n所有比赛进度将会丢失。
0	AUTO	TIP_DESC_BURNOUT	要实现暖胎，需在静止时快速旋转车轮至少两秒。
0	AUTO	MISSION_WARN_RACE_HECTOR	就快追上Hector了！
0	AUTO	CARNAME_S2000_SHORT	S2000
0	AUTO	CARNAME_DODGE_VINTAGE_CHARGER69	Dodge Charger R/T
0	AUTO	CAREER_EVENT_ESCAPE	甩掉警车！
0	AUTO	CUST_ROTATECAMERA	旋转镜头
0	AUTO	DEMO_CIRCUIT_RACE	绕圈赛
0	AUTO	VINYL_PART_NF_HUNGARY	匈牙利
0	AUTO	HUD_DRIFT_KEEP_MOVING	继续前进！
0	AUTO	ON_GAMETYPE_RANKED	排名
0	AUTO	PURSUIT_MILESTONE_ACHIEVED	获得转机
0	AUTO	OPTION_INTERFACE_TRANSMISSION	变速箱
0	AUTO	OPTION_AUDIO_MUSIC	音乐
0	AUTO	TIP_SUBJ_DAMAGEMETER	损伤表
0	AUTO	CAREER_FLASHER_ZONE_MULTIPLIER	区域加乘
0	AUTO	VINYL_PART_AFTERMARKET_LUNATI	Lunati
0	AUTO	HUD_DRIFT_DRIFT_ENDED	漂移结束
0	AUTO	VINYL_PART_BOSS_BUSHIDO	BOSS
0	AUTO	CARNAME_PRESET_911	TCB 超级州警单位
0	AUTO	CARNAME_PRESET_MED	TCB城市警察单位
0	AUTO	CARNAME_PRESET_MUS	TCB州警单位
0	AUTO	CARNAME_PRESET_SUV	TCB SUV警察单位
0	AUTO	MARKER_NAME_DESCRIPTION_HUD	适用于所有赛车的自定义仪表盘升级。
0	AUTO	STAT_PERC_AS_POLICE	%%扮演警察
0	AUTO	ON_LOGIN_RETRIEVEPASS	失去密码
0	AUTO	ON_LOGIN_RETRIEVEUSER	失去用户名
0	AUTO	COMMON_X_LBS_FLOAT	{0:f.0} LBS
0	AUTO	ON_LEADERBOARD_BEST_BOUNTY	公物损失
0	AUTO	HELP_RACE	比赛
0	AUTO	CARNAME_PONTIAC_GTO	Pontiac GTO
0	AUTO	VINYL_PART_AFTERMARKET_MATRIX	Matrix Racing
0	AUTO	CARNAME_LAMBORGHINI_MURCIELAGO640	LAMBORGHINI MURCIÉLAGO LP640
0	AUTO	HUD_FINISH_SIXTEEN	你是第16名
0	AUTO	ON_LEADERBOARD_TOTAL_FINES	全部罚金
0	AUTO	PS3_INSTALL_ERROR_FILE	
0	AUTO	VINYL_PART_AFTERMARKET_MOROSO	Moroso
0	AUTO	VINYL_PART_AFTERMARKET_MOTEGI	MOTEGI
0	AUTO	ON_EXISTINGACCOUNT	输入您已有的EA帐户和密码
0	AUTO	ON_ALERT_MSG_CITY_A	%s已经解锁Sunset Hills。
0	AUTO	ON_ALERT_MSG_CITY_B	%s已经解锁Port Crescent。
0	AUTO	ON_CREATE_SUGGESTION_LABEL	建议 %d
0	AUTO	PART_HOOD_CF_1	BEAST CF
0	AUTO	PART_HOOD_CF_2	DOUBLE-V CF
0	AUTO	PART_HOOD_CF_3	TRI-SLOT CF
0	AUTO	PART_HOOD_CF_4	SPEED CF
0	AUTO	PART_HOOD_CF_5	G-FORCE CF
0	AUTO	PART_HOOD_CF_6	OVERDIAL CF
0	AUTO	PART_HOOD_CF_7	TRIDENT CF
0	AUTO	PART_HOOD_CF_8	SPEEDLINE CF
0	AUTO	PART_HOOD_CF_9	DUAL-STAGE CF
0	AUTO	COMMON_ABBREV_FT	FT
0	AUTO	COMMON_ABBREV_KG	kg
0	AUTO	STAT_NUM_TIMES_BUSTED	被逮捕次数
0	AUTO	CARNAME_MAZDASPEED3_SHORT	Mazdaspeed3
0	AUTO	ON_COMMON_DECLINE	拒绝
0	AUTO	CAREER_FLASHER_CITYASHOP	可使用Sunset Hills车店
0	AUTO	CAREER_FLASHER_CITYBSHOP	可使用Port Crescent车店
0	AUTO	CAREER_FLASHER_CITYCSHOP	Palm Harbor车店开放
0	AUTO	CUST_PARTS_WHEELS	车轮
0	AUTO	ON_EDIT_SETTINGS	编辑设置
0	AUTO	ON_ERROR_DISCONNECT_XBOX_LIVE	
0	AUTO	CTRL_360_GUIDE	
0	AUTO	ON_CREATE_DAY	日期
0	AUTO	VINYL_PART_AFTERMARKET_NOLOGY	Nology Engineering
0	AUTO	MC_CREATE_NEW_GAME	你要创建一个新的存档吗？所有之前的存档都将被覆盖。
0	AUTO	VINYL_PART_MANUFACTURER_MCLAREN	McLaren
0	AUTO	PAUSE_OPTION_GAMEPLAY	游戏运行
0	AUTO	PAUSE_OPTION_GAMEROOM	游戏房间
0	AUTO	PART_KIT01_FRONT_BUMPER	STAG
0	AUTO	CAREER_FLASHER_TAKEDOWN_HECTOR	击败Hector Maio
0	AUTO	TIP_SUBJ_HIDINGSPOT	隐藏点
0	AUTO	CAREER_FLASHER_RACEEVENT_B	通过立即比赛来选择\n下面的最近赛事
0	AUTO	TIP_DESC_PINKSLIPS	在Tri-City Bay的比赛中，你有几率可以从对手那儿赢得驾照。驾照让你拥有对手的赛车。你可以在生涯车库中自由驾驶这些特定配置的驾照赛车。
0	AUTO	FE_COMMON_CAR_LABEL_CAPS	赛车
0	AUTO	ON_LOGIN_MSG_EMAILING_USERNAME	向注册电子邮件发送用户名...
0	AUTO	PART_ROOF_18_CF_DUAL	TYPHOON CF DUAL
0	AUTO	PART_KIT07_SKIRT	SLIPSTREAM
0	AUTO	CUST_PURCHASE_UPGRADE_PULC_ONLY	你想用Microsoft® points来购买这个升级吗？
0	AUTO	CAREER_FLASHER_DEAD_END	没有货运车的迹象
0	AUTO	ON_ERROR_CONFIRM_LEAVE_DISC_INC	你确定想离开这场比赛吗？现在离开比赛将增加你的整体断线比例，并会影响你与其它线上玩家进行比赛配对的结果。
0	AUTO	POST_RACE_PURSUIT_STATS	追踪统计
0	AUTO	VINYL_PART_MANUFACTURER_PORSCHE	Porsche
0	AUTO	PURSUIT_STAT_INFRACTIONS	违规次数
0	AUTO	PART_ROOF_10_DUAL	BLASTBACK DUAL
0	AUTO	VINYL_PART_AFTERMARKET_BILSTEIN	Bilstein
0	AUTO	ON_MSG_FRIEND_REQUEST_SENT	已向%s发送好友请求。
0	AUTO	ON_ERROR_INVALID_USERNAME	你提供的用户名错误！
0	AUTO	ON_MESSENGER_CLUB_READ_INVITE	阅读邀请
0	AUTO	COMMON_SCORE_INT	{0:d} 积分
0	AUTO	GAME_ACTION_SHIFTFOURTH	4档
0	AUTO	ON_MESSENGER_FRIEND_REQ_CANCEL	取消好友请求
0	AUTO	ON_LOGIN_ACCOUNT_NAME_TAKEN	账号名已被使用
0	AUTO	PART_KIT07_REAR_BUMPER	SLIPSTREAM
0	AUTO	ON_FRIEND_REQUEST_DECLINED	用户拒绝了你的好友请求。
0	AUTO	CUST_VINYL_ROTATE	旋转
0	AUTO	HUDACTION_ENGAGE_EVENT	预定比赛
0	AUTO	VINYL_PART_CAMOUFLAGE	迷彩 01
0	AUTO	ON_ERROR_CDKEY_REGISTRATION_INVALID_KEY	你没有有效的CD key。
0	AUTO	MENU_POSTRACE_CANYON_SECTION_ONE_COMPLETE	两个阶段中的第一个阶段
0	AUTO	PART_ROOF_11_DUAL	AIRSTREAM DUAL
0	AUTO	CUST_PERFORM_INFO	性能信息
0	AUTO	HUD_DRIFT_PERFECT_ENTRY	完美的进入
0	AUTO	PART_ROOF_10_CF	BLASTBACK CF
0	AUTO	PART_ROOF_11_CF	空中AIRSTREAM CF
0	AUTO	PART_ROOF_14_CF	CYCLONE CF
0	AUTO	PART_ROOF_15_CF	TEMPEST CF
0	AUTO	PART_ROOF_17_CF	BACKDRAFT CF
0	AUTO	PART_ROOF_18_CF	TYPHOON CF
0	AUTO	ON_SEND_PRIVATE_MESSAGE	发送私人信息
0	AUTO	MISSION_WARN_RACE_ROSE	就快追上Rose了！
0	AUTO	ON_ERROR_DISCONNECT_LONG_LOAD_TIME	由于载入时间太长，你与当前游戏的连接已经断开。\n在显示选项中降低你的画面设置，这可以缩短载入时间。
0	AUTO	VINYL_PART_AFTERMARKET_QUAIFE	Quaife
0	AUTO	MENU_POSTRACE_SPEEDTRAPS	超速赛
0	AUTO	TIP_SUBJ_COPSNROBBERS1	警匪大战：警察
0	AUTO	TIP_SUBJ_COPSNROBBERS2	警匪大战：匪徒
0	AUTO	COMMON_CANCEL_CAPS	取消
0	AUTO	DEBUG_UNLOCALIZED	MISSING STRING
0	AUTO	MISSION_WARN_ESCAPE_HECTOR	Hector逃离中
0	AUTO	COMMON_OK_CAPS	确定
0	AUTO	ON_LOGIN_FAILED	登录失败！
0	AUTO	ON_UNKNOWN_ERROR	遇到未知错误
0	AUTO	HUD_KNOCKED_OUT	追踪中
0	AUTO	VINYL_PART_AFTERMARKET_CENTERLINE	Centerline
0	AUTO	CUST_VINYL_GROUP_CAMOUFLAGE	迷彩
0	AUTO	VINYL_PART_MANUFACTURER_DODGECLASSIC	Dodge Classic
0	AUTO	ON_MESSENGER_RECENT_EMPTY	没有新来玩家
0	AUTO	DRIVER_SKILLS_DISCOUNT	- {0:f.0}%
0	AUTO	CUST_PERF_MENU_TIRES	轮胎
0	AUTO	CUST_PERF_MENU_TURBO	涡轮
0	AUTO	VINYL_PART_AFTERMARKET_FIDANZA	Fidanza
0	AUTO	VINYL_PART_AFTERMARKET_I_FORGED	I-Forged
0	AUTO	VINYL_PART_AFTERMARKET_YOKOHAMA	Yokohama
0	AUTO	PAUSE_PHOTOMODE	照片模式
0	AUTO	CUST_PERF_MENU_TRANSMISSION	变速箱
0	AUTO	TIP_DESC_ZONEMETER	区域指示计显示在速度计的右下方。区域指示计是出色驾驶的关键。要学会在区域内驾驶。\n\n区域指示计记录了你在竞速赛事、通缉赛事和任务中所有由帅气动作所获得的区域点数。在不撞车的情况下区域点数积攒越多，区域加乘就越高，当比赛结束后你也将获得更多的区域点数。
0	AUTO	VINYL_PART_STRIPE01	条纹1
0	AUTO	VINYL_PART_STRIPE02	条纹2
0	AUTO	VINYL_PART_STRIPE03	条纹3
0	AUTO	VINYL_PART_STRIPE04	条纹4
0	AUTO	VINYL_PART_STRIPE05	条纹5
0	AUTO	VINYL_PART_STRIPE06	条纹6
0	AUTO	VINYL_PART_STRIPE07	条纹7
0	AUTO	VINYL_PART_STRIPE08	条纹8
0	AUTO	VINYL_PART_STRIPE09	条纹9
0	AUTO	VINYL_PART_STRIPE10	条纹10
0	AUTO	VINYL_PART_STRIPE11	条纹11
0	AUTO	VINYL_PART_STRIPE12	条纹12
0	AUTO	VINYL_PART_STRIPE13	条纹13
0	AUTO	VINYL_PART_STRIPE14	条纹14
0	AUTO	VINYL_PART_STRIPE15	条纹15
0	AUTO	VINYL_PART_STRIPE16	条纹16
0	AUTO	VINYL_PART_STRIPE17	STRIPE 17
0	AUTO	VINYL_PART_STRIPE18	STRIPE 18
0	AUTO	VINYL_PART_STRIPE19	STRIPE 19
0	AUTO	VINYL_PART_STRIPE20	STRIPE 20
0	AUTO	VINYL_PART_STRIPE21	STRIPE 21
0	AUTO	VINYL_PART_STRIPE22	STRIPE 22
0	AUTO	VINYL_PART_STRIPE23	STRIPE 23
0	AUTO	VINYL_PART_STRIPE24	STRIPE 24
0	AUTO	VINYL_PART_STRIPE25	STRIPE 25
0	AUTO	VINYL_PART_STRIPE26	STRIPE 26
0	AUTO	VINYL_PART_STRIPE27	STRIPE 27
0	AUTO	VINYL_PART_STRIPE28	STRIPE 28
0	AUTO	CARNAME_PORSCHE_CARRERA_GT	Porsche Carrera GT
0	AUTO	COMMON_ACCEPT	接受
0	AUTO	HUD_DRIFT_POINTS_EARNED	赢得积分
0	AUTO	ON_ALERT_MSG_COP_ROB_COP_ONLY_LB	%s已经在警匪大战%s上的警察排行榜上超越了你。
0	AUTO	STAT_INFRACTIONS_TOTAL	违规 (总)
0	AUTO	MISSION_FAIL_ESCAPE_HER	她逃脱了
0	AUTO	MISSION_FAIL_ESCAPE_HIM	他逃脱了
0	AUTO	VINYL_PART_AFTERMARKET_STOPTECH	StopTech
0	AUTO	MENU_POSTRACE_OPP_OVERBOARD	对手坠毁！
0	AUTO	ON_ERROR_CONNECT_PS3NP_LOST	
0	AUTO	TIP_DESC_BUSTIMPOUND	犯罪有利可图，但被捕就得不偿失了。如果警察成功逮捕了你，那么你的赛车将得到一次扣押警示，并要支付罚金。如果你的某辆车有了3次扣押警示，那么你将失去那辆车。在你返回游戏前，先查看车库中所有可用赛车的扣押警示的次数。如果你失去了所有的车，那么你将提前退休。令你的赛车保持较低的警戒等级可以使它们上路顺利……
0	AUTO	HUD_PURSUIT_KNOCKOUT_KNOCKED_OUT	你被淘汰！\n\n竞赛停止
0	AUTO	OPTION_VIDEO_SETUP	视频设置
0	AUTO	CAR_SELECT_BUY_CAR	购买赛车
0	AUTO	COMMON_X_GFORCE_FLOAT	{0:f} G
0	AUTO	HUD_NEXT_TOLLBOOTH	下一检查点：
0	AUTO	CAR_SELECT_DIALOG_GARAGE_FULL_NOTIFICATION	你的车库已经满了。若要买进一辆新的赛车，你必须先卖出一辆赛车。
0	AUTO	MISSION_FAIL_BUSTED	被逮捕
0	AUTO	VINYL_PART_AFTERMARKET_SKUNK2	SKUNK2 RACING
0	AUTO	TIP_DESC_360540720	要进行360度漂移需要足够快的速度。首先，通过转向和按住手刹来一次180度漂移。随着赛车接近180度，反打方向盘并按住倒档再来一次180度漂移。在完成这360度后再接上一个180度以实现540度漂移。在完成这360度后再接上两个180度就实现了720度漂移。  \n\n要完成这一系列动作需让车辆达到速度极限。
0	AUTO	VINYL_PART_AFTERMARKET_STILLEN	STILLEN
0	AUTO	CARNAME_CUDA_SHORT	HEMI® Cuda
0	AUTO	VINYL_PART_AFTERMARKET_SPARCO	SPARCO
0	AUTO	HUD_CHALLENGE_INCOMPLETE	未完成的挑战
0	AUTO	WHL_ARE_GEN_00	Arelli Geneva
0	AUTO	CAREER_FLASHER_CHAINING_MOVES	连续移动
0	AUTO	PHOTOMODE_CAPTURE_DIALOG_UPLOADING	上传照片到NeedforSpeed.com
0	AUTO	MENU_POSTRACE_WAITING_FOR_OTHER_OPPONENTS	等待其他的对手：
0	AUTO	STAT_TOTAL_CASH	总赚取现金数
0	AUTO	STAT_TOTAL_TIME	总时间
0	AUTO	VINYL_PART_REWARD_BUSHIDO	BUSHIDO
0	AUTO	PART_ROOF_14_DUAL	CYCLONE DUAL
0	AUTO	PART_PERF_BRAKES_TUNE_01	REAR BIAS
0	AUTO	PART_PERF_BRAKES_TUNE_02	FRONT BIAS
0	AUTO	ON_ONLINE_PERSONA_DISABLE	禁用
0	AUTO	ON_ERROR_GAME_NOT_AVAILABLE	该游戏已不可用。
0	AUTO	VINYL_PART_AFTERMARKET_TENZOR	Tenzo-R
0	AUTO	COMMON_UNIT_IMPERIAL	英制
0	AUTO	VINYL_PART_AFTERMARKET_SYNTECBLEND	CASTROL SYNTEC BLEND
0	AUTO	HUD_TOTALLED	坠毁！
0	AUTO	MC_CAREER_COMMON	CAREER_
0	AUTO	CARNAME_CIVICHB_SHORT	Civic
0	AUTO	TIP_DESC_MYCARSQUICKRACE	我的赛车是生涯模式之外的特殊车库。使用我的赛车车库来构建你的梦幻赛车而无需担心金钱开销。然后驾着你的梦幻赛车进入快速比赛，继续挑战你最喜爱的赛道。
0	AUTO	COMMON_X_MPH_FLOAT	{0:f.0} mph
0	AUTO	MISSION_FAIL_TOTALLED_CARMEN	Carmen赛车全毁！
0	AUTO	MISSION_WARN_ESCAPE_HER	她逃了
0	AUTO	MISSION_WARN_ESCAPE_HIM	他逃了
0	AUTO	CUST_VISUAL_RIMS_WARNING	你必须有一个非原厂的车轮才能用车轮涂漆。
0	AUTO	COMMON_ORDINAL_EIGHTH	th
0	AUTO	STAT_COPS_DISABLED_SINGLE	瘫痪警车 (单次追踪)
0	AUTO	COMMON_CANCEL	取消
