#	Labrune - D:\Games\NFS Undercover\LANGUAGES\Chinese_Simp_InGame.bin
#	File created on: 2025-05-23 18:32:18
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - InGame
0	AUTO	HUD_STYLE_POINT_GRINDING	碾磨：{0:d}
0	AUTO	HUD_STYLE_POINT_COP_TAKEOUT	击败警车：{0:d}
0	AUTO	HUD_STYLE_POINT_PURSUIT_BREAKER	追踪障碍：{0:d}
0	AUTO	HUD_SHOWROOM1	Palm Harbor街道部件商店
0	AUTO	HUD_SHOWROOM2	Palm Harbor3级赛车商店
0	AUTO	HUD_SHOWROOM3	Sunset Hills竞速部件商店
0	AUTO	HUD_SHOWROOM4	Sunset Hills 2级赛车商店
0	AUTO	HUD_SHOWROOM5	Port Crescent职业部件商店
0	AUTO	HUD_SHOWROOM6	Port Crescent 1级赛车商店
0	AUTO	HUD_CIVIC_COP_IMMOBILIZED	瘫痪城市单位\n公物损失：${0:d}
0	AUTO	T_Credits	
0	AUTO	SPOILER_2CF	Gentera Style 113 CF
0	AUTO	SPOILER_5CF	Gentera Style 112 CF
0	AUTO	SPOILER_8CF	Gentera Style 114 CF
0	AUTO	SPOILER_9CF	Gentera Style 109 CF
0	AUTO	HUD_STYLE_POINT_180_REVERSE	J型转向：{0:d}
0	AUTO	HUD_STYLE_POINT_360_REVERSE	360度回转：{0:d}
0	AUTO	HUD_STYLE_POINT_540_REVERSE	反向540：{0:d}
0	AUTO	HUD_COPS	警车
0	AUTO	HUD_STYLE_POINT_720_REVERSE	反向720：{0:d}
0	AUTO	HUD_BUSTED	被逮捕
0	AUTO	HUD_FEDERAL_COP_IMMOBILIZED	瘫痪联邦单位\n公物损失：${0:d}
0	AUTO	HUD_STYLE_POINT_DRAFT	漂移：{0:d}
0	AUTO	HUD_STYLE_POINT_DRIFT	漂移：{0:d}
0	AUTO	COMMON_X_METERS_SHORT_INT	{0:d} m
0	AUTO	COMMON_PERCENT	{0:d}%
0	AUTO	HUD_STYLE_POINT_POWERSLIDE	甩尾：{0:d}
0	AUTO	HUD_STYLE_POINT_BONUS_START	起跑奖励：{0:d}
0	AUTO	SPOILER_11CF	Gentera Style 115 CF
0	AUTO	SPOILER_12CF	Gentera Style 118 CF
0	AUTO	SPOILER_13CF	Gentera Evo CF
0	AUTO	HUD_STYLE_POINT_NEAR_MISS_MULT	侥幸脱险 x{0:d}: {1:d}
0	AUTO	HUD_COOLDOWN	威胁冷却
0	AUTO	HUD_GO	出发！
0	AUTO	HUD_STYLE_POINT_TOP_SPEED	极限速度：{0:d}
0	AUTO	HUD_POSITION	{0:d}/{1:d}
0	AUTO	COMMON_NEG	-{0:d}
0	AUTO	COMMON_POS	+{0:d}
0	AUTO	DIALOG_MSG_CONFIRM_EXIT_TO_FREEROAM	是否确认退出？\n所有改动都将丢失。
0	AUTO	HUD_TARGET_ACHIEVED	完成目标！逃脱即可结束
0	AUTO	HUD_STYLE_POINT_360_REVERSE_BURNOUT	反转360暖胎：{0:d}
0	AUTO	HUD_STYLE_POINT_180	180度转向：{0:d}
0	AUTO	HUD_STYLE_POINT_360	360度转向：{0:d}
0	AUTO	HUD_STYLE_POINT_540	转向540：{0:d}
