#	Labrune - D:\Games\NFS Undercover\LANGUAGES\Chinese_Trad_Frontend.bin
#	File created on: 2025-05-23 18:33:08
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - Frontend
0	AUTO	WM_STATS_ROAD_BLOCKS_DODGED_1_PURSUIT	路障閃避(單次追擊)
0	AUTO	_MC_CONFIRMTOO_MANY_SAVED_GAMES_TO_CREATE	過多無法儲存
0	AUTO	VINYL_PART_DOD_VIP_STOCK	原廠圖案
0	AUTO	VINYL_PART_MIT_EVOX_2TONE1	雙色調1
0	AUTO	VINYL_PART_MIT_EVOX_2TONE2	雙色調2
0	AUTO	VINYL_PART_MIT_EVOX_2TONE3	雙色調3
0	AUTO	WM_REGIONSUMMARY_TOGGLE_JOBS	差事
0	AUTO	POSTRACE_NOSHOPS_MESSAGE_GAME_OVER	你的最後一輛車遭到扣押。你還有現金，但沒有可購買新車的商店。下次記得尋找一些車輛商店。
0	AUTO	WM_WANTED	通緝
0	AUTO	VINYL_PART_CFC_FACE_CRAZY2	EYE Kon瘋狂2
0	AUTO	CUST_VINYL_LOCKED	此彩繪圖案目前鎖住！找到它的展示間解開它。
0	AUTO	LANG_RUSSIAN_NO_TRANSLATION	РУССКИЙ
0	AUTO	VINYL_PART_KOE_CCX_2TONE1	雙色調1
0	AUTO	VINYL_PART_KOE_CCX_2TONE2	雙色調2
0	AUTO	VINYL_PART_KOE_CCX_2TONE3	雙色調3
0	AUTO	VINYL_PART_NIS_SYL_STRIPE	獨特條紋
0	AUTO	WM_STATS_TOTAL_STYLE_POINTS	總區域分數
0	AUTO	VINYL_PART_AFTERMARKET_KICKER	Kicker
0	AUTO	VINYL_PART_AFTERMARKET_FBRAKES	Fastbrakes
0	AUTO	POSTRACE_MESSAGE_AUDITION_FAILED	你未能抵達城市。
0	AUTO	VINYL_PART_CFC_BANDAGES_01	EYE Kon繃帶
0	AUTO	VINYL_PART_CFC_BANDAGES_02	EYE Kon繃帶2
0	AUTO	WHL_ENK_WRC_00	Enkei WRC Tarmac
0	AUTO	CAREER_FLASHER_DOMINATION	稱霸
0	AUTO	CUST_VINYLS_COLOUR_TITLE	彩繪圖案塗裝
0	AUTO	SPOILER_1	Gentera Style 204
0	AUTO	SPOILER_2	Gentera Style 113
0	AUTO	SPOILER_3	Gentera Style 302
0	AUTO	SPOILER_4	Gentera Style 304
0	AUTO	SPOILER_5	Gentera Style 112
0	AUTO	SPOILER_6	Gentera Style 205
0	AUTO	SPOILER_7	Gentera Style 305
0	AUTO	SPOILER_8	Gentera Style 114
0	AUTO	SPOILER_9	Gentera Style 109
0	AUTO	VINYL_PART_DOD_CHA71_STRIPE	獨特條紋
0	AUTO	WHL_WEL_KRU_00	Weld Kruiser
0	AUTO	WM_STATS_CAREER_COMPLETE	生涯完成
0	AUTO	POSTRACE_IMPOUNDED	遭到扣押！
0	AUTO	COMMON_CHANGE_CAR	變更車輛
0	AUTO	WM_LEGEND_EVENT	賽事
0	AUTO	WHL_WEL_LEG_00	Weld Legacy
0	AUTO	VINYL_PART_GR_BLUEFLAME	Grizzly藍焰
0	AUTO	WHL_HRE_541_00	HRE 541R
0	AUTO	WHL_HRE_549_00	HRE 549R
0	AUTO	WHL_HRE_597_00	HRE 597R
0	AUTO	VINYL_PART_DOD_CHR_STOCK	原廠圖案
0	AUTO	POSTRACE_LBL_YOUR_TIME	你的時間
0	AUTO	ONLINE_TOS	條款與條件
0	AUTO	WHL_IFO_MAR_00	IForged Marquis
0	AUTO	VINYL_PART_AFTERMARKET_INNOVATE	Innovate Motorsports
0	AUTO	VINYL_PART_AFTERMARKET_AUTOMETER	Auto Meter
0	AUTO	VINYL_PART_2T_997GT3RS	雙色調9
0	AUTO	CUST_PEFORM_CURRENTLEVEL	目前等級：
0	AUTO	VINYL_PART_AFTERMARKET_AUTOPOWER	Autopower
0	AUTO	COMMON_GAME_NAME	Need for Speed™ Undercover
0	AUTO	VINYL_PART_NAT_NATIVE_BIRD	野生鳥類
0	AUTO	VINYL_PART_AC_CURL_SKULL	Atomic Cadaver捲曲骷髏
