#	Labrune - D:\Games\NFS Undercover\LANGUAGES\Chinese_Trad_Global.bin
#	File created on: 2025-05-23 18:33:17
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - Global
0	AUTO	CUST_VINYLS_TRANSFORM_TITLE	彩繪圖案變換
0	AUTO	CARNAME_MUSTANG03_SHORT	'03 Mustang GT
0	AUTO	PART_PERF_NITROUS_1	Dry Shot Nitrous Kit
0	AUTO	PART_PERF_NITROUS_2	Nitrous Purge Kit
0	AUTO	PART_PERF_NITROUS_3	10 lb Nitrous Bottle
0	AUTO	PART_PERF_NITROUS_4	Wet Shot Nitrous Kit
0	AUTO	PART_PERF_NITROUS_5	Nitrous Bottle Heater
0	AUTO	PART_PERF_NITROUS_6	15 lb Nitrous Bottle
0	AUTO	PART_PERF_NITROUS_7	Direct Port Nitrous Kit
0	AUTO	PART_PERF_NITROUS_8	Nitrous Pressure Controller
0	AUTO	PART_PERF_NITROUS_9	20 lb Nitrous Bottle
0	AUTO	VINYL_PART_AFTERMARKET_INTRAX	InTrax Suspension
0	AUTO	CARNAME_NISSAN_240SX	Nissan 240SX (S13)
0	AUTO	CARNAME_CHEVROLET_CORVETTE	CHEVROLET CORVETTE C6
0	AUTO	ON_LOGIN_PASSWORD	密碼
0	AUTO	MENU_POSTRACE_AVERAGE_DRIFT_LENGTH	平均距離
0	AUTO	TIP_DESC_NITROUSDRIFT	若想甩尾，在過彎時拉起手煞車。\n\n若想完成氮氧增壓甩尾，進入彎道時，採取與正常甩尾相同的手法。當車輛開始旋轉時，進入甩尾狀態下，啟用氮氧增壓，然後反向打方向盤。
0	AUTO	CARNAME_MAZDA_RX7	Mazda RX-7
0	AUTO	CARNAME_MAZDA_RX8	Mazda RX-8
0	AUTO	TIP_DESC_INTHEZONEMULTIPLIER	「區域內計量表」對區域分數有數字加乘。區域內加乘從x1開始，最高可達x5。「區域內計量表」越高，你獲得區域分數的速度越快。任何賽事開始時，加乘將重新計算。
0	AUTO	HUD_CANYON_COLLISION_PENALTY	碰撞 %$d 分
0	AUTO	TIP_DESC_NITROUSOXIDE	沒有車輛會一開始便配備「氮氧增壓」裝置，所以，當你解開「氮氧增壓」時，別忘了為你的愛車增添此套件。用「氮氧增壓」提升速度，很快就會變成你的直覺反應。提升你的速度。駕馭你的「氮氧增壓」。\n\n「氮氧增壓計量表」位於儀表板右側的速度計旁。按「氮氧增壓」鍵來啟用之。按住「氮氧增壓」維持氮氧噴出。當你希望結束加速，放開「氮氧增壓」鍵。每次啟用後，都需時間冷卻才能再度使用。利用高速駕駛，展現酷炫動作，能夠增加你的區域分數，也可充填你的「氮氧增壓」計量表。
0	AUTO	VINYL_PART_MANUFACTURER_CORVETTE	Corvette
0	AUTO	DEMO_CUSTOMIZATION_SELL	Autosculpt™允許你製造自己的零件來改裝你的愛車。\n你可以修改車體套件、輪圈、引擎蓋、擾流翼和車頂蓋，精確地創造出你想要的零件。\n改裝過程並未就此打住。噴上特製的烤漆，貼上訂製的彩繪圖案、貼紙，安裝性能零件，創造專屬於你的改裝、肌肉或超跑車隊特色。
0	AUTO	DEMO_CUSTOMIZATION_ZOOM	縮放
0	AUTO	STAT_NUM_TIMES_RACED	遊戲時間
0	AUTO	CARNAME_BMWM3_SHORT	M3 E46
0	AUTO	HUD_YOUR_TIME	你的時間：
0	AUTO	PART_SPOILER_0	原廠
0	AUTO	PART_SPOILER_1	JORGEN
0	AUTO	PART_SPOILER_2	ROCKER 5
0	AUTO	PART_SPOILER_3	AIRFORCE
0	AUTO	PART_SPOILER_4	ARROW
0	AUTO	PART_SPOILER_5	BARRACUDA
0	AUTO	PART_SPOILER_6	WILDFIRE
0	AUTO	PART_SPOILER_7	RIPPER
0	AUTO	PART_SPOILER_8	REAPER
0	AUTO	PART_SPOILER_9	BORRA
0	AUTO	CAREER_EVENT_CTS_10	造成$10k的政府支出
0	AUTO	CAREER_EVENT_CTS_12	造成$12.5k的政府支出
0	AUTO	CAREER_EVENT_CTS_15	造成$15k的政府支出
0	AUTO	CAREER_EVENT_CTS_20	造成$20k的政府支出
0	AUTO	CAREER_EVENT_CTS_25	造成$25k的政府支出
0	AUTO	CAREER_EVENT_CTS_30	造成$30k的政府支出
0	AUTO	CAREER_EVENT_CTS_40	造成$40k的政府支出
0	AUTO	CAREER_EVENT_CTS_50	造成$50k的政府支出
0	AUTO	CAREER_EVENT_CTS_75	造成$75k的政府支出
0	AUTO	PAUSE_OPTION_CAR_DAMAGE	車輛損傷
0	AUTO	CAREER_EVENT_HIGHWAY_BATTLE_METRIC	領先對手300公尺來取勝
0	AUTO	COMMON_LOCATION_HIDING_SPOT	藏匿點
0	AUTO	CARNAME_ACURA_NSX	ACURA NSX
0	AUTO	CARNAME_ACURA_RSX	ACURA RSX
0	AUTO	CUST_NEED_XBOX_LIVE_PROFILE	
0	AUTO	ON_GAME_ROOM_START_RACE_NOW_VOTE	立即競賽投票： {0:d} / {1:d}
0	AUTO	VINYL_PART_AFTERMARKET_CLUTCHMASTERS	Clutch Masters
