#	Labrune - D:\Games\NFS Underground\Languages\German.bin
#	File created on: 2025-05-31 12:03:42
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - GLOBAL
0	AUTO	NO	Nein
0	AUTO	OK	OK
0	AUTO	ON	Ein
0	AUTO	ECU	ECU
0	AUTO	FAR	Weit
0	AUTO	KMS	km
0	AUTO	LAP	Runden
0	AUTO	MAP	Karte
0	AUTO	MOD	Ändern
0	AUTO	NEW	NEU
0	AUTO	NOS	Nitro
0	AUTO	OFF	Aus
0	AUTO	YES	Ja
0	AUTO	BACK	Zurück
0	AUTO	BODY	Karosserie
0	AUTO	CASH	Konto: %s
0	AUTO	EXIT	Verlassen
0	AUTO	GOLF	Golf
0	AUTO	HELP	Hilfe
0	AUTO	HOOD	Motorhaube
0	AUTO	LANG_SPANISH	ESPAÑOL
0	AUTO	LOAD	LADEN
0	AUTO	MALE	Männlich
0	AUTO	NEON	Neonröhren
0	AUTO	NEXT	Nächste
0	AUTO	PLAY	SPIELEN
0	AUTO	QUIT	VERLASSEN
0	AUTO	RANK	RANGLISTE
0	AUTO	RIMS	Felgen
0	AUTO	SAVE	SPEICHERN
0	AUTO	SHOP	Laden
0	AUTO	SLOT	Slot
0	AUTO	ONLINE_SETTINGS	OPTIONEN
0	AUTO	HELP_CONTROLLER_OPTIONS	$JOY_EVENT_FENG_PAD_UP$ Markierung bewegen^$JOY_EVENT_FENG_PAD_LEFT$ Markierte Option anpassen^$JOY_EVENT_FENG_CANCEL$ Zurück zum Optionenmenü
0	AUTO	ONLINE_CHALLENGE_TIMEOUT	%s hat auf deine Herausforderung nicht geantwortet.^Fordere ihn später noch einmal heraus.
0	AUTO	PC_DETAILS	Details
0	AUTO	ONLINE_NEED_UPDATE_PROMPT_	Es wurde ein Patch für dieses Produkt veröffentlicht. Du musst ihn runterladen und installieren, um weiterhin Online spielen zu können. Wenn du JA wählst, wird das Spiel beendet und die Patch-Seite in deinem Browser geöffnet.
0	AUTO	DECAL_RIGHTPANEL_LAYOUT2_HEADING	RECHTE SEITE-LAYOUT 2
