#	Labrune - D:\Games\NFS Underground\Languages\English.bin
#	File created on: 2025-05-31 12:03:33
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - GLOBAL
0	AUTO	NO	No
0	AUTO	OK	OK
0	AUTO	ON	On
0	AUTO	ECU	ECU
0	AUTO	FAR	Far
0	AUTO	KMS	KMs.
0	AUTO	LAP	Laps
0	AUTO	MAP	Map
0	AUTO	MOD	Modify
0	AUTO	NEW	NEW
0	AUTO	NOS	NOS
0	AUTO	OFF	Off
0	AUTO	YES	Yes
0	AUTO	BACK	Back
0	AUTO	BODY	Body
0	AUTO	CASH	Bank: %s
0	AUTO	EXIT	Exit
0	AUTO	GOLF	Golf
0	AUTO	HELP	Help
0	AUTO	HOOD	Hood
0	AUTO	LANG_SPANISH	SPANISH
0	AUTO	LOAD	LOAD
0	AUTO	MALE	Male
0	AUTO	NEON	Neon
0	AUTO	NEXT	Next
0	AUTO	PLAY	PLAY
0	AUTO	QUIT	QUIT
0	AUTO	RANK	RANKINGS
0	AUTO	RIMS	Rims
0	AUTO	SAVE	SAVE
0	AUTO	SHOP	Store
0	AUTO	SLOT	Slot
0	AUTO	ONLINE_SETTINGS	OPTIONS
0	AUTO	HELP_CONTROLLER_OPTIONS	$JOY_EVENT_FENG_PAD_UP$ Move highlight^$JOY_EVENT_FENG_PAD_LEFT$ Adjust highlighted option^$JOY_EVENT_FENG_CANCEL$ Return to Options Menu
0	AUTO	ONLINE_CHALLENGE_TIMEOUT	%s has not responded to your challenge.^Try challenging them again later.
0	AUTO	PC_DETAILS	Details
0	AUTO	ONLINE_NEED_UPDATE_PROMPT_	A patch has been released for this product. You will need to download and install this patch in order to play online. If you select YES, the game will shut down and your browser will be launched to the patch site.
0	AUTO	DECAL_RIGHTPANEL_LAYOUT2_HEADING	RIGHT PANEL LAYOUT 2
0	AUTO	GAME_TIPS_KNOCKOUT_A	The driver that finishes last on each lap is eliminated
0	AUTO	GAME_TIPS_KNOCKOUT_B	Racing continues until only one driver remains
0	AUTO	MU_PERFORMANCE_CHOOSE_BRANDS	CHOOSE BRANDS
0	AUTO	PLAYLIST_ADAPTIVE	ADAPTIVE
0	AUTO	ONLINE_DRIFT_SCORE	Drift Score
0	AUTO	EVENT_110_DESCRIPTION	Chad might be number one now, but you can make ^him number 2 in less time than it takes to boil an egg.
0	AUTO	YEAR_FULL_NAME_SENTRA	2004 Sentra SE-R Spec V
0	AUTO	GENERIC_BRAND_NAME	GENERIC
0	AUTO	ONLINE_LOGIN_ERROR_ACCOUNT_LOCKED	Your account has been locked by^customer support.
0	AUTO	_ZONE_FRONT_WINDSHIELD_HEADING_MED	FRONT WINDSHIELD (MED)
0	AUTO	PSX2_CONTROLLER_UNPLUGGED	Please insert a^controller into^controller port %d.
0	AUTO	PLAYLIST_SEQUENTIAL	SEQUENTIAL
0	AUTO	UNDERGROUND_MAGAZINES	MAGAZINES
0	AUTO	HUD_LB_BLOWNENGINE	Blown Engine
0	AUTO	SAVELOAD_LOAD_CARS_FROM_PROFILE	Load Cars From Profile
0	AUTO	DRAG_LENGTH_THIRD_MILE	1/3 Mile
0	AUTO	ADVANCE_TO_RACE	Advance To Race
0	AUTO	EVENT_0_REWARD	Nice Driving!  Now let's see what you can do in your own car!
0	AUTO	PC_CAR_HEADLIGHT	Car Headlight
0	AUTO	ZEROHUNDRED_PEUGOT	?.? sec
0	AUTO	CAR_NAME_PEUGOT	206
0	AUTO	VEILSIDE_STYLE01_NAME	LIVIA
0	AUTO	EVENT_REWARD_MAGAZINE_SUPERSTREET	Super Street
0	AUTO	ONLINE_WINLOSS_RECORD	%luW-%luL
0	AUTO	LOGIN_DESC_GUEST	Play immediately without a Driver Profile
0	AUTO	AUDIO	Audio
0	AUTO	BLANK	
0	AUTO	BRAKE	Brake
0	AUTO	EVENT_99_TITLE	Circuit Dustoff
0	AUTO	CLOSE	Close
0	AUTO	DRIFT	Drift
0	AUTO	EMPTY	Empty
0	AUTO	PERFORMANCE	Performance
0	AUTO	THEATRE	THEATER
0	AUTO	ONLINE_LOGIN_ERROR_PROFANE_NAME	You have entered a profane account name.
0	AUTO	EVENT_9_DESCRIPTION	Winning once won't do. Be the fastest in ^this tournament to bag the loot.
0	AUTO	LARGE	Large
0	AUTO	LAYER	Layer
0	AUTO	EVENT_REWARD_MAGAZINE_OPTION	Option
0	AUTO	MILES	Miles
0	AUTO	MAGAZINE_TITLE_TASK_10	Import Racer
0	AUTO	MAGAZINE_TITLE_TASK_11	Import Tuner
0	AUTO	MAGAZINE_TITLE_TASK_12	Sport Compact Car
0	AUTO	MAGAZINE_TITLE_TASK_13	Chrom & Flammen
0	AUTO	MAGAZINE_TITLE_TASK_14	Hot4s
0	AUTO	MAGAZINE_TITLE_TASK_15	Elaborare
0	AUTO	MAGAZINE_TITLE_TASK_16	Import Tuner
0	AUTO	OWNED	Owned
0	AUTO	PAINT	Paint
0	AUTO	EVENT_104_DESCRIPTION	Sometimes you get it over fast. Sometimes you gotta^go all night. Show 'em you got what it takes on a 7 ^lap circuit.
0	AUTO	PS_HP	BHP:
0	AUTO	BUTTON_ANALOG_LOOKBACK_DOWN	Look Back (Down)
