#	Labrune - D:\Games\NFS Underground\Languages\Spanish.bin
#	File created on: 2025-05-31 12:03:59
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - GLOBAL
0	AUTO	NO	No
0	AUTO	OK	Aceptar
0	AUTO	ON	Sí
0	AUTO	ECU	ECU
0	AUTO	FAR	Lejos
0	AUTO	KMS	Km
0	AUTO	LAP	Vueltas
0	AUTO	MAP	Mapa
0	AUTO	MOD	Modificar
0	AUTO	NEW	NUEVO
0	AUTO	NOS	Sistema óxido nitroso
0	AUTO	OFF	No
0	AUTO	YES	Sí
0	AUTO	BACK	Atrás
0	AUTO	BODY	Carrocería
0	AUTO	CASH	Banco: %s
0	AUTO	EXIT	Salir
0	AUTO	GOLF	Golf
0	AUTO	HELP	Ayuda
0	AUTO	HOOD	Capó
0	AUTO	LANG_SPANISH	ESPAÑOL
0	AUTO	LOAD	CARGAR
0	AUTO	MALE	Hombre
0	AUTO	NEON	Neón
0	AUTO	NEXT	Siguiente
0	AUTO	PLAY	JUGAR
0	AUTO	QUIT	SALIR
0	AUTO	RANK	CLASIFICACIÓN
0	AUTO	RIMS	Llantas
0	AUTO	SAVE	GUARDAR
0	AUTO	SHOP	Tienda
0	AUTO	SLOT	Emplacement
0	AUTO	ONLINE_SETTINGS	OPCIONES
0	AUTO	HELP_CONTROLLER_OPTIONS	$JOY_EVENT_FENG_PAD_UP$ Mover elemento resaltado^$JOY_EVENT_FENG_PAD_LEFT$ Ajustar opción resaltada^$JOY_EVENT_FENG_CANCEL$ Volver al menú Opciones
0	AUTO	ONLINE_CHALLENGE_TIMEOUT	%s no ha respondido a tu desafío.^Vuelve a probar más tarde.
0	AUTO	PC_DETAILS	Nivel de detalle
0	AUTO	ONLINE_NEED_UPDATE_PROMPT_	Se ha publicado un parche para este producto. Para poder jugar online tendrás que descargar e instalar este parche. Si seleccionas SÍ, saldrás del juego y tu navegador se dirigirá al sitio web del parche.
0	AUTO	DECAL_RIGHTPANEL_LAYOUT2_HEADING	DISPOSICIÓN ALETA DCHA. 2
0	AUTO	GAME_TIPS_KNOCKOUT_A	Se eliminará al conductor que termine el último en cada vuelta.
0	AUTO	GAME_TIPS_KNOCKOUT_B	La carrera seguirá hasta que solo quede uno.
0	AUTO	MU_PERFORMANCE_CHOOSE_BRANDS	ELEGIR MARCAS
0	AUTO	PLAYLIST_ADAPTIVE	ADAPTABLE
0	AUTO	ONLINE_DRIFT_SCORE	Puntuación
0	AUTO	EVENT_110_DESCRIPTION	Chad es el número uno ahora mismo, pero^puedes hacer que descienda al 2º puesto en^menos que canta un gallo.
0	AUTO	YEAR_FULL_NAME_SENTRA	2004 Sentra SE-R Spec V
0	AUTO	GENERIC_BRAND_NAME	GENÉRICO
0	AUTO	ONLINE_LOGIN_ERROR_ACCOUNT_LOCKED	Atención al cliente^ha bloqueado tu cuenta.
0	AUTO	_ZONE_FRONT_WINDSHIELD_HEADING_MED	PARABRISAS DELANTERO (MED)
0	AUTO	PSX2_CONTROLLER_UNPLUGGED	Por favor inserta^un mando en el^puerto de mando %d.
0	AUTO	PLAYLIST_SEQUENTIAL	SECUENCIAL
0	AUTO	UNDERGROUND_MAGAZINES	REVISTAS
0	AUTO	HUD_LB_BLOWNENGINE	Motor gripado
0	AUTO	SAVELOAD_LOAD_CARS_FROM_PROFILE	Cargar coches desde el perfil
0	AUTO	DRAG_LENGTH_THIRD_MILE	1/3 milla
0	AUTO	ADVANCE_TO_RACE	Pasar a la carrera
0	AUTO	EVENT_0_REWARD	¡Así se conduce! ¡A ver qué tal lo haces en tu propio coche!
0	AUTO	PC_CAR_HEADLIGHT	Faros delanteros
0	AUTO	ZEROHUNDRED_PEUGOT	?.? sec
0	AUTO	CAR_NAME_PEUGOT	206
0	AUTO	VEILSIDE_STYLE01_NAME	LIVIA
0	AUTO	EVENT_REWARD_MAGAZINE_SUPERSTREET	Super Street
0	AUTO	ONLINE_WINLOSS_RECORD	%luG-%luP
0	AUTO	LOGIN_DESC_GUEST	Jugar inmediatamente sin Perfil de conductor
0	AUTO	AUDIO	Sonido
0	AUTO	BLANK	
0	AUTO	BRAKE	Frenos
0	AUTO	EVENT_99_TITLE	El amo del circuito
0	AUTO	CLOSE	Cerca
0	AUTO	DRIFT	Derrape
0	AUTO	EMPTY	Vacío
0	AUTO	PERFORMANCE	Rendimiento
0	AUTO	THEATRE	CINE
0	AUTO	ONLINE_LOGIN_ERROR_PROFANE_NAME	Has introducido un nombre de cuenta incorrecto.
0	AUTO	EVENT_9_DESCRIPTION	Ganar una vez no vale. Sé el más rápido^en este torneo para llevarte el botín.
0	AUTO	LARGE	Grande
0	AUTO	LAYER	Capa
0	AUTO	EVENT_REWARD_MAGAZINE_OPTION	Option
0	AUTO	MILES	Millas
0	AUTO	MAGAZINE_TITLE_TASK_10	Import Racer
0	AUTO	MAGAZINE_TITLE_TASK_11	Import Tuner
0	AUTO	MAGAZINE_TITLE_TASK_12	Sport Compact Car
0	AUTO	MAGAZINE_TITLE_TASK_13	Chrom & Flammen
0	AUTO	MAGAZINE_TITLE_TASK_14	Hot4s
0	AUTO	MAGAZINE_TITLE_TASK_15	Elaborare
0	AUTO	MAGAZINE_TITLE_TASK_16	Import Tuner
0	AUTO	OWNED	En posesión
0	AUTO	PAINT	Pintura
0	AUTO	EVENT_104_DESCRIPTION	A veces lo consigues pronto, y a veces tienes que^estar toda la noche. Demuéstrales de qué estás^hecho en un Circuito de 7 vueltas.
0	AUTO	PS_HP	CV:
0	AUTO	BUTTON_ANALOG_LOOKBACK_DOWN	Mirar atrás (abajo)
0	AUTO	FULL_NAME_SENTRA	Nissan Sentra
0	AUTO	RETRY	Reintentar
0	AUTO	SMALL	Pequeño
0	AUTO	STATS	Estadísticas
0	AUTO	STOCK	SERIE
0	AUTO	TIRES	Neumáticos
0	03C7A1A3	Total	Total:
0	AUTO	TURBO	Turbo
0	AUTO	TUTORIAL_DRAG_01_LAUNCH	¿Crees que podrás ganar yendo a tope desde la salida?
0	AUTO	VINYL	Vinilo
0	AUTO	REWARD_MAGAZINE_RACE_1	¡Tu coche aparece en la portada de Modified Mag!
0	AUTO	REWARD_MAGAZINE_RACE_2	¡Tu coche aparecerá en el próximo número de Sport Compact Car!
0	AUTO	REWARD_MAGAZINE_RACE_3	¡Tu coche aparece en la portada de Import Tuner!
0	AUTO	REWARD_MAGAZINE_RACE_4	¡Tu coche aparece en Turbo & High-Tech Performance!
0	AUTO	REWARD_MAGAZINE_RACE_5	¡Import Tuner vuelve a sacar tu coche en la portada!
0	AUTO	REWARD_MAGAZINE_RACE_6	¡Contempla tu coche en la portada de Import Racer!
0	AUTO	REWARD_MAGAZINE_RACE_7	¡Diles a tus amigos que vean tu coche en Super Street!
0	AUTO	REWARD_MAGAZINE_RACE_8	¡Sport Compact Car vuelve a sacar tu coche!
0	AUTO	REWARD_MAGAZINE_RACE_9	¡El siguiente número de Import Tuner va a sacar tu coche!
0	AUTO	PC_CAR_ENVIRONMENT_MAP	Tasa de refresco de reflejo del coche
0	AUTO	HEAD_LIGHTS	Faros delanteros
0	AUTO	EVENT_58_TITLE	Y quedó uno
0	AUTO	HUD_WRONG_WAY	SENTIDO CONTRARIO
0	AUTO	TUTORIAL_GAME	Durante las carreras puedes conseguir Puntos de^estilo con saltos, derrapes con motor y otras acrobacias. Con los Puntos de estilo^podrás conseguir material especial.
0	AUTO	NEON_RED	NEÓN ROJO
