#	Labrune - D:\Games\NFS Underground\Languages\French.bin
#	File created on: 2025-05-31 12:03:39
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - GLOBAL
0	AUTO	NO	Non
0	AUTO	OK	OK
0	AUTO	ON	Avec
0	AUTO	ECU	ECU
0	AUTO	FAR	Eloignée
0	AUTO	KMS	km
0	AUTO	LAP	Tours
0	AUTO	MAP	Carte
0	AUTO	MOD	Modifier
0	AUTO	NEW	NOUVEAUTE
0	AUTO	NOS	NOS
0	AUTO	OFF	Sans
0	AUTO	YES	Oui
0	AUTO	BACK	Retour
0	AUTO	BODY	Kits
0	AUTO	CASH	Bénef :%s
0	AUTO	EXIT	Quitter
0	AUTO	GOLF	Golf
0	AUTO	HELP	Aide
0	AUTO	HOOD	Capots
0	AUTO	LANG_SPANISH	ESPAGNOL
0	AUTO	LOAD	CHARGER
0	AUTO	MALE	Homme
0	AUTO	NEON	Néons
0	AUTO	NEXT	Suivant
0	AUTO	PLAY	Not translated as per Q&A #3 (01/09/03)
0	AUTO	QUIT	QUITTER
0	AUTO	RANK	CLASSEMENT
0	AUTO	RIMS	Jantes
0	AUTO	SAVE	SAUVEGARDER
0	AUTO	SHOP	Magasin
0	AUTO	SLOT	Not translated as per Q&A #3 (01/09/03)
0	AUTO	ONLINE_SETTINGS	OPTIONS
0	AUTO	HELP_CONTROLLER_OPTIONS	$JOY_EVENT_FENG_PAD_UP$ Déplacer la sélection^$JOY_EVENT_FENG_PAD_LEFT$ Ajuster l'option sélectionnée^$JOY_EVENT_FENG_CANCEL$ Retour au menu des options
0	AUTO	ONLINE_CHALLENGE_TIMEOUT	%s n'a pas répondu à ton défi.^Réessaie plus tard.
0	AUTO	PC_DETAILS	Niveau de détails
0	AUTO	ONLINE_NEED_UPDATE_PROMPT_	Un nouveau patch est sorti pour ce produit. Si tu veux jouer en ligne, tu devras télécharger et installer ce patch. En sélectionnant OUI, tu quitteras le jeu et le navigateur lancera sa recherche sur le site du patch.
0	AUTO	DECAL_RIGHTPANEL_LAYOUT2_HEADING	DECO AILE DROITE 2
0	AUTO	GAME_TIPS_KNOCKOUT_A	Le dernier pilote de chaque tour est éliminé.
0	AUTO	GAME_TIPS_KNOCKOUT_B	La course continue jusqu'à ce qu'il ne reste plus qu'un pilote en lice.
0	AUTO	MU_PERFORMANCE_CHOOSE_BRANDS	CHOISIR MARQUE
0	AUTO	PLAYLIST_ADAPTIVE	ADAPTABLE
0	AUTO	ONLINE_DRIFT_SCORE	Score Drift
0	AUTO	EVENT_110_DESCRIPTION	Chad est peut-être l'actuel n°1 mais tu peux le faire ^redescendre d'un cran en moins de temps qu'il ne ^te faut pour dire suprématie.
0	AUTO	YEAR_FULL_NAME_SENTRA	2004 Sentra SE-R Spec V
0	AUTO	GENERIC_BRAND_NAME	GENERIQUE
0	AUTO	ONLINE_LOGIN_ERROR_ACCOUNT_LOCKED	Ton compte a été bloqué par^le service clientèle.
0	AUTO	_ZONE_FRONT_WINDSHIELD_HEADING_MED	PARE-BRISE AVANT (MOY.)
0	AUTO	PSX2_CONTROLLER_UNPLUGGED	Veuillez connecter^une manette dans^le port manette N°%d.
0	AUTO	PLAYLIST_SEQUENTIAL	SEQUENTIELLE
0	AUTO	UNDERGROUND_MAGAZINES	MAGAZINES
0	AUTO	HUD_LB_BLOWNENGINE	Moteur^explosé
0	AUTO	SAVELOAD_LOAD_CARS_FROM_PROFILE	Charger les voitures du profil
0	AUTO	DRAG_LENGTH_THIRD_MILE	Not translated as per Q&A #3 (01/09/03)
0	AUTO	ADVANCE_TO_RACE	Commencer la course
0	AUTO	EVENT_0_REWARD	Bien conduit ! Maintenant, voyons comment tu te débrouilles avec ta propre voiture.
0	AUTO	PC_CAR_HEADLIGHT	Phares avant voiture
0	AUTO	ZEROHUNDRED_PEUGOT	?.? sec
0	AUTO	CAR_NAME_PEUGOT	206
0	AUTO	VEILSIDE_STYLE01_NAME	LIVIA
0	AUTO	EVENT_REWARD_MAGAZINE_SUPERSTREET	Super Street
0	AUTO	ONLINE_WINLOSS_RECORD	%luV-%luD
0	AUTO	LOGIN_DESC_GUEST	Jouer immédiatement sans profil pilote
0	AUTO	AUDIO	Audio
0	AUTO	BLANK	
0	AUTO	BRAKE	Freins
0	AUTO	EVENT_99_TITLE	Dépoussiérage de circuit
0	AUTO	CLOSE	Proche
0	AUTO	DRIFT	Drift
0	AUTO	EMPTY	Libre
0	AUTO	PERFORMANCE	Performances
0	AUTO	THEATRE	CINEMA
0	AUTO	ONLINE_LOGIN_ERROR_PROFANE_NAME	Tu as saisi un nom de compte obscène.
0	AUTO	EVENT_9_DESCRIPTION	Gagner une seule fois ne va pas suffire. Pour ^empocher les sous, sois le plus rapide dans ^ce tournoi sur Vine St.
0	AUTO	LARGE	Large
0	AUTO	LAYER	Couche
0	AUTO	EVENT_REWARD_MAGAZINE_OPTION	Option
0	AUTO	MILES	Miles
0	AUTO	MAGAZINE_TITLE_TASK_10	Import Racer
0	AUTO	MAGAZINE_TITLE_TASK_11	Import Tuner
0	AUTO	MAGAZINE_TITLE_TASK_12	Sport Compact Car
0	AUTO	MAGAZINE_TITLE_TASK_13	Chrom & Flammen
0	AUTO	MAGAZINE_TITLE_TASK_14	Hot4s
0	AUTO	MAGAZINE_TITLE_TASK_15	Elaborare
0	AUTO	MAGAZINE_TITLE_TASK_16	Import Tuner
0	AUTO	OWNED	Acheté
0	AUTO	PAINT	Peintures
0	AUTO	EVENT_104_DESCRIPTION	Parfois, tu gagnes très rapidement. Parfois, ça ^te prend toute une nuit. Prouve l'étendue de ton ^talent dans cette course en 7 tours.
0	AUTO	PS_HP	Not translated as per Q&A #3 (01/09/03)
0	AUTO	BUTTON_ANALOG_LOOKBACK_DOWN	Regarder ^en arrière (Bas)
0	AUTO	FULL_NAME_SENTRA	Nissan Sentra
0	AUTO	RETRY	Réessayer
0	AUTO	SMALL	Petit
0	AUTO	STATS	Statistiques
0	AUTO	STOCK	SERIE
0	AUTO	TIRES	Pneus
0	03C7A1A3	Total	Total :
0	AUTO	TURBO	Turbo
0	AUTO	TUTORIAL_DRAG_01_LAUNCH	Tu crois pouvoir gagner en te contentant d'aller à fond tout le temps ?
0	AUTO	VINYL	Vinyles
0	AUTO	REWARD_MAGAZINE_RACE_1	Ta voiture est en couverture de Modified Mag !
0	AUTO	REWARD_MAGAZINE_RACE_2	Ta voiture sera dans le prochain numéro de Sport Compact Car !
