#	Labrune - D:\Games\NFS Underground\Languages\Korean.bin
#	File created on: 2025-05-31 12:03:52
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - GLOBAL
0	AUTO	NO	아니오
0	AUTO	OK	OK
0	AUTO	ON	켜기
0	AUTO	ECU	ECU
0	AUTO	FAR	먼 쪽
0	AUTO	KMS	
0	AUTO	LAP	랩 수
0	AUTO	MAP	맵
0	AUTO	MOD	변경
0	AUTO	NEW	신규
0	AUTO	NOS	NOS
0	AUTO	OFF	끄기
0	AUTO	YES	예
0	AUTO	BACK	뒤로
0	AUTO	BODY	바디
0	AUTO	CASH	은행: %s
0	AUTO	EXIT	출구
0	AUTO	GOLF	Golf
0	AUTO	HELP	도움말
0	AUTO	HOOD	후드
0	AUTO	LANG_SPANISH	
0	AUTO	LOAD	불러오기
0	AUTO	MALE	남성
0	AUTO	NEON	네온
0	AUTO	NEXT	다음
0	AUTO	PLAY	플레이
0	AUTO	QUIT	끝내기
0	AUTO	RANK	랭킹
0	AUTO	RIMS	휠
0	AUTO	SAVE	저장
0	AUTO	SHOP	상점
0	AUTO	SLOT	슬롯
0	AUTO	ONLINE_SETTINGS	옵션
0	AUTO	HELP_CONTROLLER_OPTIONS	$JOY_EVENT_FENG_PAD_UP$ 하이라이트 이동^$JOY_EVENT_FENG_PAD_LEFT$ 하이라이트된 옵션 조절^$JOY_EVENT_FENG_CANCEL$ 옵션 메뉴로 돌아가기
0	AUTO	ONLINE_CHALLENGE_TIMEOUT	%s가 챌린지에 응답하지 않습니다.^나중에 다시 해보십시오.
0	AUTO	PC_DETAILS	
0	AUTO	ONLINE_NEED_UPDATE_PROMPT_	
0	AUTO	DECAL_RIGHTPANEL_LAYOUT2_HEADING	오른쪽 패널 레이아웃 2
0	AUTO	GAME_TIPS_KNOCKOUT_A	매 랩마다 가장 느린 드라이버는 탈락됩니다.
0	AUTO	GAME_TIPS_KNOCKOUT_B	드라이버가 한 명 남을 때까지 레이스는 계속됩니다.
0	AUTO	MU_PERFORMANCE_CHOOSE_BRANDS	브랜드 선택
0	AUTO	PLAYLIST_ADAPTIVE	적응성
0	AUTO	ONLINE_DRIFT_SCORE	드리프트 점수
0	AUTO	EVENT_110_DESCRIPTION	지금은 채드가 1위이지만 순식간에 그를 2위 ^자리로 내려앉게 만들 수 있습니다.
0	AUTO	YEAR_FULL_NAME_SENTRA	
0	AUTO	GENERIC_BRAND_NAME	
0	AUTO	ONLINE_LOGIN_ERROR_ACCOUNT_LOCKED	고객 지원 센터에 의해^계정이 잠겼습니다.
0	AUTO	_ZONE_FRONT_WINDSHIELD_HEADING_MED	앞 유리창(중형)
0	AUTO	PSX2_CONTROLLER_UNPLUGGED	컨트롤러 포트 %d에^컨트롤러를^삽입해주십시오.
0	AUTO	PLAYLIST_SEQUENTIAL	순차적
0	AUTO	UNDERGROUND_MAGAZINES	잡지
0	AUTO	HUD_LB_BLOWNENGINE	엔진 폭발
0	AUTO	SAVELOAD_LOAD_CARS_FROM_PROFILE	프로필에서 차량 불러오기
0	AUTO	DRAG_LENGTH_THIRD_MILE	
