#	Labrune - D:\Games\NFS Underground\Languages\Dutch.bin
#	File created on: 2025-05-31 12:03:28
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - GLOBAL
0	AUTO	NO	Nee
0	AUTO	OK	Oké
0	AUTO	ON	Aan
0	AUTO	ECU	Motorchip
0	AUTO	FAR	Veraf
0	AUTO	KMS	Km's
0	AUTO	LAP	Ronden
0	AUTO	MAP	Plattegrond
0	AUTO	MOD	Tunen
0	AUTO	NEW	NIEUW
0	AUTO	NOS	Lachgassysteem
0	AUTO	OFF	Uit
0	AUTO	YES	Ja
0	AUTO	BACK	Terug
0	AUTO	BODY	Carrosserie
0	AUTO	CASH	Bankrekening: %s
0	AUTO	EXIT	Afsluiten
0	AUTO	GOLF	Golf
0	AUTO	HELP	Help
0	AUTO	HOOD	Motorkap
0	AUTO	LANG_SPANISH	SPAANS
0	AUTO	LOAD	LADEN
0	AUTO	MALE	Man
0	AUTO	NEON	Neon
0	AUTO	NEXT	Volgende
0	AUTO	PLAY	SPELEN
0	AUTO	QUIT	STOPPEN
0	AUTO	RANK	KLASSEMENT
0	AUTO	RIMS	Velgen
0	AUTO	SAVE	OPSLAAN
0	AUTO	SHOP	Winkel
0	AUTO	SLOT	Vak
0	AUTO	ONLINE_SETTINGS	OPTIES
0	AUTO	HELP_CONTROLLER_OPTIONS	$JOY_EVENT_FENG_PAD_UP$ Cursor verplaatsen^$JOY_EVENT_FENG_PAD_LEFT$ Geselecteerde optie aanpassen^$JOY_EVENT_FENG_CANCEL$ Terug naar optiemenu
0	AUTO	ONLINE_CHALLENGE_TIMEOUT	%s heeft niet gereageerd op je uitdaging.^Probeer later nog eens uit te dagen.
0	AUTO	PC_DETAILS	Details
0	AUTO	ONLINE_NEED_UPDATE_PROMPT_	Er is een patch uitgebracht voor dit product. Je moet deze patch downloaden en installeren om online te kunnen spelen. Als je JA selecteert, sluit het spel af, start je browser op en kom je op de patch-site terecht.
0	AUTO	DECAL_RIGHTPANEL_LAYOUT2_HEADING	LAY-OUT RECHTERPANEEL 2
0	AUTO	GAME_TIPS_KNOCKOUT_A	De coureur die als laatste finisht in iedere ronde wordt eruit gegooid
0	AUTO	GAME_TIPS_KNOCKOUT_B	De race gaat door totdat er één coureur overblijft
0	AUTO	MU_PERFORMANCE_CHOOSE_BRANDS	MERKEN KIEZEN
0	AUTO	PLAYLIST_ADAPTIVE	AANGEPAST
0	AUTO	ONLINE_DRIFT_SCORE	DRIFT-SCORE
0	AUTO	EVENT_110_DESCRIPTION	Chad is nu nog nummer één, maar voordat 'ie ^doorheeft wat er is gebeurd staat 'ie vanaf de ^tweede stek naar je te staren.
0	AUTO	YEAR_FULL_NAME_SENTRA	2004 Sentra SE-R Spec V
0	AUTO	GENERIC_BRAND_NAME	MERKLOOS
0	AUTO	ONLINE_LOGIN_ERROR_ACCOUNT_LOCKED	Je account is afgesloten door^klantenservice.
0	AUTO	_ZONE_FRONT_WINDSHIELD_HEADING_MED	VOORRUIT (ME)
0	AUTO	PSX2_CONTROLLER_UNPLUGGED	Sluit een controller^aan op^controller-aansluiting %d.
0	AUTO	PLAYLIST_SEQUENTIAL	OPEENVOLGEND
0	AUTO	UNDERGROUND_MAGAZINES	TIJDSCHRIFTEN
0	AUTO	HUD_LB_BLOWNENGINE	Opgeblazen^motor
0	AUTO	SAVELOAD_LOAD_CARS_FROM_PROFILE	Wagens uit profiel laden
0	AUTO	DRAG_LENGTH_THIRD_MILE	1/3 Mijl
0	AUTO	ADVANCE_TO_RACE	Ga naar de race
0	AUTO	EVENT_0_REWARD	Aardig gereden! Laat nu maar eens zien wat je in je eigen wagen kunt!
0	AUTO	PC_CAR_HEADLIGHT	Koplamp wagen
0	AUTO	ZEROHUNDRED_PEUGOT	?.? sec
0	AUTO	CAR_NAME_PEUGOT	206
0	AUTO	VEILSIDE_STYLE01_NAME	LIVIA
0	AUTO	EVENT_REWARD_MAGAZINE_SUPERSTREET	Super Street
0	AUTO	ONLINE_WINLOSS_RECORD	%luW-%luV
0	AUTO	LOGIN_DESC_GUEST	Direct spelen, zonder Coureursprofiel
0	AUTO	AUDIO	Audio
0	AUTO	BLANK	
0	AUTO	BRAKE	Remmen
0	AUTO	EVENT_99_TITLE	Veeg het Circuit schoon
0	AUTO	CLOSE	Dichtbij
0	AUTO	DRIFT	Driften
0	AUTO	EMPTY	Leeg
0	AUTO	PERFORMANCE	Prestaties
0	AUTO	THEATRE	THEATER
0	AUTO	ONLINE_LOGIN_ERROR_PROFANE_NAME	Je hebt een ongepaste accountnaam ingevoerd.
0	AUTO	EVENT_9_DESCRIPTION	Een enkele keer winnen is niet genoeg. Zorg dat je dit^hele toernooi wint om de poen te pakken.
0	AUTO	LARGE	Groot
0	AUTO	LAYER	Laag
0	AUTO	EVENT_REWARD_MAGAZINE_OPTION	Option
0	AUTO	MILES	Mijl
0	AUTO	MAGAZINE_TITLE_TASK_10	Import Racer
0	AUTO	MAGAZINE_TITLE_TASK_11	Import Tuner
0	AUTO	MAGAZINE_TITLE_TASK_12	Sport Compact Car
0	AUTO	MAGAZINE_TITLE_TASK_13	Chrom & Flammen
0	AUTO	MAGAZINE_TITLE_TASK_14	Hot4s
0	AUTO	MAGAZINE_TITLE_TASK_15	Elaborare
0	AUTO	MAGAZINE_TITLE_TASK_16	Import Tuner
0	AUTO	OWNED	In bezit
0	AUTO	PAINT	Lak
0	AUTO	EVENT_104_DESCRIPTION	Soms is een race zo voorbij, en soms gaat een race ^een hele nacht door. Laat zien wat je kunt tijdens ^een race van zeven rondes.
0	AUTO	PS_HP	PK:
0	AUTO	BUTTON_ANALOG_LOOKBACK_DOWN	Achteruitkijken (Omlaag)
0	AUTO	FULL_NAME_SENTRA	Nissan Sentra
0	AUTO	RETRY	Nog eens
0	AUTO	SMALL	Klein
0	AUTO	STATS	Statistieken
0	AUTO	STOCK	FABRIEK
0	AUTO	TIRES	Banden
0	03C7A1A3	Total	Totaal:
0	AUTO	TURBO	Turbo
0	AUTO	TUTORIAL_DRAG_01_LAUNCH	Denk je dat je zomaar kunt winnen?
0	AUTO	VINYL	Stickers
0	AUTO	REWARD_MAGAZINE_RACE_1	Je wagen staat op de cover van Modified Mag!
0	AUTO	REWARD_MAGAZINE_RACE_2	Je wagen staat in het volgende nummer van Sport Compact Car!
0	AUTO	REWARD_MAGAZINE_RACE_3	Je wagen staat op de cover van Import Tuner!
0	AUTO	REWARD_MAGAZINE_RACE_4	Je wagen zal verschijnen in Turbo & High-Tech Performance!
0	AUTO	REWARD_MAGAZINE_RACE_5	Je wagen staat alweer op de cover van Import Tuner!
0	AUTO	REWARD_MAGAZINE_RACE_6	Je wagen staat binnenkort op de cover van Import Racer!
0	AUTO	REWARD_MAGAZINE_RACE_7	Vertel je vrienden dat je wagen in Super Street staat!
0	AUTO	REWARD_MAGAZINE_RACE_8	Sport Compact Car heeft weer een artikel over je wagen geplaatst!
0	AUTO	REWARD_MAGAZINE_RACE_9	Het volgende nummer van Import's Tuner besteed aandacht aan jouw wagen!
0	AUTO	PC_CAR_ENVIRONMENT_MAP	Wagen Reflectie vernieuwingsratio
0	AUTO	HEAD_LIGHTS	Koplampen
0	AUTO	EVENT_58_TITLE	En toen was er nog eentje
0	AUTO	HUD_WRONG_WAY	VERKEERDE RICHTING
0	AUTO	TUTORIAL_GAME	Met sprongen, heftige slips en andere stoere moves verdien je tijdens de races ^Stijlpunten. Deze Stijlpunten kun je gebruiken voor toegang tot ^speciale extra's.
0	AUTO	NEON_RED	ROOD NEON
0	AUTO	PRS_PERFECT_SHIFT_PERCENT	PERFECT SCHAKEL%:
0	AUTO	SAVELOAD_EALOGIN_ACCOUNT_UNFORMATTED_CARD	De memory card (PS2) in MEMORY CARD (geheugenkaart)-aansluiting 1 is niet geformatteerd. Wil je formatteren?
0	AUTO	EVENT_REWARD_PERF_TRANSMISSION_LEVEL_1	Level 1 aandrijflijnpakketten
0	AUTO	EVENT_REWARD_PERF_TRANSMISSION_LEVEL_2	Level 2 aandrijflijnpakketten
0	AUTO	EVENT_REWARD_PERF_TRANSMISSION_LEVEL_3	Level 3 aandrijflijnpakketten
0	AUTO	CURRENT	Tijd:
0	AUTO	TINT_MEDIUM	GEMIDDELD
0	AUTO	EVENT_21_DESCRIPTION	Geen woorden maar daden! Maak naam door de tiende^plaats in het Drag-klassement te veroveren.
0	AUTO	HUD_SHIFT_PERFECT	Perfect geschakeld!
0	AUTO	SUBTITLE_FMV_09_EDDIE_YOTAXI	Hé, taxi!
0	AUTO	FMV_19_TITLE	Legende in Wording
0	AUTO	MU_VINYL_GROUP	GROEP KIEZEN
0	AUTO	HELP_DECAL_CHOOSE	$JOY_EVENT_FENG_SELECT$ Bestickering kiezen^$JOY_EVENT_FENG_PAD_LEFT$ Bestickering doorbladeren^$JOY_EVENT_CARSEL_ORBIT_LEFTRIGHT$ Rond wagen draaien^$JOY_EVENT_FENG_CANCEL$ Terug naar menu Styling-upgrades
0	AUTO	QUARTER_MILE_TIME_TIBURON	??.? sec at ??? mph
0	AUTO	QUIT_TO_VIDCON_TOURNAMENT_CONFIRM	Toernooi afsluiten?
0	AUTO	UG_MODE_TIME_TRIAL	Time-Trial
0	AUTO	MU_PAUSE_TRACK_MAP	Baanplattegrond:
0	AUTO	MU_VINYL_LAYER	LAAG KIEZEN
0	AUTO	EVENT_17_TITLE	Nieuwe jongens in de stad
0	AUTO	MU_OPTIONS_VIBRATION	Speler %d trilling:
0	AUTO	EVENT_52_DESCRIPTION	Zet die opscheppers voor schut, zodat ze de 7e plaats^in het klassement kunnen vergeten.
0	AUTO	PERFORMANCE_STATS	Prestatiestatistiek
0	AUTO	PERFORMANCE_TITLE	PRESTATIES
0	AUTO	QUIT_DEMO	Demo eindigen
0	AUTO	STYLE_ANIMATE_TOTALPOINTS	Puntentotaal
0	AUTO	LANG_ITALIAN	ITALIAANS
0	AUTO	MOD_DESC_ECU_FUEL_1	Prestatiechip
