#	Labrune - D:\[Modding]\NFS\StringEditor\TextStrings\Underground\Dutch.bin
#	File created on: 2025-06-15 22:08:29
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - GLOBAL
0	0000061C	0x0000061C	Não
0	00000639	0x00000639	OK
0	0000063C	0x0000063C	Lig.
0	0000A21C	0x0000A21C	ECU
0	0000A618	0x0000A618	Longe
0	0000BCEA	0x0000BCEA	KMs.
0	0000BF9C	0x0000BF9C	Voltas
0	0000C3DD	0x0000C3DD	Mapa
0	0000C59F	0x0000C59F	Modificar
0	0000C8A9	0x0000C8A9	NOVO
0	0000C9EF	0x0000C9EF	NOS
0	0000CCFA	0x0000CCFA	Desl.
0	0000F770	0x0000F770	Sim
0	001335F0	0x001335F0	Voltar
0	001371AD	0x001371AD	Carroceria
0	0013C45E	0x0013C45E	Dinheiro: %s
0	00153DB9	0x00153DB9	Sair
0	00163087	0x00163087	Golf
0	00169268	0x00169268	Ajuda
0	0016BD49	0x0016BD49	Capô
0	0016E856	0x0016E856	SPANISH
0	0018ECFF	0x0018ECFF	CARREGAR
0	00193F3E	0x00193F3E	Male
0	0019DD0F	0x0019DD0F	Neon
0	0019DE3E	0x0019DE3E	Próximo
0	001B11D5	0x001B11D5	JOGAR
0	001BC582	0x001BC582	SAIR
0	001BFD6B	0x001BFD6B	RANKINGS
0	001C1F5A	0x001C1F5A	Rodas
0	001C8ACE	0x001C8ACE	SALVAR
0	001CA7B9	0x001CA7B9	Loja
0	001CB8C1	0x001CB8C1	Espaço
0	001F22D4	0x001F22D4	OPTIONS
0	002770D6	0x002770D6	$JOY_EVENT_FENG_PAD_UP$ Move highlight^$JOY_EVENT_FENG_PAD_LEFT$ Adjust highlighted option^$JOY_EVENT_FENG_CANCEL$ Return to Options Menu
0	0046762C	0x0046762C	%s has not responded to your challenge.^Try challenging them again later.
0	00713E17	0x00713E17	Gráficos
0	0083BB41	0x0083BB41	A patch has been released for this product. You will need to download and install this patch in order to play online. If you select YES, the game will shut down and your browser will be launched to the patch site.
0	00874583	0x00874583	CIMA DA RODA DIREITA 2
0	00AC19A5	0x00AC19A5	O piloto que termina por último em cada volta é eliminado
0	00AC19A6	0x00AC19A6	As corridas continuam até que apenas um piloto sobre
0	00FDFA4B	0x00FDFA4B	ESCOLHER MARCAS
0	0134E47E	0x0134E47E	ADAPTATIVA
0	013A6CB7	0x013A6CB7	Drift Score
0	013C1655	0x013C1655	Chad é o número 1 agora, mas você pode derrubar^ ele pro número 2 tão rápido quanto fritar ovo.
0	01436AEE	0x01436AEE	2004 Sentra SE-R Spec V
0	0146ED42	0x0146ED42	GENERIC
0	0176D182	0x0176D182	Your account has been locked by^customer support.
0	017EDF70	0x017EDF70	FRONT WINDSHIELD (MED)
0	0186DE79	0x0186DE79	Please insert a^controller into^controller port %d.
0	0197392B	0x0197392B	SEQUENCIAL
0	01BA00EA	0x01BA00EA	REVISTAS
0	01E66364	0x01E66364	Motor Fundido
0	01F14B58	0x01F14B58	Load Cars From Profile
0	01F68ADE	0x01F68ADE	1/3 Milha
0	01F93D6D	0x01F93D6D	Avançar para a Corrida
0	01FF2794	0x01FF2794	Mandou bem! Vamo ver agora o que consegue fazer no seu carro!
0	02001350	0x02001350	Farol
0	0210A53C	0x0210A53C	?.? sec
0	02300668	0x02300668	206
0	023C3985	0x023C3985	LIVIA
0	024609F5	0x024609F5	Super Street
0	025A4A10	0x025A4A10	%luW-%luL
0	026D3D3D	0x026D3D3D	Jogar sem perfil
0	0272D751	0x0272D751	Áudio
0	027FF447	0x027FF447	
0	02833E24	0x02833E24	Freio
0	0285C153	0x0285C153	Muito Poder
0	029248F5	0x029248F5	Perto
0	02A79098	0x02A79098	Drift
0	02B70ACE	0x02B70ACE	Vazio
0	02D0E7F1	0x02D0E7F1	Performance
0	02D3374C	0x02D3374C	CINEMA
0	02F5A58F	0x02F5A58F	You have entered a profane account name.
0	03231A1C	0x03231A1C	Ganhar uma vez não adianta.^Seja o mais rápido nesse torneio pra ganhar a grana.
0	032F288A	0x032F288A	Grande
0	032F461C	0x032F461C	Camada
0	03365848	0x03365848	Option
0	03458A59	0x03458A59	Milhas
0	034AE5FE	0x034AE5FE	Import Racer
0	034AE5FF	0x034AE5FF	Import Tuner
0	034AE600	0x034AE600	Sport Compact Car
0	034AE601	0x034AE601	Chrom & Flammen
0	034AE602	0x034AE602	Hot4s
0	034AE603	0x034AE603	Elaborare
0	034AE604	0x034AE604	Import Tuner
0	0371711C	0x0371711C	Possui
0	0377653B	0x0377653B	Pintura
0	037802B8	0x037802B8	As vezes cê acaba rápido, as vezes tem que aguentar^ a noite toda. Mostra pra eles que aguenta 7 voltas.
0	0381A0D9	0x0381A0D9	HP:
0	038A6E08	0x038A6E08	Look Back (Down)
0	039D791E	0x039D791E	Nissan Sentra
0	039DF715	0x039DF715	Tentar Novamente
0	03B420F8	0x03B420F8	Pequeno
0	03B7F8AE	0x03B7F8AE	Estatísticas
0	03B83203	0x03B83203	PADRÃO
0	03C44F66	0x03C44F66	Tires
0	03C7A1A3	0x03C7A1A3	Total:
0	03CAE38B	0x03CAE38B	Turbo
0	03E5A66A	0x03E5A66A	Acha que consegue vencer colocando o motor no limite?
0	03E871F1	0x03E871F1	Vinil
0	04052B39	0x04052B39	Seu carro está na capa da Modified Mag!
0	04052B3A	0x04052B3A	Seu carro estará na próxima edição da Sport Compact Car!
0	04052B3B	0x04052B3B	Seu carro está na capa da Import Tuner!
0	04052B3C	0x04052B3C	Seu carro está aparecendo na Turbo & High-Tech Performance!
0	04052B3D	0x04052B3D	A Import Tuner colocou seu carro na capa de novo!
0	04052B3E	0x04052B3E	Procure seu carro na capa da Import Racer!
0	04052B3F	0x04052B3F	Diga aos seus amigos para verem seu carro na Super Street!
0	04052B40	0x04052B40	A Sport Compact Car está destacando seu carro de novo!
0	04052B41	0x04052B41	A próxima edição da Import Tuner vai ter seu carro!
0	0437D138	0x0437D138	Taxa de Atualização de Reflexos
0	0483BC5B	0x0483BC5B	Faróis
0	0484310E	0x0484310E	E Então Restou Um
0	049A8AFC	0x049A8AFC	DIREÇÃO ERRADA!
0	04BDB12C	0x04BDB12C	Jumps, powerslides and other wild moves earn you ^Style Points during your races. Style points get you ^special unlocks.
0	05054A89	0x05054A89	VERMELHO
0	050B14E9	0x050B14E9	% DE TROCAS PERFEITAS:
0	05293739	0x05293739	The memory card (PS2) in MEMORY CARD slot 1 is unformatted.  Do you want to format?
0	053F12E1	0x053F12E1	Transmissão Nível 1
