#	Labrune - D:\Games\NFS Underground\Languages\Swedish.bin
#	File created on: 2025-05-31 12:04:04
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - GLOBAL
0	AUTO	NO	Nej
0	AUTO	OK	OK
0	AUTO	ON	På
0	AUTO	ECU	Trim chip
0	AUTO	FAR	Långt borta
0	AUTO	KMS	KM
0	AUTO	LAP	Varv
0	AUTO	MAP	Karta
0	AUTO	MOD	Ändra
0	AUTO	NEW	NYTT
0	AUTO	NOS	NOS
0	AUTO	OFF	Av
0	AUTO	YES	Ja
0	AUTO	BACK	Bakåt
0	AUTO	BODY	Kaross
0	AUTO	CASH	%s Krediter
0	AUTO	EXIT	Avsluta
0	AUTO	GOLF	Golf
0	AUTO	HELP	Hjälp
0	AUTO	HOOD	Huv
0	AUTO	LANG_SPANISH	SPANSKA
0	AUTO	LOAD	LADDA
0	AUTO	MALE	Man
0	AUTO	NEON	Neon
0	AUTO	NEXT	Nästa
0	AUTO	PLAY	SPELA
0	AUTO	QUIT	AVSLUTA
0	AUTO	RANK	RANKNING
0	AUTO	RIMS	Fälgar
0	AUTO	SAVE	SPARA
0	AUTO	SHOP	Spara
0	AUTO	SLOT	Plats
0	AUTO	ONLINE_SETTINGS	ALTERNATIV
0	AUTO	HELP_CONTROLLER_OPTIONS	$JOY_EVENT_FENG_PAD_UP$ Flytta markering^$JOY_EVENT_FENG_PAD_LEFT$ Ändra markerat alternativ^$JOY_EVENT_FENG_CANCEL$ Tillbaka till Alternativ-menyn
0	AUTO	ONLINE_CHALLENGE_TIMEOUT	%s har inte svarat på din utmaning.^Försök igen lite senare.
0	AUTO	PC_DETAILS	Detaljer
0	AUTO	ONLINE_NEED_UPDATE_PROMPT_	En uppdatering har släppts för denna produkt. Du måste ladda ner och installera denna uppdatering för att kunna spela online. Om du väljer JA kommer spelet att avslutas och din webb-läsare kommer att gå till hemsidan för denna uppgradering.
0	AUTO	DECAL_RIGHTPANEL_LAYOUT2_HEADING	HÖGER PANEL, LAYOUT 2
0	AUTO	GAME_TIPS_KNOCKOUT_A	Den förare som ligger sist efter varje varv åker ut
0	AUTO	GAME_TIPS_KNOCKOUT_B	Man tävlar tills endast en förare återstår
0	AUTO	MU_PERFORMANCE_CHOOSE_BRANDS	VÄLJ MÄRKEN
0	AUTO	PLAYLIST_ADAPTIVE	ADAPTIV
0	AUTO	ONLINE_DRIFT_SCORE	Glidpoäng
0	AUTO	EVENT_110_DESCRIPTION	Chad kanske är nummer ett nu, men du kan göra ^honom till tvåa snabbare än du kan koka ett ägg.
0	AUTO	YEAR_FULL_NAME_SENTRA	2004 Sentra SE-R Spec V
0	AUTO	GENERIC_BRAND_NAME	ALLMÄN
0	AUTO	ONLINE_LOGIN_ERROR_ACCOUNT_LOCKED	Ditt konto har låsts av^kundsupporten.
0	AUTO	_ZONE_FRONT_WINDSHIELD_HEADING_MED	VINDRUTA (MED)
0	AUTO	PSX2_CONTROLLER_UNPLUGGED	Sätt i en^handkontroll i ^port %d.
0	AUTO	PLAYLIST_SEQUENTIAL	SEKVENSIELL
0	AUTO	UNDERGROUND_MAGAZINES	TIDNINGAR
0	AUTO	HUD_LB_BLOWNENGINE	Motorhaveri
0	AUTO	SAVELOAD_LOAD_CARS_FROM_PROFILE	Ladda bilar från profil
0	AUTO	DRAG_LENGTH_THIRD_MILE	1/3 Mile
