#	Labrune - D:\Games\Soapbox World\Game Files\LANGUAGES\German_Global.bin
#	File created on: 2025-05-10 17:46:34
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - Global
0	AUTO	GAME_ACTION_CREWDEFENSIVE	CREWMITGLIED AKTIVIEREN
0	AUTO	SKILLNAME_EXPLORER	FORSCHER
0	AUTO	TXT_TUTRL_PWRUPRACE	IN EINEM RENNEN: Verschaffe dir einen Temposchub, blockiere Gegner mit anderen Verkehrsteilnehmern oder leg eine Extrarunde ein, um den Führenden einzuholen.
0	AUTO	NFSW_FORD_12MUSTBOSS_HEADER2	Fahre wie ein Boss!
0	AUTO	TTRL_FIRSTDRIVER_1	Als Erstes musst du einen neuen Fahrer erstellen.\n\nDein Fahrer repräsentiert dich als Streetracer. Jetzt liegt es an dir, berühmt zu werden, indem du gegen andere Fahrer antrittst, fantastische Supersportwagen sammelst und sie nach deinem Geschmack tunst und verschönerst.\n\nDu musst einen einmaligen Namen und ein Bild für deinen Fahrer auswählen, also fangen wir gleich an.
0	AUTO	TTRL_FIRSTDRIVER_2	Deine individuellen Fahrernamen können bis zu 14 Zeichen lang sein.
0	AUTO	TTRL_FIRSTDRIVER_3	Blättere mit den Pfeilen durch die Bilder und suche eins aus.
0	AUTO	TTRL_FIRSTDRIVER_4	Wenn du fertig bist, klicke hier, um deinen Fahrer zu erstellen.
0	AUTO	NFSW_A1_Custom_Header1	EINZIGARTIGER AUDI A1 CLUBSPORT QUATTRO
0	AUTO	NFSW_A1_Custom_Header2	IM WERK ERDACHT, ENTWORFEN UND GEBAUT!
0	AUTO	TXT_SYSCHT_SCOPE_BROADCAST	AN ALLE
0	AUTO	TXT_CNM_ZONE_LOWERING_KIT	TIEFERLEGUNG
0	AUTO	TXT_CMN_OPTIONS_BTN_RBRACKET	]
0	AUTO	TXT_CMN_BRKEREV	BREMSEN/RÜCKWÄRTS
0	AUTO	PRESETCAR_DESCRIPTION_BMW_M3_E46_1	DUKE
0	AUTO	PRESETCAR_DESCRIPTION_BMW_M3_E46_2	REINRASSIG
0	AUTO	TXT_POWUP_READY	BEREIT!
0	AUTO	TLE_SH_POPUP_CANNOT_REFRESH_CATALOG	SERVERFEHLER
0	AUTO	TXT_NEWS_RACE_WON_FRIEND	[{0:s}] hat gerade zum ersten Mal ein Multiplayer-Rennen gewonnen.
