#	Labrune - D:\Games\Soapbox World\Game Files\LANGUAGES\English_Global.bin
#	File created on: 2025-05-10 17:46:19
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - Global
0	AUTO	GAME_ACTION_CREWDEFENSIVE	ACTIVATE CREW MEMBER
0	AUTO	SKILLNAME_EXPLORER	EXPLORER
0	AUTO	TXT_TUTRL_PWRUPRACE	IN A RACE: Gain a speed boost, block opponents with traffic or add another lap to catch the leader.
0	AUTO	NFSW_FORD_12MUSTBOSS_HEADER2	Race Like a Boss!
0	AUTO	TTRL_FIRSTDRIVER_1	The first thing you need to do is create a new Driver.\n\nYour Driver represents who you are as a street racer. It's up to you to become famous by competing against other Drivers, collecting some amazing supercars and customizing them to your liking.\n\nYou need to choose a unique name and picture for your Driver, so let's get started.
0	AUTO	TTRL_FIRSTDRIVER_2	Driver names can be up to 14 characters and will be unique to you.
0	AUTO	TTRL_FIRSTDRIVER_3	Click on the arrows to browse then select the one you want.
0	AUTO	TTRL_FIRSTDRIVER_4	Once you've selected your name and picture click to create your Driver.
0	AUTO	NFSW_A1_Custom_Header1	CUSTOM AUDI A1 CLUBSPORT QUATTRO
0	AUTO	NFSW_A1_Custom_Header2	FACTORY DESIGNED AND INSPIRED!
0	AUTO	TXT_SYSCHT_SCOPE_BROADCAST	BROADCAST
0	AUTO	TXT_CNM_ZONE_LOWERING_KIT	LOWERING KT
0	AUTO	TXT_CMN_OPTIONS_BTN_RBRACKET	]
0	AUTO	TXT_CMN_BRKEREV	BRAKE / REVERSE
0	AUTO	PRESETCAR_DESCRIPTION_BMW_M3_E46_1	DUKE
0	AUTO	PRESETCAR_DESCRIPTION_BMW_M3_E46_2	PEDIGREE
0	AUTO	TXT_POWUP_READY	READY!
0	AUTO	TLE_SH_POPUP_CANNOT_REFRESH_CATALOG	SERVER ERROR
0	AUTO	TXT_NEWS_RACE_WON_FRIEND	[{0:s}] just won a multiplayer race for the first time.
0	AUTO	TXT_CMN_MEDIUM	MEDIUM
0	AUTO	TXT_TLTP_VIDSET_RAIN	TOGGLE THE RAIN EFFECT ON OR OFF
0	AUTO	MSG_PUP_TRAFFIC_MAGNET	TRAFFIC MAGNET
0	AUTO	CMN_SKILL_MOD_SHOP	SKILL WORKSHOP
0	AUTO	TOOL_TIP_WALDO_FLIP_DOWN	FLIP VINYL DOWN
0	AUTO	PARTMANU_GROMLEN	GROMLEN
0	AUTO	TOOL_TIP_WALDO_FLIP_LEFT	FLIP VINYL LEFT
0	AUTO	TXT_LBL_NEWS_FILTER_DISPLAY	DISPLAY:
0	AUTO	PRESETCAR_DESCRIPTION_LAM_GALL09_1	RED CARPET
0	AUTO	PRESETCAR_DESCRIPTION_LAM_GALL09_2	GRAPHITE
0	AUTO	TXT_POPUP_BUYCARFAIL_INSUFFICIENTFUNDS	YOU DO NOT HAVE ENOUGH CASH OR ¤BOOST TO PURCHASE THIS CAR.
0	AUTO	TXT_SOCL_FR_ATSCREENNAMES	Put "@" in front of any Screen Names.
0	AUTO	TXT_NEWS_CARDPACK_COUNTRY_HEADER	COUNTRY PACK EXCLUSIVE OFFER
0	AUTO	TXT_BOOT_LOAD_GLOBALS	DATASET UPDATED
0	AUTO	NFSW_IS-F_Beauty1.0_header1	THE BEAUTY RETURNS AT NFSW!
0	AUTO	NFSW_IS-F_Beauty1.0_header2	A TRUE CAR COLLECTORS CHOICE!
0	AUTO	TXT_PRFL_SPIKES_DODGED	SPIKES DODGED
0	AUTO	NFSW_LAMB_SECOP_HEADER1	The Fastest Cop Yet!
0	AUTO	CMN_OFFR_NEW_CAR	NEW CAR
0	AUTO	TXT_LUCKYBOX_SELECT_CARD	SELECT A CARD
0	AUTO	TXT_FILTER_ALL	ALL
0	AUTO	TXT_LBL_MAPEVENT_WARPTORACE	TELEPORT
0	AUTO	NFSW_treasure1_header1	CONQUER YOUR HUNT!
0	AUTO	NFSW_treasure1_header2	THE "TREASURE HUNTER" IS HERE
0	AUTO	TXT_TIER_1_REQUIRED	(TIER 1 REQUIRED)
0	AUTO	TXT_CHAT_LANG_ENGLISH	ENGLISH
0	AUTO	TXT_CMN_DRIVERSEARCH	DRIVER SEARCH
0	AUTO	TXT_POWUP_INSTANT_COOLDOWN	INSTANT COOLDOWN
0	AUTO	TXT_NEWS_WEEKLYCARSALES_HEADER	SELECTED CARS NOW ON SALE
0	AUTO	TXT_BOOSTGDT_INFO_BTN	WHAT IS ¤ BOOST?
0	AUTO	SERVERERROR_FATAL_WRONGCLIENTVERSION_TITLE	Error
0	AUTO	TXT_CHUD_TTP_RACENOW_DISABLED	Race Now is currently disabled
0	AUTO	TXT_PRODUCT_TAG_GIFT	GIFT
0	AUTO	TXT_INSTR_PURSUIT_COOLDOWN	When you're in a Pursuit and manage to lose the Cops you enter Cooldown. If you can avoid being seen while cooling down you've Evaded; if the Cops spot you though, the Pursuit starts up again and you have to run.
0	AUTO	TTRL_PERFORMANCECUSTOMIZATION_1	Every car's performance is measured by three factors: Top Speed, Acceleration and Handling.\n\nYou can install Performance parts such as a new engine or brakes to improve the overall performance.\n\nBasic parts can be purchased in the Performance Shop while better parts can be won through Lucky Draw.
0	AUTO	TTRL_PERFORMANCECUSTOMIZATION_2	Click to switch between the Store and your Inventory.
0	AUTO	TTRL_PERFORMANCECUSTOMIZATION_3	You can pick individual categories or view all available parts
0	AUTO	TTRL_PERFORMANCECUSTOMIZATION_4	Drag and drop a part onto the car to preview its effect.
0	AUTO	TTRL_PERFORMANCECUSTOMIZATION_5	The bars indicates how much the performance will change once you confirm the purchase
0	AUTO	TTRL_PERFORMANCECUSTOMIZATION_6	Drag and drop a part here to sell it for Cash.
0	AUTO	TTRL_PERFORMANCECUSTOMIZATION_7	When you're finished click here to confirm or cancel your changes.
0	AUTO	TTRL_PERFORMANCECUSTOMIZATION_8	Every car has the potential to reach a different maximum potential or bias. How you get there depends on the performance parts that you install.\n\nFor example, installing an engine with a higher Top Speed value will shift a car towards its Top Speed bias, while improving your ride overall.\n\nYou can install parts either from the Store or your Inventory, which contains anything you win from the Lucky Draw or Card Packs.
0	AUTO	SKILLTEXT_OVERDRIVE	Increases the range of Emergency Evade by {0:f.0}%.
0	AUTO	SKILLMOD_DESC_DEMOLITION	Juggernaut strength increased by {0:s}
0	AUTO	TXT_CMN_LENGTH_METERS	{0:d} M
0	AUTO	MSG_COPSNROBBERS_SCORE_FOR_ROBBERS	{1} SCORES FOR THE ROBBERS!\n
0	AUTO	TTRL_FIRSTRACE_1_HDR	YOUR FIRST RACE
0	AUTO	TXT_CMN_NO_WAY	DO NOT DELETE DRIVER
0	AUTO	CMN_OFFR_RED_PRICE	REDUCED PRICE
0	AUTO	SKILLNAME_ROLLING_FORTRESS	ROLLING FORTRESS
0	AUTO	NFSW_trailer_header1	NEED FOR SPEED WORLD EXCLUSIVE TRAILER!
0	AUTO	NFSW_trailer_header2	CHOOSE YOUR CAR AND GO RACING!
0	AUTO	NFSW_trailer_header3	OFFICIAL NEED FOR SPEED WORLD TRAILER!
0	AUTO	NFSW_trailer_header4	CHOOSE YOUR CAR AND START RACING!
0	AUTO	CAR_MDL_370ZROADSTER	370Z ROADSTER TOURING W/SPORT PKG.
0	AUTO	REWARD_TYPE_SkillMod_TOKEN	SKILL MOD BONUS {0:$}
0	AUTO	DRIVERSKILL_EXTENDED_NOS_1_DESC	Increases Nitrous burn time by 25%.
0	AUTO	TXT_CHUD_TTP_RACENOW_CANCEL	CANCEL SEARCH
0	AUTO	PROGRESSION_AMP_REP	REP BOOST †{0:f.0}
0	AUTO	TXT_NEWS_TOOLTIP_TOPSPEED	Highest Top Speed clocked in a race
0	AUTO	TXT_TLTP_AUDSET_SPEECHVOL	COP SPEECH VOLUME
0	AUTO	CMN_OFFR_BEST_VALUE	BEST VALUE
0	AUTO	TTRL_CARDEALER_3_HEADER	VIEW CAR PARTS
0	AUTO	TXT_NEWS_PROGRESSION_ACCELERATION_HEADER	LEVEL UP FASTER WITH INCREASED REWARDS!
0	AUTO	TXT_BOOT_INIT_RENDERING	RENDERING MATRICES ONLINE
0	AUTO	TXT_TLTP_RCEGDT_CNDTNS	CONDITIONS FOR WINNING
0	AUTO	TXT_OPTNS_AUD_MUTE	MUTE ALL
0	AUTO	TXT_CMN_PRIVATE_PURSUIT	PRIVATE ESCAPE
0	AUTO	TXT_NEWS_TIER3_TRANSMISSIONPACK_SHORT	Tier 3 Transmission Pack now on sale!
0	AUTO	TXT_POPUP_NEED_MORE_CASH_TITLE	NEED MORE CASH
0	AUTO	TXT_PRFL_TOT_MONEY_WON	TOTAL MONEY WON
0	AUTO	ABBR_CUST_PAINT_GROUP_IRIDESCENT	IRIDESCENT
0	AUTO	TXT_OPTNS_VID_CARDETIL	CAR DETAIL
0	AUTO	TXT_CMN_REQUESTS	REQUESTS
0	AUTO	TXT_NO_CARS_MATCHING	NO CARS MATCHING THE CURRENT FILTERS
0	AUTO	PRESETCAR_DESCRIPTION_CHARGER69_BASE_0	GREEN
0	AUTO	PRESETCAR_DESCRIPTION_CHARGER69_BASE_2	RED
0	AUTO	PRESETCAR_DESCRIPTION_CHARGER69_BASE_5	BLACK
0	AUTO	PRESETCAR_DESCRIPTION_CHARGER69_BASE_6	GREY
0	AUTO	PRESETCAR_DESCRIPTION_CHARGER69_BASE_8	YELLOW
0	AUTO	TXT_CMN_OPTIONS_BTN_T	T
0	AUTO	TXT_CMN_OPTIONS_BTN_Z	Z
0	AUTO	NFSW_FORD_TSIT_HEADER1	Can't Outrun this Cop!
0	AUTO	TOOL_TIP_WALDO_SCALE_Y_RIGHT	SCALE Y RIGHT
0	AUTO	TXT_THUNT_COMPLETE	TREASURE HUNT COMPLETED
0	AUTO	NFSW_BMW_1M_Coupe_header1	OUTSTANDING POWER DELIVERY!
0	AUTO	NFSW_BMW_1M_Coupe_header2	STICKS HARD AND GOES FAST!
0	AUTO	TXT_POPUP_ACCPTFRNDFAILED	AN ERROR HAS OCCURED WITH THIS FRIEND REQUEST ACCEPTANCE.\NPLEASE TRY AGAIN.
0	AUTO	TXT_CMN_STEER_LEFT	STEER LEFT
0	AUTO	TXT_CMN_RACETYPE_LOW_LEVEL	(LOW LEVEL)
0	AUTO	TXT_TIER_2_REQUIRED	(TIER 2 REQUIRED)
