#	Labrune - D:\Games\Soapbox World\Game Files\LANGUAGES\French_Global.bin
#	File created on: 2025-05-10 17:46:26
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - Global
0	AUTO	GAME_ACTION_CREWDEFENSIVE	ACTIVER ÉQUIPIER
0	AUTO	SKILLNAME_EXPLORER	EXPLORATEUR
0	AUTO	TXT_TUTRL_PWRUPRACE	LORS D'UNE COURSE - Gagner un coup de boost, bloquer les concurrents à l'aide des voitures du trafic ou rajouter un tour pour rattraper le leader.
0	AUTO	NFSW_FORD_12MUSTBOSS_HEADER2	Qui c'est le patron ?
0	AUTO	TTRL_FIRSTDRIVER_1	Avant toute chose, vous devez créez un pilote.\n\nDans Need for Speed World, vous prenez l'identité d'un pilote de rodéo urbain. Ensuite, pour devenir célèbre, battez les autres pilotes, collectionnez les supercars et personnalisez-les à votre goût.\n\nAvant de continuer, choisissez une image à associer au pilote sélectionné.
0	AUTO	TTRL_FIRSTDRIVER_2	Le nom d'un pilote vous est spécifique et ne peut compter plus de 14 carac.
0	AUTO	TTRL_FIRSTDRIVER_3	Cliquez sur les flèches pour naviguer et faire votre choix.
0	AUTO	TTRL_FIRSTDRIVER_4	Une fois vos nom et image choisis, cliquez pour créer votre pilote.
0	AUTO	NFSW_A1_Custom_Header1	AUDI A1 CLUBSPORT QUATTRO PERSONNALISÉE
0	AUTO	NFSW_A1_Custom_Header2	UN PUR PROTOTYPE D'USINE !
0	AUTO	TXT_SYSCHT_SCOPE_BROADCAST	DIFFUSER
0	AUTO	TXT_CNM_ZONE_LOWERING_KIT	KIT D'ABAISSEMENT
0	AUTO	TXT_CMN_OPTIONS_BTN_RBRACKET	]
0	AUTO	TXT_CMN_BRKEREV	FREINER/RECULER
0	AUTO	PRESETCAR_DESCRIPTION_BMW_M3_E46_1	DUKE
0	AUTO	PRESETCAR_DESCRIPTION_BMW_M3_E46_2	PEDIGREE
0	AUTO	TXT_POWUP_READY	REMISE À ZÉRO
0	AUTO	TLE_SH_POPUP_CANNOT_REFRESH_CATALOG	ERREUR SERVEUR
0	AUTO	TXT_NEWS_RACE_WON_FRIEND	[{0:s}] a gagné sa première course multijoueur.
0	AUTO	TXT_CMN_MEDIUM	MOYEN
0	AUTO	TXT_TLTP_VIDSET_RAIN	ACTIVE/DÉSACTIVE L'EFFET DE LA PLUIE
0	AUTO	MSG_PUP_TRAFFIC_MAGNET	TRAFIC MAGNÉTIQUE
0	AUTO	CMN_SKILL_MOD_SHOP	BOUTIQUE MODIFS
0	AUTO	TOOL_TIP_WALDO_FLIP_DOWN	RETOURNER EN BAS
0	AUTO	PARTMANU_GROMLEN	GROMLEN
0	AUTO	TOOL_TIP_WALDO_FLIP_LEFT	RETOURNER À GAUCHE
0	AUTO	TXT_LBL_NEWS_FILTER_DISPLAY	AFFICH. :
0	AUTO	PRESETCAR_DESCRIPTION_LAM_GALL09_1	TAPIS ROUGE
0	AUTO	PRESETCAR_DESCRIPTION_LAM_GALL09_2	GRAPHITE
0	AUTO	TXT_POPUP_BUYCARFAIL_INSUFFICIENTFUNDS	VOUS N'AVEZ PAS LES FONDS OU LE ¤BOOST SUFFISANTS POUR ACHETER CETTE VOITURE.
0	AUTO	TXT_SOCL_FR_ATSCREENNAMES	Faites précéder les pseudos du caractère "@"
0	AUTO	TXT_NEWS_CARDPACK_COUNTRY_HEADER	PROMO EXCLUSIVE PACK NATION
0	AUTO	TXT_BOOT_LOAD_GLOBALS	DONNÉES MISE À JOUR
0	AUTO	NFSW_IS-F_Beauty1.0_header1	LA BELLE REVIENT DANS NFSW !
0	AUTO	NFSW_IS-F_Beauty1.0_header2	UN FUTUR COLLECTOR !
0	AUTO	TXT_PRFL_SPIKES_DODGED	HERSES ÉVITÉES
0	AUTO	NFSW_LAMB_SECOP_HEADER1	La plus rapide des policières !
0	AUTO	CMN_OFFR_NEW_CAR	NOUVELLE VOITURE
0	AUTO	TXT_LUCKYBOX_SELECT_CARD	CHOISISSEZ UNE CARTE
0	AUTO	TXT_FILTER_ALL	TOUTES
0	AUTO	TXT_LBL_MAPEVENT_WARPTORACE	TÉLÉPORTATION
0	AUTO	NFSW_treasure1_header1	LA CHASSE EST OUVERTE !
0	AUTO	NFSW_treasure1_header2	EN AVANT LA CHASSE AU TRÉSOR !
