#	Labrune - D:\Games\Soapbox World\Game Files\LANGUAGES\Polish_Global.bin
#	File created on: 2025-05-10 17:46:42
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - Global
0	AUTO	GAME_ACTION_CREWDEFENSIVE	AKTYWUJ CZŁONKA ZESPOŁU
0	AUTO	SKILLNAME_EXPLORER	ŁOWCA SKARBÓW
0	AUTO	TXT_TUTRL_PWRUPRACE	PODCZAS WYŚCIGU: uzyskaj dodatkowe przyspieszenie, blokuj przeciwników w ruchu ulicznym lub dodaj do wyścigu okrążenie, aby dogonić lidera.
0	AUTO	NFSW_FORD_12MUSTBOSS_HEADER2	Ścigaj się, jak szef!
0	AUTO	TTRL_FIRSTDRIVER_1	W pierwszej kolejności musisz stworzyć kierowcę.\n\nTwój kierowca reprezentuje to, kim jesteś w świecie wyścigów ulicznych gry Need for Speed World. Możesz ścigać się z innymi kierowcami, kolekcjonować wspaniałe super samochody i tuningować je wedle własnych upodobań.\n\nGdy wybierzesz już kierowcę i zdjęcie, przejdź dalej.
0	AUTO	TTRL_FIRSTDRIVER_2	Imię kierowcy może mieć maksymalnie 14 znaków i będzie unikalne dla Ciebie.
0	AUTO	TTRL_FIRSTDRIVER_3	Klikaj strzałki, aby przeglądać, a następnie dokonaj wyboru.
0	AUTO	TTRL_FIRSTDRIVER_4	Gdy wybierzesz już imię i zdjęcie, kliknij aby stworzyć kierowcę.
0	AUTO	NFSW_A1_Custom_Header1	ZMODYFIKOWANE AUDI A1 CLUBSPORT QUATTRO
0	AUTO	NFSW_A1_Custom_Header2	WZOROWANE NA MODELU FABRYCZNYM!
0	AUTO	TXT_SYSCHT_SCOPE_BROADCAST	TRANSMISJA
0	AUTO	TXT_CNM_ZONE_LOWERING_KIT	ZESTAW OBNIŻAJĄCY
0	AUTO	TXT_CMN_OPTIONS_BTN_RBRACKET	]
0	AUTO	TXT_CMN_BRKEREV	HAMULEC / WSTECZNY
0	AUTO	PRESETCAR_DESCRIPTION_BMW_M3_E46_1	DUKE
0	AUTO	PRESETCAR_DESCRIPTION_BMW_M3_E46_2	PEDIGREE
0	AUTO	TXT_POWUP_READY	GOTOWOŚĆ!
0	AUTO	TLE_SH_POPUP_CANNOT_REFRESH_CATALOG	BŁĄD SERWERA
0	AUTO	TXT_NEWS_RACE_WON_FRIEND	[{0:s}] - kierowca właśnie wygrał swój pierwszy wyścig dla wielu osób.
0	AUTO	TXT_CMN_MEDIUM	ŚREDNI
0	AUTO	TXT_TLTP_VIDSET_RAIN	WŁĄCZ LUB WYŁĄCZ EFEKT DESZCZU
0	AUTO	MSG_PUP_TRAFFIC_MAGNET	MAGNES NA RUCH UL.
0	AUTO	CMN_SKILL_MOD_SHOP	WARSZTAT UMIEJĘTN.
0	AUTO	TOOL_TIP_WALDO_FLIP_DOWN	PRZERZUĆ NAKLEJKĘ W DÓŁ
0	AUTO	PARTMANU_GROMLEN	GROMLEN
0	AUTO	TOOL_TIP_WALDO_FLIP_LEFT	PRZERZUĆ NAKLEJKĘ W LEWO
0	AUTO	TXT_LBL_NEWS_FILTER_DISPLAY	POKAŻ:
0	AUTO	PRESETCAR_DESCRIPTION_LAM_GALL09_1	RED CARPET
0	AUTO	PRESETCAR_DESCRIPTION_LAM_GALL09_2	GRAFITOWY
0	AUTO	TXT_POPUP_BUYCARFAIL_INSUFFICIENTFUNDS	MASZ ZA MAŁO GOTÓWKI LUB ¤BOOST, ABY KUPIĆ TEN SAMOCHÓD.
0	AUTO	TXT_SOCL_FR_ATSCREENNAMES	Dodaj „@” przed nazwami użytkowników.
0	AUTO	TXT_NEWS_CARDPACK_COUNTRY_HEADER	PAKIET NARODOWY - OFERTA SPECJALNA
0	AUTO	TXT_BOOT_LOAD_GLOBALS	ZAKTUALIZOWANO ZESTAW DANYCH
0	AUTO	NFSW_IS-F_Beauty1.0_header1	PIĘKNA WRACA DO NFSW!
0	AUTO	NFSW_IS-F_Beauty1.0_header2	GRATKA DLA KOLEKCJONERA!
0	AUTO	TXT_PRFL_SPIKES_DODGED	OMINIĘTE KOLCZATKI
0	AUTO	NFSW_LAMB_SECOP_HEADER1	Obecnie to najszybszy radiowóz!
0	AUTO	CMN_OFFR_NEW_CAR	NOWY SAMOCHÓD
0	AUTO	TXT_LUCKYBOX_SELECT_CARD	WYBIERZ KARTĘ
0	AUTO	TXT_FILTER_ALL	WSZYSTKIE
0	AUTO	TXT_LBL_MAPEVENT_WARPTORACE	TELEPORTUJ
0	AUTO	NFSW_treasure1_header1	ODSZUKAJ SWOJE SKARBY!
0	AUTO	NFSW_treasure1_header2	„POSZUKIWACZ SKARBÓW” DOSTĘPNY
0	AUTO	TXT_TIER_1_REQUIRED	(WYMAGANA KLASA: 1)
0	AUTO	TXT_CHAT_LANG_ENGLISH	ANGIELSKI
0	AUTO	TXT_CMN_DRIVERSEARCH	WYSZUKIWANIE KIEROWCY
0	AUTO	TXT_POWUP_INSTANT_COOLDOWN	NATYCHMIASTOWA UCIECZKA
0	AUTO	TXT_NEWS_WEEKLYCARSALES_HEADER	WYBRANE AUTA DOSTĘPNE W PROMOCJI
0	AUTO	TXT_BOOSTGDT_INFO_BTN	CZYM JEST ¤ BOOST?
0	AUTO	SERVERERROR_FATAL_WRONGCLIENTVERSION_TITLE	Błąd
0	AUTO	TXT_CHUD_TTP_RACENOW_DISABLED	Szybkie wyścigi są obecnie wyłączone
0	AUTO	TXT_PRODUCT_TAG_GIFT	PREZENT
0	AUTO	TXT_INSTR_PURSUIT_COOLDOWN	Jeżeli podczas pościgu zdołasz zgubić Policję, pojawi się pasek ucieczki. Jeżeli nikt nie zauważy Cię w trakcie jego zapełniania, uciekniesz przed pościgiem. W przeciwnym razie będziesz musiał dalej uciekać.
0	AUTO	TTRL_PERFORMANCECUSTOMIZATION_1	Osiągi samochodu są mierzone poprzez 3 współczynniki: prędkość maksymalną, przyspieszenie i prowadzenie.\n\nW samochodzie można zainstalować części polepszające osiągi, np. nowe silniki i hamulce.\n\nPodst. części kupisz w salonie tuningowym, natomiast te najlepsze trzeba wygrać poprzez Los Szczęścia.
0	AUTO	TTRL_PERFORMANCECUSTOMIZATION_2	Kliknij, aby przełączać się pomiędzy sklepem a magazynem.
0	AUTO	TTRL_PERFORMANCECUSTOMIZATION_3	Możesz wybierać poszczególne kategorie lub przeglądać wszystkie dostępne części
0	AUTO	TTRL_PERFORMANCECUSTOMIZATION_4	Przeciągnij i upuść część na samochód, aby zobaczyć jej działanie.
0	AUTO	TTRL_PERFORMANCECUSTOMIZATION_5	Ten pasek wskazuje o ile zmienią się osiągi samochodu, jeżeli dokonasz zakupu
0	AUTO	TTRL_PERFORMANCECUSTOMIZATION_6	Przeciągnij i upuść tutaj część, aby sprzedać ją za gotówkę.
0	AUTO	TTRL_PERFORMANCECUSTOMIZATION_7	Gdy skończysz, kliknij tutaj, aby zatwierdzić lub anulować zmiany.
0	AUTO	TTRL_PERFORMANCECUSTOMIZATION_8	Każdy samochód ma inny potencjał, a osiągi zależą od zainstalowanych części.\n\nPrzykład: jeżeli zainstalujesz mocniejszy silnik, samochód będzie miał większą prędkość maksymalną, a jednocześnie poprawi się ogólna charakterystyka pojazdu.\n\nCzęści można zainstalować w Sklepie lub Magazynie, w którym znajdują się wszystkie komponenty wygrane podczas losowania lub znajdujące się w pakietach z kartami.
0	AUTO	SKILLTEXT_OVERDRIVE	Zwiększa zasięg Uniku awaryjnego o {0:f.0}%.
0	AUTO	SKILLMOD_DESC_DEMOLITION	Moc Molocha zwiększona o {0:s}
0	AUTO	TXT_CMN_LENGTH_METERS	{0:d} M
0	AUTO	MSG_COPSNROBBERS_SCORE_FOR_ROBBERS	{1} ZDOBYWA PUNKTY DLA ZŁODZIEI!\n\n\n\n
0	AUTO	TTRL_FIRSTRACE_1_HDR	TWÓJ PIERWSZY WYŚCIG
0	AUTO	TXT_CMN_NO_WAY	NIE USUWAJ KIEROWCY
0	AUTO	CMN_OFFR_RED_PRICE	OBNIŻKA CENY
0	AUTO	SKILLNAME_ROLLING_FORTRESS	TWIERDZA
0	AUTO	NFSW_trailer_header1	SPECJALNY ZWIASTUN NFSW!
