#	Labrune - D:\Games\Soapbox World\Game Files\LANGUAGES\Portuguese_Global.bin
#	File created on: 2025-05-10 17:46:51
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - Global
0	AUTO	GAME_ACTION_CREWDEFENSIVE	ATIVAR INTEGRANTE DA EQUIPE
0	AUTO	SKILLNAME_EXPLORER	EXPLORADOR
0	AUTO	TXT_TUTRL_PWRUPRACE	EM UMA CORRIDA: Ganhe um aumento de velocidade, bloqueie oponentes com tráfego ou adicione uma volta para alcançar o líder.
0	AUTO	NFSW_FORD_12MUSTBOSS_HEADER2	Corra e Mande nas Ruas!
0	AUTO	TTRL_FIRSTDRIVER_1	A primeira coisa que você precisa fazer é criar um novo piloto.\n\nEle representa quem você é como piloto das ruas. Seu trabalho é conquistar a fama competindo com outros pilotos, colecionando supercarros incríveis e personalizando-os com o seu estilo.\n\nVocê precisa escolher uma imagem e um nome exclusivos para o seu piloto, então, vamos começar.
0	AUTO	TTRL_FIRSTDRIVER_2	Os nomes de pilotos podem ter até 14 caracteres e são exclusivos.
0	AUTO	TTRL_FIRSTDRIVER_3	Clique nas setas para navegar e selecione a imagem desejada.
0	AUTO	TTRL_FIRSTDRIVER_4	Após selecionar seu nome e imagem, clique para criar o seu piloto.
0	AUTO	NFSW_A1_Custom_Header1	AUDI A1 CLUBSPORT QUATTRO PERSONALIZADO
0	AUTO	NFSW_A1_Custom_Header2	PROJETADO E INSPIRADO NA FÁBRICA!
0	AUTO	TXT_SYSCHT_SCOPE_BROADCAST	TRANSMISSÃO
0	AUTO	TXT_CNM_ZONE_LOWERING_KIT	REBAIXAMENTO
0	AUTO	TXT_CMN_OPTIONS_BTN_RBRACKET	]
0	AUTO	TXT_CMN_BRKEREV	FREAR / RÉ
0	AUTO	PRESETCAR_DESCRIPTION_BMW_M3_E46_1	DUKE
0	AUTO	PRESETCAR_DESCRIPTION_BMW_M3_E46_2	PEDIGREE
0	AUTO	TXT_POWUP_READY	PRONTO!
0	AUTO	TLE_SH_POPUP_CANNOT_REFRESH_CATALOG	ERRO NO SERVIDOR
0	AUTO	TXT_NEWS_RACE_WON_FRIEND	[{0:s}] venceu uma corrida multiplayer pela primeira vez.
0	AUTO	TXT_CMN_MEDIUM	MÉDIO
0	AUTO	TXT_TLTP_VIDSET_RAIN	ATIVA OU DESATIVA O EFEITO DE CHUVA
0	AUTO	MSG_PUP_TRAFFIC_MAGNET	ÍMÃ DE TRÁFEGO
0	AUTO	CMN_SKILL_MOD_SHOP	OFIC. HABILID.
0	AUTO	TOOL_TIP_WALDO_FLIP_DOWN	VIRAR VINIL PARA BAIXO
0	AUTO	PARTMANU_GROMLEN	GROMLEN
