#	Labrune - D:\Games\Soapbox World\Game Files\LANGUAGES\Russian_Global.bin
#	File created on: 2025-05-10 17:47:01
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - Global
0	AUTO	GAME_ACTION_CREWDEFENSIVE	АКТИВИРОВАТЬ ЧЛЕНА КОМАНДЫ
0	AUTO	SKILLNAME_EXPLORER	ИССЛЕДОВАТЕЛЬ
0	AUTO	TXT_TUTRL_PWRUPRACE	В ГОНКЕ: зарабатывайте очки, блокируйте соперников с помощью попутных машин или добавьте еще круг к гонке, чтобы догнать лидера.
0	AUTO	NFSW_FORD_12MUSTBOSS_HEADER2	Станьте хозяином гонки!
0	AUTO	TTRL_FIRSTDRIVER_1	Первым делом вам нужно создать пилота.\n\nВаш пилот представляет вас в роли уличного гонщика. Все в ваших руках - добейтесь славы, соревнуясь с другими гонщиками, собирайте удивительные суперкары и настраивайте их по своему вкусу.\n\n Для пилота нужно выбрать уникальные имя и изображение. Можно начинать!
0	AUTO	TTRL_FIRSTDRIVER_2	Уникальное имя гонщика может содержать до 14 символов.
0	AUTO	TTRL_FIRSTDRIVER_3	С помощью стрелок выберите картинку.
0	AUTO	TTRL_FIRSTDRIVER_4	После выбора имени и картинки, щелкните для создания вашего пилота.
0	AUTO	NFSW_A1_Custom_Header1	СПЕЦИАЛЬНАЯ AUDI A1 CLUBSPORT QUATTRO
0	AUTO	NFSW_A1_Custom_Header2	НАСТОЯЩИЙ ДУХ AUDI C ФАБРИКИ AUDI!
0	AUTO	TXT_SYSCHT_SCOPE_BROADCAST	ТРАНСЛЯЦИЯ
0	AUTO	TXT_CNM_ZONE_LOWERING_KIT	НИЗКАЯ ПОДВЕСКА
0	AUTO	TXT_CMN_OPTIONS_BTN_RBRACKET	]
0	AUTO	TXT_CMN_BRKEREV	ТОРМОЗ / ЗАДНИЙ ХОД
0	AUTO	PRESETCAR_DESCRIPTION_BMW_M3_E46_1	DUKE
0	AUTO	PRESETCAR_DESCRIPTION_BMW_M3_E46_2	PEDIGREE
0	AUTO	TXT_POWUP_READY	ГОТОВНОСТЬ!
0	AUTO	TLE_SH_POPUP_CANNOT_REFRESH_CATALOG	ОШИБКА СЕРВЕРА
0	AUTO	TXT_NEWS_RACE_WON_FRIEND	Игрок [{0:s}] только что впервые выиграл многопользовательскую гонку.
0	AUTO	TXT_CMN_MEDIUM	СРЕДНЕ
0	AUTO	TXT_TLTP_VIDSET_RAIN	ВКЛЮЧЕНИЕ/ВЫКЛЮЧЕНИЕ ЭФФЕКТА ДОЖДЯ
0	AUTO	MSG_PUP_TRAFFIC_MAGNET	МАГНИТ
0	AUTO	CMN_SKILL_MOD_SHOP	МАГАЗИН НАВЫКОВ
0	AUTO	TOOL_TIP_WALDO_FLIP_DOWN	ПЕРЕВЕРНУТЬ ВИНИЛ ВНИЗ
0	AUTO	PARTMANU_GROMLEN	GROMLEN
