#	Labrune - D:\Games\Soapbox World\Game Files\LANGUAGES\Chinese_Simp_Global.bin
#	File created on: 2025-05-10 17:45:59
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - Global
0	AUTO	GAME_ACTION_CREWDEFENSIVE	激活工作人员
0	AUTO	SKILLNAME_EXPLORER	探险家
0	AUTO	TXT_TUTRL_PWRUPRACE	在比赛中：获得速度提升、用车流阻挡对手或再加一圈来追上领先者。
0	AUTO	NFSW_FORD_12MUSTBOSS_HEADER2	称霸赛场！
0	AUTO	TTRL_FIRSTDRIVER_1	首先您需要创建一位新车手。\n\n您的车手将代表着您在街道上驰骋。您要通过与其他车手竞争、\n\n收集超级跑车并按照自己的喜好定制车辆来获得崇高声望。\n\n您要为自己的车手选择一个与众不同的名字和图像，现在就开始吧。
0	AUTO	TTRL_FIRSTDRIVER_2	车手名最多14个字符，而且是您独有的。
0	AUTO	TTRL_FIRSTDRIVER_3	点击箭头浏览，然后选择您喜欢的。
0	AUTO	TTRL_FIRSTDRIVER_4	当您选定了名字和图像后，点击创建自己的车手。
0	AUTO	NFSW_A1_Custom_Header1	定制的AUDI A1 CLUBSPORT QUATTRO
0	AUTO	NFSW_A1_Custom_Header2	原厂设计、创意无限！
0	AUTO	TXT_SYSCHT_SCOPE_BROADCAST	广播
0	AUTO	TXT_CNM_ZONE_LOWERING_KIT	悬架调低套件
0	AUTO	TXT_CMN_OPTIONS_BTN_RBRACKET	]
0	AUTO	TXT_CMN_BRKEREV	刹车/倒车
0	AUTO	PRESETCAR_DESCRIPTION_BMW_M3_E46_1	公爵
0	AUTO	PRESETCAR_DESCRIPTION_BMW_M3_E46_2	世族
0	AUTO	TXT_POWUP_READY	准备就绪！
0	AUTO	TLE_SH_POPUP_CANNOT_REFRESH_CATALOG	服务器错误
0	AUTO	TXT_NEWS_RACE_WON_FRIEND	[{0:s}]刚刚首次赢得一场多人比赛。
0	AUTO	TXT_CMN_MEDIUM	中等
0	AUTO	TXT_TLTP_VIDSET_RAIN	切换下雨效果开或关
0	AUTO	MSG_PUP_TRAFFIC_MAGNET	车流磁铁
